num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
7295	8244.562461	116.699275	4.878070	2.676188	54.678815
7297	8246.622697	116.325556	5.278031	2.673769	53.316860
7299	8248.682563	116.354035	4.848841	2.676315	54.002276
7301	8250.743464	116.106756	5.032236	2.674733	53.475275
7303	8252.805729	116.304093	-3.677173	2.657886	52.619390
7305	8254.867571	115.978458	-3.745243	2.659204	53.652561
7307	8256.927700	115.716913	5.536236	2.675076	52.788891
7309	8258.987821	115.798743	4.728100	2.673789	53.915483
7311	8261.048425	115.887579	4.637991	2.674456	53.334551
7313	8263.110394	115.197483	5.404161	2.672903	52.592578
7315	8265.172267	114.911925	5.982991	2.677051	51.855383
7317	8267.233201	115.012524	5.719079	2.672741	53.986361
7319	8269.293781	114.848615	5.500827	2.672277	52.010679
7321	8271.354200	114.892944	5.216132	2.674603	51.869111
7323	8273.414752	114.141815	6.039236	2.671851	52.183022
7325	8275.475636	114.172924	5.415938	2.675337	52.574958
7327	8277.536271	113.909920	5.966006	2.673585	50.950958
7329	8279.597657	123.919515	1.941739	2.665287	52.081865
7331	8281.659057	113.710819	-3.074567	2.655621	53.082322
7333	8283.720194	113.466976	6.058624	2.674779	49.535588
7335	8285.781384	113.575432	5.963618	2.673474	50.548051
7337	8287.841540	113.075343	6.279081	2.674882	49.988027
7339	8289.901378	113.155619	6.201752	2.674237	50.494267
7341	8291.961673	112.836501	5.941523	2.678760	49.394544
7343	8294.023044	112.576034	6.485362	2.676327	51.938407
7345	8296.085062	121.968341	2.457057	2.673691	49.453665
7347	8298.146534	112.165817	6.514312	2.677884	49.875017
7349	8300.206832	112.140522	6.345954	2.680803	49.362044
7351	8302.266741	112.197132	6.384197	2.680189	49.528653
7353	8304.326972	111.968897	6.442067	2.681352	50.392144
7355	8306.387981	111.838493	6.314129	2.681675	49.326136
7357	8308.448774	112.013026	6.142055	2.682811	49.978776
7359	8310.510232	111.463220	6.261852	2.684557	48.240213
7361	8312.571501	111.292631	6.972520	2.679380	48.133003
7363	8314.632537	111.277849	6.514613	2.681649	48.866820
7365	8316.693573	111.541216	6.286954	2.682428	49.048809
7367	8318.754133	110.624712	6.923767	2.684894	48.422175
7369	8320.814588	110.459232	7.102881	2.683591	47.899756
7371	8322.875031	119.702546	3.168077	2.696739	47.327740
7373	8324.935460	110.517499	-1.963350	2.668309	47.183087
7375	8326.996104	110.771400	-2.030530	2.668728	46.862291
7377	8329.057115	110.279463	-1.819154	2.667575	47.281073
7379	8331.118689	109.589108	7.189801	2.686103	46.818403
7381	8333.180473	109.579831	7.504009	2.685302	49.055014
7383	8335.241492	109.555533	7.318850	2.687285	46.994673
7385	8337.301945	109.888255	6.955119	2.688483	46.911187
7387	8339.361772	109.185682	7.462434	2.687983	47.076994
7389	8341.421828	109.117156	7.278407	2.687487	47.031923
7391	8343.482411	108.966353	7.430884	2.688838	47.125568
7393	8345.543474	109.302288	6.992580	2.689428	45.618482
7395	8347.604904	108.689138	7.219335	2.691889	46.356280
7397	8349.666290	108.602611	7.732670	2.687570	47.253496
7399	8351.727110	108.274610	7.638884	2.690904	45.802445
7401	8353.788256	108.286538	7.892609	2.688630	46.517251
7403	8355.849105	108.439203	7.456784	2.692415	46.105275
7405	8357.909640	108.073163	7.843849	2.691198	45.073084
7407	8359.970491	107.939985	7.794953	2.692692	45.368874
7409	8362.031042	107.564214	7.930642	2.694272	45.433089
7411	8364.091397	107.523032	7.929313	2.696290	44.955015
7413	8366.151481	107.620910	7.587086	2.697794	44.996006
7415	8368.211600	107.209126	8.217226	2.694230	44.035890
7417	8370.271904	107.138229	8.327415	2.693875	45.161125
7419	8372.332298	107.016143	8.042097	2.695810	45.100611
7421	8374.393372	106.745671	8.087090	2.697404	44.783308
7423	8376.454952	106.625845	8.241985	2.696530	43.515895
7425	8378.516266	106.421150	8.593749	2.696610	44.526350
7427	8380.577233	106.409610	8.208867	2.699113	43.568630
7429	8382.637805	106.257310	8.474038	2.701000	45.098530
7431	8384.697456	106.222725	8.092515	2.703992	43.915560
7433	8386.757516	105.999502	8.445870	2.702163	43.576067
7435	8388.817688	105.689798	8.670356	2.701887	43.546254
7437	8390.878015	105.572160	8.372306	2.705412	47.265151
7439	8392.938644	105.415155	8.242217	2.707715	44.302903
7441	8394.999149	105.476924	8.337710	2.704321	43.371982
7443	8397.059752	104.924825	8.592429	2.706015	43.157967
7445	8399.120331	105.012926	8.671284	2.706676	44.184717
7447	8401.180952	105.037851	-0.215220	2.690428	42.644974
7449	8403.241472	105.007731	8.325793	2.708948	42.664416
7451	8405.302409	104.380604	8.837063	2.710983	42.334546
7453	8407.363449	104.419125	8.972943	2.708696	42.044431
7455	8409.424639	104.153159	9.189411	2.710204	43.153108
7457	8411.485915	103.865433	9.129391	2.712800	42.485108
7459	8413.546938	104.237425	8.588244	2.713130	41.891474
7461	8415.607240	103.800906	8.870729	2.716574	42.279869
7463	8417.667230	103.694337	9.154500	2.714906	41.610052
7465	8419.727042	103.208666	9.283921	2.716942	42.593545
7467	8421.786999	103.669022	8.774741	2.713839	40.716909
7469	8423.847291	103.538690	8.540022	2.717007	41.076941
7471	8425.907985	102.952957	8.995495	2.718009	41.341315
7473	8427.968705	102.864752	9.105028	2.719538	40.187191
7475	8430.029697	102.636059	9.738570	2.717349	40.235294
7477	8432.090720	102.724120	9.150047	2.718771	40.977188
7479	8434.151334	102.766003	8.962736	2.722872	40.398900
7481	8436.211879	102.364138	9.300269	2.721047	41.249530
7483	8438.272566	102.079175	9.623725	2.722317	40.106525
7485	8440.332896	101.852573	9.800819	2.722297	40.481820
7487	8442.393075	102.537102	8.883480	2.725478	40.434914
7489	8444.453340	101.768617	9.544047	2.726288	40.031991
7491	8446.513604	101.519347	10.135914	2.724769	40.226104
7493	8448.574269	101.263717	9.553612	2.727342	40.203802
7495	8450.635011	101.648578	9.366164	2.732016	40.863526
7497	8452.696047	101.506286	9.188368	2.730499	39.483010
7499	8454.757428	100.880318	9.915588	2.730423	39.896875
7501	8456.818551	100.896888	9.795569	2.733048	39.403177
7503	8458.879340	100.630886	10.204356	2.733590	38.852252
7505	8460.939798	100.684488	10.091864	2.731989	39.138597
7507	8462.999696	100.751339	9.772992	2.737023	38.505658
7509	8465.059778	100.495221	9.736096	2.736650	39.059018
7511	8467.119922	99.923305	10.519343	2.737343	38.960063
7513	8469.180130	99.953113	10.047703	2.738063	37.992639
7515	8471.240299	99.884817	9.851731	2.739621	37.903774
7517	8473.300599	99.955685	9.629583	2.743791	38.898235
7519	8475.361069	99.503102	10.271520	2.741072	37.671151
7521	8477.421662	99.405209	10.368558	2.741354	38.471252
7523	8479.482173	99.283171	9.956105	2.745227	37.992243
7525	8481.543215	99.049083	10.309236	2.745514	37.470471
7527	8483.603909	99.123122	9.917021	2.749541	37.423021
7529	8485.664854	98.765502	10.338067	2.747483	38.464543
7531	8487.725774	98.447249	10.658509	2.747259	37.932499
7533	8489.786227	98.620558	10.509795	2.748132	38.358217
7535	8491.846336	98.568883	10.459166	2.751186	37.164396
7537	8493.905888	98.382381	10.477523	2.750391	37.664897
7539	8495.966010	98.158428	10.608686	2.752541	36.768362
7541	8498.026053	98.149928	10.267774	2.752508	37.626038
7543	8500.085981	97.897042	10.706005	2.754933	37.112704
7545	8502.146488	98.263848	10.120642	2.757116	37.162937
7547	8504.206669	97.909929	10.378191	2.757984	36.869193
7549	8506.267209	97.130719	11.114860	2.758390	36.036520
7551	8508.327689	97.270345	10.649582	2.759691	36.326044
7553	8510.387805	97.309107	10.377326	2.763152	36.141905
7555	8512.448448	97.644104	10.072007	2.762840	36.161801
7557	8514.508913	96.970819	10.514326	2.762330	36.401016
7559	8516.569139	96.670986	10.615186	2.765995	36.182377
7561	8518.629660	96.777307	10.579689	2.767572	35.610630
7563	8520.689752	96.785261	10.636967	2.765425	36.040204
7565	8522.750205	96.684233	10.458391	2.767689	36.020865
7567	8524.811178	96.128952	10.894940	2.768683	35.673221
7569	8526.871943	95.859161	10.978983	2.772038	35.760635
7571	8528.932787	95.636804	11.323486	2.771991	35.339628
7573	8530.993920	95.937004	10.672595	2.773153	35.775159
7575	8533.054339	95.926084	10.754447	2.772430	36.126645
7577	8535.114778	95.477605	11.319070	2.774648	34.427093
7579	8537.175161	95.249700	11.508225	2.777115	35.019326
7581	8539.235146	95.140582	11.566533	2.776302	34.557550
7583	8541.295282	95.406571	10.789855	2.780736	34.013634
7585	8543.355152	94.956334	11.106223	2.780384	34.472628
7587	8545.415513	94.859472	11.156871	2.782752	33.800182
7589	8547.475913	94.557046	11.203272	2.785080	35.509696
7591	8549.536276	94.294481	11.649397	2.785171	33.667501
7593	8551.596721	94.863778	10.689609	2.786985	34.356518
7595	8553.657149	94.269704	11.171981	2.788209	34.581941
7597	8555.717842	94.206076	11.423882	2.789417	34.608153
7599	8557.778558	93.696969	11.919649	2.790232	34.605309
7601	8559.838759	93.501273	11.594796	2.792135	34.695984
7603	8561.899402	93.701767	11.614899	2.794137	33.838902
7605	8563.959279	93.444347	11.494691	2.793188	34.206578
7607	8566.018897	93.514183	11.697278	2.794660	33.850446
7609	8568.078628	92.950050	11.778610	2.798059	33.866030
7611	8570.138491	93.483623	11.000482	2.796751	33.816882
7613	8572.198242	92.909592	11.760406	2.794544	33.401955
7615	8574.258104	92.957894	11.302882	2.799111	33.464634
7617	8576.318494	92.803777	11.590861	2.800425	33.689612
7619	8578.378764	92.730330	11.509832	2.803274	33.737693
