time (s)	det(V)
6239.805590	-0.287428	
6239.807590	-0.279058	
6239.809590	-0.267929	
6239.811590	-0.259850	
6239.815590	-0.248678	
6239.817591	-0.234782	
6239.819590	-0.225209	
6239.821591	-0.218736	
6239.823590	-0.211880	
6239.825590	-0.202133	
6239.829588	-0.190572	
6239.831590	-0.177757	
6239.833590	-0.171371	
6239.837590	-0.171193	
6239.839589	-0.158339	
6239.841590	-0.150417	
6239.843590	-0.138211	
6239.845589	-0.135827	
6239.849589	-0.126202	
6239.851590	-0.122248	
6239.855590	-0.118522	
6239.857590	-0.108536	
6239.859590	-0.099267	
6239.861590	-0.094270	
6239.863590	-0.089960	
6239.867588	-0.083773	
6239.869590	-0.083866	
6239.871590	-0.077840	
6239.875590	-0.076347	
6239.877590	-0.063356	
6239.879590	-0.061984	
6239.881590	-0.054121	
6239.883589	-0.055870	
6239.885590	-0.054175	
6239.889591	-0.053591	
6239.893590	-0.048768	
6239.895590	-0.039115	
6239.897591	-0.035014	
6239.899590	-0.032345	
6239.901589	-0.035623	
6239.905589	-0.033576	
6239.907589	-0.033447	
6239.909590	-0.026505	
6239.911590	-0.026496	
6239.913590	-0.023502	
6239.915591	-0.018980	
6239.917590	-0.019561	
6239.919589	-0.021654	
6239.921590	-0.019434	
6239.923589	-0.021520	
6239.925591	-0.016755	
6239.927589	-0.015000	
6239.931590	-0.015941	
6239.933590	-0.013969	
6239.935590	-0.012711	
6239.937590	-0.010433	
6239.939589	-0.013242	
6239.941589	-0.010042	
6239.943589	-0.007214	
6239.945590	-0.010888	
6239.947589	-0.013285	
6239.949592	-0.006476	
6239.951590	-0.007521	
6239.955591	-0.005331	
6239.957591	-0.007169	
6239.959589	-0.004276	
6239.961590	-0.003164	
6239.963590	-0.004462	
6239.967588	-0.000409	
6239.969589	-0.005510	
6239.971589	0.000706	
6239.975590	-0.006754	
6239.977590	-0.001921	
6239.979589	-0.000208	
6239.981590	0.004521	
6239.983590	0.002138	
6239.985589	-0.000689	
6239.989589	-0.002129	
6239.993590	0.000501	
6239.995589	0.004043	
6239.997590	0.003676	
6239.999590	0.003694	
6240.001590	0.001076	
6240.005589	0.004068	
6240.007590	-0.001121	
6240.009590	0.000300	
6240.011589	0.001550	
6240.013590	0.004201	
6240.015590	0.008593	
6240.017590	0.002454	
6240.019592	0.002588	
6240.021589	0.003434	
6240.023589	0.001988	
6240.025590	0.002164	
6240.027589	0.005034	
6240.031589	0.001351	
6240.033591	0.002517	
6240.035590	0.003762	
6240.037590	0.004637	
6240.039589	-0.000576	
6240.041590	0.004772	
6240.045588	0.005657	
6240.047590	0.006349	
6240.049590	-0.002241	
6240.053590	0.002341	
6240.055590	0.000858	
6240.057589	0.002787	
6240.059590	0.004946	
6240.061590	0.003100	
6240.065589	0.007049	
6240.067590	-0.001364	
6240.071590	-0.002755	
6240.073590	0.002426	
6240.075591	0.003732	
6240.077590	0.006923	
6240.079589	0.000854	
6240.083589	0.009710	
6240.085590	-0.002697	
6240.087590	-0.000532	
6240.091590	-0.004519	
6240.093590	0.007657	
6240.095590	0.004631	
6240.097590	0.005671	
6240.099590	0.005666	
6240.103588	0.001446	
6240.105588	-0.002780	
6240.109590	-0.001506	
6240.111590	0.004337	
6240.113589	0.004035	
6240.115590	0.006064	
6240.117589	0.000507	
6240.121588	-0.000343	
6240.123590	-0.005569	
6240.125589	0.000235	
6240.129590	0.002865	
6240.131590	0.005379	
6240.133590	0.003394	
6240.135589	-0.000337	
6240.137590	0.002131	
6240.141589	-0.001530	
6240.143590	0.003386	
6240.147590	-0.001583	
6240.149590	0.003172	
6240.151594	0.001501	
6240.153590	0.000334	
6240.155590	-0.000973	
6240.159589	-0.002212	
6240.161590	0.000869	
6240.163590	-0.001406	
6240.167590	0.002014	
6240.169591	-0.001272	
6240.171590	-0.000280	
6240.173589	-0.002786	
6240.175589	0.002474	
6240.177590	0.002621	
6240.181589	0.000442	
6240.185590	-0.001763	
