time (s)	det(V)
5839.483589	-0.100934	
5839.485590	-0.099647	
5839.487590	-0.096347	
5839.491589	-0.091194	
5839.493589	-0.083774	
5839.495590	-0.078853	
5839.499590	-0.074977	
5839.501589	-0.066792	
5839.503590	-0.064907	
5839.505590	-0.061776	
5839.507589	-0.061329	
5839.511588	-0.056461	
5839.513589	-0.052013	
5839.517590	-0.046023	
5839.519590	-0.044613	
5839.521590	-0.041976	
5839.523590	-0.039756	
5839.525590	-0.040145	
5839.529589	-0.033245	
5839.531590	-0.032097	
5839.533589	-0.027508	
5839.537591	-0.029411	
5839.539590	-0.025977	
5839.541590	-0.026016	
5839.543588	-0.021884	
5839.545590	-0.017833	
5839.547589	-0.017603	
5839.551590	-0.016296	
5839.555590	-0.018954	
5839.557590	-0.018296	
5839.559590	-0.013702	
5839.561590	-0.009784	
5839.563590	-0.010680	
5839.567589	-0.006736	
5839.569590	-0.012722	
5839.571589	-0.010941	
5839.575590	-0.011270	
5839.577590	-0.004682	
5839.579590	-0.005079	
5839.581590	-0.005233	
5839.583589	-0.000668	
5839.585590	-0.003347	
5839.589589	-0.007728	
5839.593589	-0.008280	
5839.595590	-0.001020	
5839.597590	-0.000137	
5839.599589	0.002376	
5839.601590	-0.001038	
5839.605589	-0.002658	
5839.607589	-0.005310	
5839.609590	-0.003491	
5839.613590	-0.000313	
5839.615590	0.003204	
5839.617589	0.002181	
5839.619590	-0.000637	
5839.621590	0.000415	
5839.623589	-0.000535	
5839.627589	-0.002401	
5839.631590	0.001676	
5839.633589	0.003954	
5839.635590	0.000065	
5839.637589	0.000939	
5839.639589	0.000160	
5839.643589	-0.000983	
5839.645590	0.000327	
5839.647590	0.001260	
5839.649589	0.002977	
5839.651593	0.001814	
5839.653590	0.000927	
5839.655590	0.000967	
5839.657589	-0.000245	
5839.659590	0.000024	
5839.661590	0.003702	
5839.663591	0.003266	
5839.665591	0.004241	
5839.669590	0.001992	
5839.671590	-0.000018	
5839.673589	-0.000525	
5839.675589	0.001094	
5839.677589	0.002654	
5839.679590	0.003428	
5839.683588	0.003305	
5839.685589	0.000406	
5839.687589	-0.001723	
5839.691590	0.000660	
5839.693590	0.002811	
