crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.111466	4353	0.000000
281474976710655.000000	1.050707	4354	0.000000
281474976710655.000000	1.095342	4355	0.000000
281474976710655.000000	1.069371	4356	0.000000
281474976710655.000000	1.075304	4357	0.000000
281474976710655.000000	1.128093	4358	0.000000
281474976710655.000000	1.046407	4359	0.000000
281474976710655.000000	1.144868	4360	0.000000
281474976710655.000000	1.044539	4361	0.000000
281474976710655.000000	1.043365	4362	0.000000
281474976710655.000000	1.061692	4363	0.000000
281474976710655.000000	1.048479	4364	0.000000
281474976710655.000000	1.071414	4365	0.000000
281474976710655.000000	1.076420	4366	0.000000
281474976710655.000000	1.087999	4367	0.000000
281474976710655.000000	1.091686	4368	0.000000
281474976710655.000000	1.144100	4369	0.000000
281474976710655.000000	1.048669	4370	0.000000
281474976710655.000000	1.065144	4371	0.000000
281474976710655.000000	1.075027	4372	0.000000
281474976710655.000000	1.001767	4373	0.000000
281474976710655.000000	1.020227	4374	0.000000
281474976710655.000000	1.076422	4375	0.000000
281474976710655.000000	1.030275	4376	0.000000
281474976710655.000000	1.139807	4377	0.000000
281474976710655.000000	1.068528	4378	0.000000
281474976710655.000000	1.021573	4379	0.000000
281474976710655.000000	1.096110	4380	0.000000
281474976710655.000000	1.136009	4381	0.000000
281474976710655.000000	1.020244	4382	0.000000
281474976710655.000000	1.071302	4383	0.000000
281474976710655.000000	1.050161	4384	0.000000
281474976710655.000000	1.062351	4385	0.000000
281474976710655.000000	1.075579	4386	0.000000
281474976710655.000000	1.092804	4387	0.000000
281474976710655.000000	1.115659	4388	0.000000
281474976710655.000000	1.117273	4389	0.000000
281474976710655.000000	1.005392	4390	0.000000
281474976710655.000000	1.053750	4391	0.000000
281474976710655.000000	1.071636	4392	0.000000
281474976710655.000000	1.093584	4393	0.000000
281474976710655.000000	1.056743	4394	0.000000
281474976710655.000000	1.107742	4395	0.000000
281474976710655.000000	1.046657	4396	0.000000
281474976710655.000000	1.086541	4397	0.000000
281474976710655.000000	1.098580	4398	0.000000
281474976710655.000000	1.075426	4399	0.000000
281474976710655.000000	1.027550	4400	0.000000
281474976710655.000000	1.127615	4401	0.000000
281474976710655.000000	1.069791	4402	0.000000
281474976710655.000000	1.067353	4403	0.000000
281474976710655.000000	1.136223	4404	0.000000
281474976710655.000000	1.128798	4405	0.000000
281474976710655.000000	1.076461	4406	0.000000
281474976710655.000000	1.062871	4407	0.000000
281474976710655.000000	1.069762	4408	0.000000
281474976710655.000000	1.090663	4409	0.000000
281474976710655.000000	1.093077	4410	0.000000
281474976710655.000000	1.064333	4411	0.000000
281474976710655.000000	1.082958	4412	0.000000
281474976710655.000000	1.064484	4413	0.000000
281474976710655.000000	1.074383	4414	0.000000
281474976710655.000000	1.120499	4415	0.000000
281474976710655.000000	1.014774	4416	0.000000
281474976710655.000000	1.032799	4417	0.000000
281474976710655.000000	1.069868	4418	0.000000
281474976710655.000000	1.064599	4419	0.000000
281474976710655.000000	0.961765	4420	0.000000
281474976710655.000000	1.055432	4421	0.000000
281474976710655.000000	1.076426	4422	0.000000
281474976710655.000000	1.076619	4423	0.000000
281474976710655.000000	1.113868	4424	0.000000
281474976710655.000000	1.094368	4425	0.000000
281474976710655.000000	1.083165	4426	0.000000
281474976710655.000000	1.072780	4427	0.000000
281474976710655.000000	1.068805	4428	0.000000
281474976710655.000000	1.012403	4429	0.000000
281474976710655.000000	1.028164	4430	0.000000
281474976710655.000000	1.079219	4431	0.000000
281474976710655.000000	0.979507	4432	0.000000
281474976710655.000000	1.067215	4433	0.000000
281474976710655.000000	1.067804	4434	0.000000
281474976710655.000000	1.064959	4435	0.000000
281474976710655.000000	1.064962	4436	0.000000
281474976710655.000000	1.115044	4437	0.000000
281474976710655.000000	1.080908	4438	0.000000
281474976710655.000000	1.079948	4439	0.000000
281474976710655.000000	1.069456	4440	0.000000
281474976710655.000000	1.095479	4441	0.000000
281474976710655.000000	1.091735	4442	0.000000
281474976710655.000000	1.067146	4443	0.000000
281474976710655.000000	1.071792	4444	0.000000
281474976710655.000000	1.096734	4445	0.000000
281474976710655.000000	1.030051	4446	0.000000
281474976710655.000000	1.095200	4447	0.000000
281474976710655.000000	0.992096	4448	0.000000
281474976710655.000000	1.087015	4449	0.000000
281474976710655.000000	1.004801	4450	0.000000
281474976710655.000000	1.059399	4451	0.000000
281474976710655.000000	1.019900	4452	0.000000
281474976710655.000000	1.051262	4453	0.000000
281474976710655.000000	1.016365	4454	0.000000
281474976710655.000000	1.058321	4455	0.000000
281474976710655.000000	1.067383	4456	0.000000
281474976710655.000000	1.087299	4457	0.000000
281474976710655.000000	1.059884	4458	0.000000
281474976710655.000000	1.036064	4459	0.000000
281474976710655.000000	1.086913	4460	0.000000
281474976710655.000000	1.085588	4461	0.000000
281474976710655.000000	1.063506	4462	0.000000
281474976710655.000000	1.095387	4463	0.000000
281474976710655.000000	1.035247	4464	0.000000
281474976710655.000000	1.073936	4465	0.000000
281474976710655.000000	1.058368	4466	0.000000
281474976710655.000000	1.053535	4467	0.000000
281474976710655.000000	1.032634	4468	0.000000
281474976710655.000000	1.061439	4469	0.000000
281474976710655.000000	1.035043	4470	0.000000
281474976710655.000000	1.081922	4471	0.000000
281474976710655.000000	1.029124	4472	0.000000
281474976710655.000000	1.030878	4473	0.000000
281474976710655.000000	1.014048	4474	0.000000
281474976710655.000000	1.043434	4475	0.000000
281474976710655.000000	1.057815	4476	0.000000
281474976710655.000000	1.027161	4477	0.000000
281474976710655.000000	1.036128	4478	0.000000
281474976710655.000000	1.099365	4479	0.000000
281474976710655.000000	1.101334	4480	0.000000
281474976710655.000000	1.006768	4481	0.000000
281474976710655.000000	1.086830	4482	0.000000
281474976710655.000000	1.154876	4483	0.000000
281474976710655.000000	1.020819	4484	0.000000
281474976710655.000000	1.061180	4485	0.000000
281474976710655.000000	1.066797	4486	0.000000
281474976710655.000000	1.059212	4487	0.000000
281474976710655.000000	1.041894	4488	0.000000
281474976710655.000000	1.073145	4489	0.000000
281474976710655.000000	1.070197	4490	0.000000
281474976710655.000000	1.043066	4491	0.000000
281474976710655.000000	1.049989	4492	0.000000
281474976710655.000000	1.048562	4493	0.000000
281474976710655.000000	1.061967	4494	0.000000
281474976710655.000000	1.077692	4495	0.000000
281474976710655.000000	1.096370	4496	0.000000
281474976710655.000000	1.048546	4497	0.000000
281474976710655.000000	1.060480	4498	0.000000
281474976710655.000000	1.055697	4499	0.000000
281474976710655.000000	1.065669	4500	0.000000
281474976710655.000000	1.079591	4501	0.000000
281474976710655.000000	1.028758	4502	0.000000
281474976710655.000000	1.085754	4503	0.000000
