time (s)	det(V)
2496.651484	-0.001999	
2496.653484	-0.018111	
2496.655484	-0.020635	
2496.657484	-0.017018	
2496.661484	-0.034813	
2496.665485	-0.012814	
2496.667486	0.000478	
2496.669484	-0.008147	
2496.671485	-0.015884	
2496.673487	-0.011091	
2496.677484	-0.019898	
2496.679485	-0.010327	
2496.681485	-0.016979	
2496.685485	-0.008960	
2496.687485	-0.011268	
2496.689485	-0.008496	
2496.691486	-0.010913	
2496.693485	-0.013815	
2496.695486	0.000013	
2496.699485	-0.006549	
2496.703485	-0.001185	
2496.705485	-0.011353	
2496.707485	-0.004715	
2496.709485	-0.014891	
2496.711486	-0.000157	
2496.715484	0.007760	
2496.717485	0.005643	
2496.719486	-0.007544	
2496.721484	-0.013497	
2496.723485	-0.001317	
2496.725485	-0.011153	
2496.727486	-0.000515	
2496.729485	0.008069	
2496.731484	0.002890	
2496.733485	0.010361	
2496.735485	0.002193	
2496.737484	-0.008799	
2496.741484	-0.006653	
2496.743485	-0.005307	
2496.745485	0.009956	
2496.747485	0.009990	
2496.749485	0.009822	
2496.751487	0.018082	
2496.753485	0.004293	
2496.755485	-0.003985	
2496.757485	-0.003905	
2496.759486	-0.007425	
2496.761485	0.006326	
2496.765485	0.007408	
2496.767486	0.025001	
2496.769485	0.013183	
2496.771485	0.004134	
2496.773485	0.009648	
2496.777484	0.002821	
2496.779485	0.010674	
2496.781484	0.007386	
2496.783485	0.014504	
2496.785485	0.020474	
2496.787485	0.010011	
2496.789485	0.015360	
2496.791484	0.008152	
2496.793485	0.007946	
2496.797484	0.022680	
2496.799485	0.013595	
2496.801485	0.022090	
2496.803485	0.006130	
2496.805485	0.012808	
2496.807485	0.017669	
2496.809485	0.008485	
2496.811485	0.020582	
2496.813484	0.028633	
2496.817484	0.019528	
2496.821484	0.016275	
2496.823485	0.021335	
2496.825484	0.010504	
2496.827485	0.019633	
2496.829485	0.029540	
2496.831485	0.024031	
2496.835484	0.032459	
2496.837485	0.009325	
2496.839485	0.014559	
2496.843485	0.013272	
2496.845487	0.030036	
2496.847485	0.031744	
2496.849485	0.026165	
2496.851484	0.037494	
2496.853485	0.021025	
2496.857485	0.009976	
2496.861485	0.006964	
2496.863485	0.033971	
2496.865486	0.026407	
2496.867485	0.037998	
2496.869485	0.027431	
2496.873484	0.019180	
2496.875485	0.005782	
2496.877485	0.012216	
2496.879485	0.025245	
2496.881486	0.024995	
2496.883485	0.033504	
2496.885485	0.031167	
2496.887485	0.015432	
2496.889488	0.021189	
2496.891485	0.017472	
2496.893486	0.006253	
2496.895485	0.016688	
2496.899485	0.018523	
2496.901485	0.029462	
2496.903485	0.015813	
2496.905485	0.012880	
2496.907485	0.015346	
2496.909485	0.005996	
2496.913485	0.018964	
2496.915485	0.008122	
2496.917485	0.019971	
2496.921485	0.005518	
2496.923485	0.007336	
2496.925485	-0.002439	
2496.927485	0.001797	
2496.929486	0.009744	
2496.931484	0.002481	
2496.935485	0.000199	
2496.939485	-0.019088	
2496.941486	-0.014665	
2496.943485	-0.022105	
2496.945485	-0.010507	
2496.947485	-0.015734	
2496.951484	-0.016495	
2496.953485	-0.040601	
2496.955484	-0.047775	
2496.959485	-0.047970	
2496.961484	-0.044969	
2496.963484	-0.045208	
2496.965485	-0.058019	
2496.967485	-0.048982	
2496.969485	-0.069554	
2496.973487	-0.089636	
2496.977485	-0.108470	
2496.979485	-0.099516	
2496.981486	-0.112885	
2496.983485	-0.111820	
2496.985485	-0.125056	
2496.989484	-0.145493	
2496.991486	-0.174926	
2496.993486	-0.192191	
2496.995485	-0.188242	
2496.997486	-0.195359	
2496.999486	-0.207277	
2497.001485	-0.214676	
2497.003485	-0.244988	
2497.005484	-0.259553	
2497.009485	-0.272351	
2497.011485	-0.312685	
2497.013485	-0.325812	
2497.015485	-0.351555	
2497.017485	-0.351582	
2497.019485	-0.382452	
2497.021485	-0.413330	
2497.023485	-0.431412	
2497.025485	-0.464004	
2497.029484	-0.480737	
2497.031486	-0.536955	
2497.035486	-0.559740	
2497.037484	-0.630077	
2497.039484	-0.659798	
2497.041486	-0.700886	
2497.043484	-0.739855	
2497.047484	-0.765116	
2497.049484	-0.856325	
2497.051485	-0.893359	
2497.055486	-0.953908	
2497.057485	-1.044460	
2497.059485	-1.101963	
2497.061484	-1.143887	
2497.063485	-1.194533	
2497.067484	-1.261345	
2497.069485	-1.381713	
2497.071484	-1.455352	
2497.073485	-1.519749	
2497.075485	-1.596634	
2497.077485	-1.657331	
2497.079485	-1.682348	
2497.081484	-1.682405	
2497.083485	-1.682524	
2497.085485	-1.682629	
2497.087485	-1.682856	
2497.089485	-1.682948	
2497.093485	-1.683061	
2497.095485	-1.683207	
2497.097485	-1.683347	
2497.099485	-1.683489	
