num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
683	768.913289	65.757283	13.457262	-1.433901	65.578648
685	770.972784	65.754698	13.483859	-1.432615	65.294070
687	773.031644	65.644379	13.515871	-1.431246	65.549121
689	775.091027	65.453643	13.532815	-1.429416	65.795848
691	777.150554	65.402722	13.577836	-1.428692	67.057390
693	779.209974	65.334370	13.582061	-1.426948	69.359824
697	783.329727	65.178399	13.693959	-1.422807	67.098595
699	785.389562	64.867371	13.667459	-1.422126	66.363033
701	787.449730	64.872626	13.674871	-1.421512	64.828393
703	789.508790	64.606962	13.718563	-1.419171	64.387383
707	793.627623	64.511002	13.766753	-1.417318	63.065294
709	795.686234	64.416062	13.805249	-1.415363	62.441412
711	797.744752	64.307668	13.784471	-1.412370	63.097709
713	799.803427	64.231069	13.825196	-1.410873	64.970720
717	803.920836	63.960849	13.885477	-1.406564	61.094823
719	805.980359	63.806692	13.900005	-1.405318	62.342290
721	808.039407	63.709616	13.940784	-1.403942	61.801645
723	810.098860	63.589212	13.937233	-1.402340	62.744700
727	814.217774	63.365217	14.010545	-1.399883	60.417040
729	816.277837	63.294601	14.020620	-1.397983	61.258622
731	818.336906	63.220069	14.072297	-1.396129	59.539549
733	820.396441	63.046481	14.060140	-1.393721	60.868947
735	822.455688	62.965549	14.080086	-1.393826	59.923351
737	824.515126	62.795342	14.103546	-1.391515	59.854623
741	828.634348	62.669761	14.148751	-1.388872	58.113562
743	830.693742	62.578080	14.182866	-1.387531	57.041186
745	832.754094	62.427539	14.184932	-1.384689	58.046619
747	834.813907	62.332877	14.201912	-1.384692	58.056749
751	838.934368	61.985892	14.292087	-1.379462	57.459763
753	840.994278	61.841368	14.366820	-1.377003	56.779600
755	843.054099	61.911436	14.305929	-1.377901	57.403193
757	845.113225	61.782332	14.313125	-1.375417	57.911585
759	847.172877	61.758589	14.326823	-1.374706	56.504557
761	849.231166	61.620839	14.356933	-1.373425	56.868039
763	851.290999	61.560888	14.359504	-1.371891	57.138282
767	855.409124	61.316530	14.402614	-1.369284	57.421340
769	857.468716	61.188603	14.395663	-1.366988	57.139390
771	859.527607	61.145804	14.440744	-1.366102	55.887853
773	861.587478	61.010474	14.490386	-1.364646	56.921973
777	865.707031	60.820167	14.501853	-1.361353	56.010767
779	867.766088	60.697888	14.525294	-1.359714	56.559542
781	869.826000	60.538116	14.550817	-1.358389	55.151695
783	871.884862	60.466252	14.573822	-1.356662	52.643165
787	876.003739	60.317450	14.617570	-1.353694	53.887425
789	878.062326	60.212829	14.627845	-1.351571	55.389424
791	880.120898	60.101984	14.654247	-1.349648	55.468421
793	882.179442	59.990989	14.649221	-1.347781	52.145388
797	886.297015	59.654732	14.659093	-1.341711	52.733320
799	888.356664	59.665354	14.719473	-1.341635	51.016318
801	890.415163	59.535258	14.743316	-1.340189	51.904543
803	892.474928	59.411020	14.761029	-1.338780	51.097637
807	896.593422	59.157165	14.798090	-1.335590	51.695779
809	898.652804	59.107883	14.804383	-1.334130	52.691509
811	900.712008	59.021466	14.824269	-1.332682	51.462970
813	902.771454	58.927840	14.852448	-1.331243	50.142477
817	906.890465	58.663570	14.905070	-1.328190	51.120178
819	908.949656	58.566522	14.897155	-1.326469	50.702123
821	911.009250	58.536004	14.906741	-1.324526	49.080836
823	913.069101	58.435776	14.908133	-1.323032	49.226698
827	917.189319	58.151309	14.941201	-1.320769	48.572139
829	919.249279	57.980714	14.968686	-1.317348	49.616447
831	921.308970	58.002869	14.979688	-1.317227	48.180845
833	923.369419	57.897719	14.969147	-1.315558	49.367195
837	927.488838	57.669673	15.066070	-1.310768	47.316143
839	929.547890	57.618317	15.033119	-1.309528	49.930119
841	931.607425	57.545008	15.046090	-1.308796	48.137005
843	933.666302	57.412168	15.067199	-1.307370	48.666053
847	937.785330	57.228357	15.139662	-1.303904	47.966633
849	939.844458	57.072022	15.101587	-1.301730	48.011665
851	941.903388	57.052185	15.136756	-1.301177	47.564606
853	943.963004	56.897682	15.141448	-1.299475	47.808754
857	948.081577	56.737871	15.204566	-1.296099	47.105964
859	950.141081	56.620723	15.178381	-1.294726	46.815201
861	952.200820	56.453733	15.205952	-1.291812	45.706418
863	954.260082	56.431478	15.216164	-1.291678	46.184424
865	956.319412	56.306362	15.244348	-1.288681	46.292207
867	958.379003	56.236053	15.268895	-1.287837	46.028761
869	960.437783	56.131128	15.255612	-1.286243	45.359177
871	962.496451	56.038459	15.254717	-1.284582	46.270931
875	966.614431	55.922885	15.291400	-1.280172	43.735002
877	968.672633	55.816700	15.310309	-1.278170	45.425655
879	970.732004	55.711806	15.324222	-1.276155	43.065321
881	972.790664	55.571333	15.340062	-1.275136	44.748586
885	976.909282	55.327367	15.368488	-1.271265	44.780586
887	978.968059	55.212988	15.395802	-1.269470	43.688912
889	981.027642	55.123209	15.380933	-1.268074	43.707796
891	983.086716	55.013800	15.434483	-1.266115	44.431027
893	985.146250	54.887941	15.437242	-1.264544	43.076060
895	987.205471	54.747337	15.466234	-1.262340	43.840624
897	989.265198	54.759905	15.458070	-1.260869	42.346130
899	991.323634	54.658315	15.467397	-1.258753	42.610360
903	995.442845	54.498325	15.531206	-1.256428	42.037365
905	997.502790	54.313065	15.497725	-1.255370	41.885435
907	999.562763	54.290887	15.524325	-1.254283	42.049908
909	1001.622636	54.189190	15.502412	-1.252754	41.121091
913	1005.742297	53.928300	15.573883	-1.247862	41.735036
915	1007.802598	53.880284	15.567826	-1.247024	40.196294
917	1009.861387	53.710400	15.594627	-1.243898	40.806503
919	1011.921388	53.617027	15.602879	-1.242030	41.786928
921	1013.981673	53.629097	15.585089	-1.241675	39.671722
923	1016.040439	53.462752	15.630494	-1.238959	40.876404
925	1018.100564	53.415788	15.618758	-1.237804	40.847326
927	1020.159491	53.311421	15.629212	-1.235842	40.322470
929	1022.218877	53.287715	15.676436	-1.235048	40.068778
931	1024.278823	53.197162	15.649979	-1.231427	40.079112
935	1028.396926	52.935371	15.743523	-1.229368	38.581867
937	1030.456194	52.919791	15.722303	-1.228389	40.524170
939	1032.515514	52.810701	15.707655	-1.226950	40.000658
941	1034.575404	52.731878	15.705956	-1.223906	38.894765
943	1036.634046	52.596762	15.727441	-1.223683	39.580737
947	1040.753705	52.172157	15.870401	-1.217448	39.340362
949	1042.812320	52.281685	15.768677	-1.218026	38.143564
951	1044.871992	52.141474	15.817802	-1.214984	39.212079
953	1046.930311	52.065175	15.842030	-1.213042	38.148313
955	1048.990182	52.065936	15.817981	-1.212124	37.041468
957	1051.049020	51.898129	15.845630	-1.210519	37.485397
959	1053.107465	51.772266	15.838370	-1.208146	37.321538
961	1055.166865	51.731848	15.873654	-1.207033	37.774821
963	1057.225725	51.743063	15.818686	-1.206069	37.055958
965	1059.284587	51.538115	15.875696	-1.203098	36.746264
967	1061.343837	51.541756	15.868140	-1.202023	36.333678
971	1065.461802	51.330441	15.891888	-1.197309	37.112915
973	1067.520648	51.286182	15.885980	-1.196663	37.044791
