time (s)	det(V)
770.341485	-0.015819	
770.345485	-0.018214	
770.347485	-0.016061	
770.349484	-0.021137	
770.351485	-0.025473	
770.353484	-0.009938	
770.357485	-0.013513	
770.359484	-0.012307	
770.363487	-0.029074	
770.365485	-0.015600	
770.367485	-0.025668	
770.369485	-0.011763	
770.371485	-0.008633	
770.375484	-0.013677	
770.377485	-0.022199	
770.379485	-0.026173	
770.383485	-0.018943	
770.385485	-0.013800	
770.387485	-0.004237	
770.389484	-0.012858	
770.391485	-0.001938	
770.393485	-0.004995	
770.397485	-0.024455	
770.401485	-0.022666	
770.403487	-0.003956	
770.405486	-0.004099	
770.407484	-0.005821	
770.409485	0.003473	
770.413484	-0.011343	
770.415485	-0.017154	
770.417485	-0.024394	
770.419489	-0.010162	
770.421486	-0.000445	
770.423485	-0.005984	
770.425485	0.008425	
770.427485	-0.004265	
770.429484	-0.010039	
770.431485	-0.002671	
770.433485	-0.024616	
770.435485	-0.012567	
770.439485	-0.001327	
770.441485	0.004221	
770.443485	0.004506	
770.445484	-0.004972	
770.447484	-0.000706	
770.449484	-0.004396	
770.453484	-0.006954	
770.455487	-0.001242	
770.457486	-0.000366	
770.461485	0.005798	
770.463486	-0.000591	
770.465485	0.003684	
770.467485	-0.006922	
770.469485	0.007404	
770.473484	0.012014	
770.475485	0.009004	
770.479485	0.003039	
770.481484	0.007939	
770.483485	-0.005465	
770.485484	0.006147	
770.487485	0.015420	
770.491484	0.009717	
770.493485	0.007608	
770.495485	-0.002706	
770.499485	0.002966	
770.501485	0.003900	
770.503485	0.018720	
770.505485	0.014691	
770.507486	0.016486	
770.509485	0.025323	
770.513485	0.001071	
770.517485	0.004407	
770.519484	0.019529	
770.521486	0.023137	
770.523485	0.014547	
770.525485	0.029707	
770.529484	0.018924	
770.531484	0.011079	
770.533485	-0.002933	
770.535486	0.007961	
770.537487	0.023679	
770.539485	0.019202	
770.541484	0.028640	
770.543485	0.024635	
770.545485	0.013323	
770.547485	0.019797	
770.549485	0.006957	
770.551485	0.004769	
770.555485	0.017320	
770.557485	0.022918	
770.559485	0.032569	
770.561485	0.018533	
770.563485	0.015923	
770.565485	0.021580	
770.569485	0.012129	
770.571485	0.022243	
770.573485	0.013634	
770.577485	0.029814	
770.579485	0.016869	
770.581485	0.025889	
770.583485	0.009882	
770.585485	0.020461	
770.587485	0.029586	
770.591485	0.013459	
770.595485	0.020159	
770.597485	0.023088	
770.599486	0.017689	
770.601485	0.012227	
770.603485	0.025686	
770.607484	0.023708	
770.609485	0.022882	
770.611484	0.008205	
770.613485	0.006414	
770.615485	0.014966	
770.617485	0.005063	
770.619485	0.021560	
770.621484	0.022165	
770.623485	0.015802	
770.625485	0.026034	
770.627485	0.008555	
770.629484	-0.002904	
770.633485	0.004439	
770.635485	0.003602	
770.637485	0.014784	
770.639486	0.007033	
770.641485	0.013583	
770.643485	0.007729	
770.647484	-0.004176	
770.649485	-0.016545	
770.651485	-0.019913	
770.655485	-0.008927	
770.657485	-0.006342	
770.659484	-0.002610	
770.661485	-0.021811	
770.663484	-0.024002	
770.667484	-0.026707	
770.669486	-0.034357	
770.673485	-0.033451	
770.675487	-0.027298	
770.677485	-0.045095	
770.679485	-0.056463	
770.681484	-0.052946	
770.685484	-0.070852	
770.687485	-0.071876	
770.689485	-0.083393	
770.691484	-0.082307	
770.693488	-0.082983	
770.695486	-0.102001	
770.697485	-0.101228	
770.699484	-0.117094	
770.701484	-0.127141	
770.705484	-0.122719	
770.707485	-0.147037	
770.709485	-0.150551	
770.711485	-0.176579	
770.713485	-0.179947	
770.715485	-0.187950	
770.717485	-0.208275	
770.719485	-0.208033	
770.721485	-0.215492	
770.725484	-0.238672	
770.727485	-0.269859	
770.731485	-0.294801	
770.733485	-0.326175	
770.735485	-0.335400	
770.737486	-0.342281	
770.739485	-0.371064	
770.743485	-0.382899	
770.745485	-0.445898	
770.747484	-0.464123	
770.751486	-0.494500	
770.753484	-0.525083	
770.755485	-0.556001	
770.757485	-0.588786	
770.759485	-0.608277	
770.763484	-0.655849	
770.765485	-0.731396	
770.769485	-0.775360	
770.771484	-0.828471	
770.773485	-0.874673	
770.775484	-0.904090	
770.777484	-0.960227	
770.781484	-1.012496	
770.783484	-1.124100	
770.785485	-1.163459	
770.789485	-1.207465	
770.791485	-1.304716	
770.793485	-1.366095	
770.795486	-1.441826	
770.797485	-1.498235	
770.801484	-1.569160	
770.803485	-1.681903	
770.805485	-1.682594	
770.807485	-1.682664	
770.809485	-1.682740	
770.811484	-1.682815	
770.813486	-1.682923	
770.815485	-1.683081	
770.817485	-1.683192	
770.819485	-1.683227	
770.821485	-1.683391	
770.823485	-1.683518	
770.825489	-1.683578	
770.829486	-1.683710	
770.831485	-1.683800	
770.833485	-1.683914	
770.835485	-1.683965	
770.837485	-1.684027	
770.841484	-1.684080	
770.843485	-1.684050	
770.845485	-1.684131	
770.849485	-1.684124	
770.851486	-1.684042	
770.853485	-1.684100	
770.855485	-1.684060	
770.857484	-1.684099	
770.861485	-1.684051	
770.863485	-1.684069	
770.865485	-1.684132	
770.867485	-1.684125	
770.869486	-1.684107	
770.871485	-1.684131	
770.873485	-1.684098	
770.875485	-1.684087	
770.877485	-1.684086	
770.881484	-1.684125	
770.885484	-1.684068	
770.887485	-1.684096	
770.889485	-1.684130	
770.891485	-1.684088	
770.893484	-1.684059	
770.895486	-1.684072	
770.897485	-1.684093	
770.899485	-1.684075	
770.901484	-1.684104	
770.903486	-1.684092	
770.907484	-1.684116	
770.909485	-1.684062	
770.911486	-1.684094	
770.913485	-1.684104	
770.915486	-1.684078	
770.917485	-1.684063	
770.919485	-1.684117	
770.921485	-1.684083	
770.923485	-1.684106	
770.925485	-1.684029	
770.929485	-1.683955	
770.931487	-1.683742	
770.933485	-1.683642	
770.935484	-1.683461	
770.937485	-1.683323	
770.939485	-1.683135	
770.941484	-1.682952	
770.943485	-1.682791	
770.945484	-1.682701	
770.947485	-1.682538	
770.949487	-1.653256	
770.953485	-1.525757	
770.955485	-1.242132	
770.957485	-1.108580	
770.959485	-0.967982	
770.961485	-0.849138	
770.963485	-0.714231	
770.965484	-0.582106	
770.967485	-0.456436	
770.969485	-0.305748	
770.971486	-0.163800	
770.975485	-0.032629	
770.977485	0.252309	
770.979484	0.374439	
770.981485	0.512572	
770.983485	0.634501	
770.987484	0.781216	
770.989485	1.039105	
770.991486	1.179169	
770.995485	1.305447	
770.997486	1.552424	
770.999484	1.577847	
771.001485	1.577959	
771.003485	1.578012	
771.005485	1.577974	
771.009485	1.578013	
771.013485	1.578016	
771.015485	1.577949	
771.017485	1.577972	
771.019485	1.577972	
771.021485	1.577959	
771.025484	1.577991	
771.027485	1.577993	
771.029484	1.577937	
771.031485	1.577917	
771.033488	1.577927	
771.035485	1.578039	
771.037486	1.577986	
771.039485	1.577942	
771.041485	1.577978	
771.043485	1.578010	
771.045485	1.578021	
771.047485	1.577937	
771.051484	1.577957	
771.053485	1.577981	
771.055484	1.577971	
771.057485	1.578012	
771.059485	1.577928	
771.061485	1.577937	
771.065484	1.577949	
771.067484	1.578019	
771.069485	1.577960	
771.073486	1.577928	
771.075485	1.578053	
771.077485	1.577967	
771.079485	1.577921	
771.081485	1.577988	
771.083485	1.577958	
771.087485	1.577996	
771.091485	1.577949	
