num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1715	2083.318888	61.441850	9.560696	4.008422	60.676701
1717	2085.376349	61.577636	9.543031	4.008493	61.341070
1719	2087.434873	61.563829	9.468919	4.008431	61.525282
1723	2091.551564	61.261131	9.412970	4.009102	60.341467
1725	2093.610825	61.183401	9.372641	4.010999	60.103303
1727	2095.670396	61.095537	9.334058	4.012373	61.368957
1731	2099.788576	60.932252	9.244585	4.015097	59.775578
1733	2101.847780	60.861560	9.191955	4.016146	57.821591
1735	2103.907959	60.847030	9.155120	4.016965	58.815985
1737	2105.968662	60.833348	9.108646	4.018126	60.530772
1739	2108.029162	60.766827	9.110467	4.018997	60.853152
1743	2112.147482	60.636894	9.030513	4.021267	58.613948
1745	2114.204320	60.485983	8.997658	4.023972	59.030966
1747	2116.262606	60.476095	8.959881	4.026423	58.696508
1751	2120.381312	60.177008	8.856610	4.027460	58.397531
1753	2122.441844	60.017361	8.846150	4.028848	58.488731
1755	2124.502054	60.104928	8.805588	4.029183	57.956982
1757	2126.562020	59.905410	8.784139	4.030894	58.068178
1761	2130.680799	59.736091	8.715112	4.034095	59.692655
1763	2132.740509	59.778812	8.699282	4.034914	57.676086
1765	2134.799425	59.731811	8.668209	4.036284	58.794305
1767	2136.859151	59.652330	8.629340	4.037371	57.037432
1771	2140.976199	59.517988	8.546090	4.039290	56.726578
1773	2143.034509	59.524049	8.516069	4.039381	55.864777
1775	2145.092314	59.604737	8.495817	4.039512	58.996664
1779	2149.210045	59.155663	8.423173	4.040728	56.498463
1781	2151.269615	59.207324	8.398245	4.041521	55.844384
1783	2153.329848	58.920926	8.366869	4.043803	55.693681
1785	2155.390210	59.037881	8.346879	4.045100	56.952237
1787	2157.450566	58.915545	8.304217	4.047357	55.861750
1789	2159.510024	58.924217	8.301323	4.048191	56.531168
1791	2161.568759	58.789330	8.260549	4.049363	55.320884
1793	2163.627234	58.857642	8.236835	4.048754	56.517223
1797	2167.744169	58.717038	8.166683	4.049883	54.503762
1799	2169.803757	58.743149	8.128809	4.050996	54.305700
1801	2171.862198	58.559428	8.116897	4.051969	56.242542
1803	2173.922219	58.441620	8.079371	4.052756	55.232557
1807	2178.041398	58.331424	8.028682	4.054845	54.087593
1809	2180.101626	58.119303	8.006472	4.056363	53.914753
1811	2182.160922	58.188899	7.979139	4.056627	53.138959
1813	2184.220231	58.102487	7.968353	4.057574	54.073128
1817	2188.336053	57.828771	7.904546	4.061109	55.406276
1819	2190.394267	57.894106	7.888747	4.062704	52.509702
1821	2192.452661	57.581534	7.856950	4.064842	54.218687
1825	2196.571226	57.713340	7.796281	4.065130	54.567913
1827	2198.631105	57.568784	7.777641	4.066144	53.315791
1829	2200.691371	57.583898	7.752460	4.066311	53.565438
1833	2204.810488	57.385565	7.710800	4.068930	51.242366
1835	2206.870015	57.430309	7.692566	4.069367	53.321717
1837	2208.929655	57.349035	7.660380	4.070338	54.186939
1839	2210.987887	57.291109	7.641526	4.071485	52.590152
1841	2213.046780	57.309472	7.590515	4.072767	52.659527
1845	2217.163507	57.224002	7.573062	4.073398	52.653421
1847	2219.222876	57.114081	7.544004	4.073834	51.285928
1849	2221.280693	56.984956	7.514794	4.074551	52.315341
1851	2223.340103	56.896584	7.496566	4.075007	54.667439
1853	2225.399045	56.822568	7.481094	4.076173	52.106927
1855	2227.458780	56.763163	7.445110	4.077480	53.324081
1859	2231.579231	56.655024	7.415275	4.079781	51.640347
1861	2233.639409	56.512851	7.407263	4.080724	50.999427
1863	2235.698992	56.455727	7.388663	4.082043	52.197580
1865	2237.758435	56.252104	7.362502	4.083191	50.953916
1869	2241.876086	56.316678	7.315652	4.083695	49.580015
1871	2243.934952	56.212428	7.300111	4.084472	49.855842
1873	2245.993270	56.173307	7.271217	4.085108	50.854446
1877	2250.112182	55.845579	7.221852	4.087043	49.609332
1879	2252.171592	55.900686	7.209330	4.087237	50.903047
1881	2254.230871	55.907556	7.193114	4.087477	49.253483
1885	2258.350082	55.786448	7.167866	4.088516	49.624847
1887	2260.407807	55.693527	7.137347	4.089271	48.253383
1889	2262.466586	55.670361	7.113467	4.090194	48.802742
1891	2264.524484	55.571751	7.091859	4.091325	48.229274
1895	2268.640922	55.319947	7.058031	4.095125	48.771995
1897	2270.700275	55.374947	7.041993	4.095941	50.400489
1899	2272.758531	55.343034	7.020133	4.095946	48.571730
1901	2274.817883	55.221454	6.998605	4.096757	49.624477
1905	2278.937204	55.194757	6.958739	4.097843	48.428137
1907	2280.995745	55.066347	6.945952	4.098335	50.079059
1909	2283.055950	55.017567	6.937900	4.099152	47.039749
1911	2285.115253	54.966037	6.915586	4.100028	48.043268
1913	2287.174646	55.011700	6.887471	4.101076	49.244386
1917	2291.292281	54.859095	6.867527	4.101937	48.953146
1919	2293.349834	54.728657	6.841923	4.102559	47.859374
1921	2295.409738	54.682390	6.828156	4.103140	48.603468
1923	2297.467416	54.647920	6.804296	4.103615	47.042777
1927	2301.585620	54.508334	6.778126	4.104642	48.645111
1929	2303.645344	54.471837	6.756491	4.105614	47.586100
1931	2305.705599	54.178415	6.742758	4.107134	47.045177
1933	2307.764860	54.200293	6.724576	4.107469	46.684307
1937	2311.884732	54.104098	6.702298	4.109132	45.302131
1939	2313.944720	54.036119	6.686152	4.110256	46.455251
1941	2316.004108	54.003253	6.667566	4.110985	46.650387
1943	2318.063182	53.873308	6.652447	4.111842	46.057253
1947	2322.181589	53.867698	6.620139	4.113369	46.411781
1949	2324.240244	53.776001	6.606098	4.113859	47.432656
1951	2326.300109	53.698252	6.589359	4.114266	46.126093
1953	2328.358697	53.665061	6.584595	4.115209	46.061510
1957	2332.477147	53.361980	6.556103	4.116179	46.856882
1959	2334.536376	53.366501	6.548111	4.116206	46.374953
1961	2336.595315	53.459088	6.535855	4.116614	44.473154
1963	2338.653543	53.339755	6.514270	4.118163	45.970831
1967	2342.770827	53.267507	6.483439	4.118603	45.004973
1969	2344.828159	53.089436	6.454628	4.120246	45.494879
1971	2346.887577	53.158164	6.443887	4.120245	44.875089
1973	2348.945218	52.994091	6.431847	4.122255	43.864342
1977	2353.062527	52.920738	6.408048	4.123492	45.241547
1979	2355.121608	52.853630	6.390557	4.124149	44.270962
1981	2357.180729	52.792774	6.378042	4.124619	44.126593
1985	2361.299394	52.725239	6.361047	4.125510	44.441552
1987	2363.359345	52.714270	6.349337	4.126041	43.920987
1989	2365.417611	52.620385	6.334858	4.126637	43.026110
1991	2367.477350	52.605271	6.327489	4.127335	44.350935
1995	2371.594732	52.475813	6.293106	4.128886	43.991988
1997	2373.653908	52.397442	6.291119	4.129140	44.505279
1999	2375.712631	52.393332	6.259600	4.130212	43.551823
2001	2377.772168	52.155459	6.260873	4.130920	44.487712
