crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	47.106400	1716	0.000000
281474976710655.000000	47.534588	1717	0.000000
281474976710655.000000	94.518730	1718	0.000000
281474976710655.000000	63.624393	1719	0.000000
281474976710655.000000	48.092018	1720	0.000000
281474976710655.000000	45.584827	1721	0.000000
281474976710655.000000	40.691563	1722	0.000000
281474976710655.000000	67.953362	1723	0.000000
281474976710655.000000	40.773739	1724	0.000000
281474976710655.000000	37.116161	1725	0.000000
281474976710655.000000	62.481697	1726	0.000000
281474976710655.000000	49.835060	1727	0.000000
281474976710655.000000	61.813705	1728	0.000000
281474976710655.000000	61.428894	1729	0.000000
281474976710655.000000	58.653236	1730	0.000000
281474976710655.000000	64.610451	1731	0.000000
281474976710655.000000	97.718849	1732	0.000000
281474976710655.000000	42.226757	1733	0.000000
281474976710655.000000	46.708782	1734	0.000000
281474976710655.000000	98.853241	1735	0.000000
281474976710655.000000	61.434635	1736	0.000000
281474976710655.000000	61.523125	1737	0.000000
281474976710655.000000	64.268051	1738	0.000000
281474976710655.000000	61.978466	1739	0.000000
281474976710655.000000	40.045666	1740	0.000000
281474976710655.000000	47.215858	1741	0.000000
281474976710655.000000	42.733528	1742	0.000000
281474976710655.000000	62.331329	1743	0.000000
281474976710655.000000	45.545471	1744	0.000000
281474976710655.000000	56.595345	1745	0.000000
281474976710655.000000	65.550529	1746	0.000000
281474976710655.000000	63.351498	1747	0.000000
281474976710655.000000	46.637169	1748	0.000000
281474976710655.000000	41.523716	1749	0.000000
281474976710655.000000	39.660313	1750	0.000000
281474976710655.000000	65.236679	1751	0.000000
281474976710655.000000	41.453758	1752	0.000000
281474976710655.000000	57.822117	1753	0.000000
281474976710655.000000	60.357128	1754	0.000000
281474976710655.000000	49.194576	1755	0.000000
281474976710655.000000	57.103924	1756	0.000000
281474976710655.000000	47.808361	1757	0.000000
281474976710655.000000	45.361492	1758	0.000000
281474976710655.000000	39.298985	1759	0.000000
281474976710655.000000	58.255157	1760	0.000000
281474976710655.000000	97.363220	1761	0.000000
281474976710655.000000	38.866917	1762	0.000000
281474976710655.000000	57.840446	1763	0.000000
281474976710655.000000	57.352154	1764	0.000000
281474976710655.000000	61.499710	1765	0.000000
281474976710655.000000	63.492363	1766	0.000000
281474976710655.000000	58.458088	1767	0.000000
281474976710655.000000	39.005474	1768	0.000000
281474976710655.000000	59.036736	1769	0.000000
281474976710655.000000	59.307251	1770	0.000000
281474976710655.000000	90.376877	1771	0.000000
281474976710655.000000	65.727982	1772	0.000000
281474976710655.000000	44.773464	1773	0.000000
281474976710655.000000	57.468975	1774	0.000000
281474976710655.000000	45.970947	1775	0.000000
281474976710655.000000	57.450459	1776	0.000000
281474976710655.000000	57.642277	1777	0.000000
281474976710655.000000	47.271599	1778	0.000000
281474976710655.000000	59.567108	1779	0.000000
281474976710655.000000	58.917458	1780	0.000000
281474976710655.000000	55.866524	1781	0.000000
281474976710655.000000	44.174042	1782	0.000000
281474976710655.000000	59.405113	1783	0.000000
281474976710655.000000	54.771736	1784	0.000000
281474976710655.000000	47.830582	1785	0.000000
281474976710655.000000	63.801197	1786	0.000000
281474976710655.000000	36.281399	1787	0.000000
281474976710655.000000	42.850384	1788	0.000000
281474976710655.000000	65.322929	1789	0.000000
281474976710655.000000	60.216789	1790	0.000000
281474976710655.000000	46.052185	1791	0.000000
281474976710655.000000	37.971893	1792	0.000000
281474976710655.000000	46.135872	1793	0.000000
281474976710655.000000	35.443081	1794	0.000000
281474976710655.000000	61.232689	1795	0.000000
281474976710655.000000	76.175293	1796	0.000000
281474976710655.000000	36.660297	1797	0.000000
281474976710655.000000	61.691822	1798	0.000000
281474976710655.000000	57.468658	1799	0.000000
281474976710655.000000	54.543133	1800	0.000000
281474976710655.000000	41.265469	1801	0.000000
281474976710655.000000	41.530914	1802	0.000000
281474976710655.000000	63.439632	1803	0.000000
281474976710655.000000	57.862164	1804	0.000000
281474976710655.000000	36.300819	1805	0.000000
281474976710655.000000	63.734200	1806	0.000000
281474976710655.000000	37.453236	1807	0.000000
281474976710655.000000	41.648315	1808	0.000000
281474976710655.000000	60.998100	1809	0.000000
281474976710655.000000	57.161057	1810	0.000000
281474976710655.000000	39.526176	1811	0.000000
281474976710655.000000	44.028576	1812	0.000000
281474976710655.000000	43.472145	1813	0.000000
281474976710655.000000	43.955204	1814	0.000000
281474976710655.000000	58.284569	1815	0.000000
281474976710655.000000	52.753391	1816	0.000000
281474976710655.000000	36.901306	1817	0.000000
281474976710655.000000	80.157547	1818	0.000000
281474976710655.000000	56.982735	1819	0.000000
281474976710655.000000	44.083092	1820	0.000000
281474976710655.000000	42.631714	1821	0.000000
281474976710655.000000	54.576027	1822	0.000000
281474976710655.000000	44.666603	1823	0.000000
281474976710655.000000	80.838837	1824	0.000000
281474976710655.000000	56.494373	1825	0.000000
281474976710655.000000	56.304325	1826	0.000000
281474976710655.000000	54.114132	1827	0.000000
281474976710655.000000	59.607666	1828	0.000000
281474976710655.000000	89.147087	1829	0.000000
281474976710655.000000	58.169701	1830	0.000000
281474976710655.000000	40.497612	1831	0.000000
281474976710655.000000	54.472832	1832	0.000000
281474976710655.000000	41.382767	1833	0.000000
281474976710655.000000	58.614292	1834	0.000000
281474976710655.000000	48.741325	1835	0.000000
281474976710655.000000	55.519463	1836	0.000000
281474976710655.000000	56.046658	1837	0.000000
281474976710655.000000	54.511253	1838	0.000000
281474976710655.000000	41.658806	1839	0.000000
281474976710655.000000	57.065014	1840	0.000000
281474976710655.000000	51.365547	1841	0.000000
281474976710655.000000	36.228333	1842	0.000000
281474976710655.000000	42.309628	1843	0.000000
281474976710655.000000	44.057858	1844	0.000000
281474976710655.000000	38.721184	1845	0.000000
281474976710655.000000	61.465481	1846	0.000000
281474976710655.000000	56.114513	1847	0.000000
281474976710655.000000	53.756760	1848	0.000000
281474976710655.000000	51.901093	1849	0.000000
281474976710655.000000	54.777546	1850	0.000000
281474976710655.000000	83.784065	1851	0.000000
281474976710655.000000	49.955868	1852	0.000000
281474976710655.000000	55.339733	1853	0.000000
281474976710655.000000	55.248890	1854	0.000000
281474976710655.000000	53.052738	1855	0.000000
281474976710655.000000	40.724442	1856	0.000000
281474976710655.000000	54.456390	1857	0.000000
281474976710655.000000	57.558331	1858	0.000000
281474976710655.000000	70.029655	1859	0.000000
281474976710655.000000	53.283169	1860	0.000000
281474976710655.000000	45.192860	1861	0.000000
281474976710655.000000	54.235767	1862	0.000000
281474976710655.000000	54.928177	1863	0.000000
281474976710655.000000	34.428535	1864	0.000000
281474976710655.000000	55.614834	1865	0.000000
281474976710655.000000	54.772320	1866	0.000000
281474976710655.000000	50.453178	1867	0.000000
281474976710655.000000	58.742371	1868	0.000000
281474976710655.000000	51.206310	1869	0.000000
281474976710655.000000	43.025852	1870	0.000000
281474976710655.000000	38.780540	1871	0.000000
281474976710655.000000	49.777058	1872	0.000000
281474976710655.000000	54.922909	1873	0.000000
281474976710655.000000	56.644226	1874	0.000000
281474976710655.000000	39.578735	1875	0.000000
281474976710655.000000	68.949547	1876	0.000000
281474976710655.000000	41.825378	1877	0.000000
281474976710655.000000	54.482143	1878	0.000000
281474976710655.000000	54.062874	1879	0.000000
281474976710655.000000	55.368530	1880	0.000000
281474976710655.000000	43.544521	1881	0.000000
281474976710655.000000	51.062336	1882	0.000000
281474976710655.000000	55.075588	1883	0.000000
281474976710655.000000	43.422989	1884	0.000000
281474976710655.000000	66.959740	1885	0.000000
281474976710655.000000	57.207378	1886	0.000000
281474976710655.000000	49.687263	1887	0.000000
281474976710655.000000	52.108196	1888	0.000000
281474976710655.000000	54.596699	1889	0.000000
281474976710655.000000	39.744049	1890	0.000000
281474976710655.000000	49.783222	1891	0.000000
281474976710655.000000	50.922779	1892	0.000000
281474976710655.000000	71.126595	1893	0.000000
281474976710655.000000	71.223145	1894	0.000000
281474976710655.000000	39.924469	1895	0.000000
281474976710655.000000	53.334522	1896	0.000000
281474976710655.000000	52.325100	1897	0.000000
281474976710655.000000	49.056847	1898	0.000000
281474976710655.000000	66.493034	1899	0.000000
281474976710655.000000	52.495808	1900	0.000000
281474976710655.000000	51.326370	1901	0.000000
281474976710655.000000	38.546558	1902	0.000000
281474976710655.000000	47.772869	1903	0.000000
281474976710655.000000	51.689404	1904	0.000000
281474976710655.000000	51.517120	1905	0.000000
281474976710655.000000	49.330471	1906	0.000000
281474976710655.000000	36.351662	1907	0.000000
281474976710655.000000	58.486496	1908	0.000000
281474976710655.000000	57.405136	1909	0.000000
281474976710655.000000	66.432144	1910	0.000000
281474976710655.000000	47.328880	1911	0.000000
281474976710655.000000	66.875038	1912	0.000000
281474976710655.000000	52.921585	1913	0.000000
281474976710655.000000	60.477478	1914	0.000000
281474976710655.000000	49.937988	1915	0.000000
281474976710655.000000	51.737659	1916	0.000000
281474976710655.000000	51.820175	1917	0.000000
281474976710655.000000	45.722122	1918	0.000000
281474976710655.000000	36.779575	1919	0.000000
281474976710655.000000	66.420242	1920	0.000000
281474976710655.000000	39.922691	1921	0.000000
281474976710655.000000	36.175610	1922	0.000000
281474976710655.000000	36.171162	1923	0.000000
281474976710655.000000	68.831627	1924	0.000000
281474976710655.000000	48.205284	1925	0.000000
281474976710655.000000	38.148685	1926	0.000000
