time (s)	det(V)
4360.857589	-0.189507	
4360.859591	-0.184781	
4360.861590	-0.174108	
4360.863590	-0.163940	
4360.867589	-0.157325	
4360.869589	-0.144073	
4360.871590	-0.141152	
4360.873589	-0.133045	
4360.875591	-0.127641	
4360.877590	-0.120778	
4360.879589	-0.111454	
4360.881590	-0.105573	
4360.883589	-0.100945	
4360.885589	-0.094236	
4360.887590	-0.093205	
4360.889593	-0.091067	
4360.893589	-0.085413	
4360.895590	-0.074729	
4360.897590	-0.068066	
4360.899590	-0.065433	
4360.901590	-0.059173	
4360.905588	-0.057896	
4360.907592	-0.054690	
4360.909590	-0.055313	
4360.911594	-0.050479	
4360.915590	-0.044294	
4360.917591	-0.037997	
4360.919590	-0.035881	
4360.921590	-0.036218	
4360.923591	-0.033507	
4360.925589	-0.033329	
4360.927589	-0.031027	
4360.929590	-0.026685	
4360.931589	-0.026498	
4360.933590	-0.024387	
4360.935590	-0.022186	
4360.939590	-0.023669	
4360.941589	-0.019686	
4360.943590	-0.020621	
4360.945590	-0.015850	
4360.947588	-0.013239	
4360.951588	-0.013434	
4360.953589	-0.015299	
4360.955590	-0.017322	
4360.959590	-0.011715	
4360.961590	-0.010710	
4360.963590	-0.007329	
4360.965590	-0.007570	
4360.967590	-0.005629	
4360.969589	-0.005866	
4360.973590	-0.009577	
4360.977590	-0.010142	
4360.979591	-0.005576	
4360.981592	-0.003860	
4360.983589	-0.002953	
4360.985590	-0.002495	
4360.989590	-0.004482	
4360.991590	-0.006621	
4360.993590	-0.008476	
4360.995590	-0.004965	
4360.997590	-0.001735	
4360.999590	-0.002264	
4361.001589	0.002172	
4361.003590	-0.002311	
4361.005590	-0.003422	
4361.007590	-0.001696	
4361.009590	-0.005549	
4361.011594	-0.003167	
4361.015589	-0.000966	
4361.017590	0.000943	
4361.019590	0.001682	
4361.021589	-0.001404	
4361.023590	0.000292	
4361.025590	-0.000981	
4361.027588	-0.001348	
4361.029589	0.001878	
4361.031590	-0.000104	
4361.033590	0.001298	
4361.035589	0.001372	
4361.039590	-0.001344	
4361.041589	0.000878	
4361.043589	-0.000937	
4361.045589	0.003326	
4361.047589	0.004087	
4361.051588	0.003861	
4361.053590	0.000520	
4361.055591	-0.001638	
4361.059590	0.001251	
4361.061590	0.002026	
4361.063589	0.005156	
4361.065588	0.004477	
4361.067590	0.005551	
4361.069590	0.004999	
4361.073590	0.000613	
4361.077590	-0.000834	
4361.079592	0.004035	
4361.081589	0.004340	
4361.083589	0.004691	
4361.085590	0.005592	
4361.089588	0.001981	
4361.091589	-0.000881	
4361.093590	-0.002864	
4361.097590	0.001197	
4361.099590	0.003744	
4361.101591	0.005791	
4361.103590	0.001574	
4361.105590	0.000306	
4361.107589	0.002038	
4361.111591	-0.002208	
4361.115595	0.001753	
4361.117589	0.003928	
4361.119593	0.003197	
4361.121590	-0.000250	
4361.123590	0.000305	
4361.127588	-0.001494	
4361.129589	0.000116	
4361.131590	-0.000962	
4361.133590	0.000018	
4361.135590	0.001335	
4361.137590	-0.000098	
4361.139590	-0.001061	
4361.141589	-0.000762	
4361.143589	-0.002768	
4361.145590	0.000466	
4361.147590	0.000965	
4361.149590	-0.001573	
4361.153589	0.001903	
4361.155590	-0.003148	
4361.157590	-0.000311	
4361.159590	-0.003198	
4361.161589	-0.000805	
4361.163589	0.002298	
4361.167588	0.000618	
4361.169589	-0.000805	
4361.171590	-0.004343	
4361.175590	-0.002452	
4361.177590	-0.002408	
4361.179589	0.000826	
4361.181589	0.000078	
4361.183590	0.000916	
4361.187589	0.002640	
4361.191589	-0.004661	
4361.193591	-0.003984	
4361.195590	0.000120	
4361.197590	0.001281	
4361.199590	0.000678	
4361.201589	0.003610	
4361.205589	0.000221	
4361.207590	-0.002273	
4361.209590	-0.006101	
4361.213590	-0.002084	
4361.215590	0.000253	
4361.217590	0.002860	
4361.219590	0.000622	
4361.221589	-0.000406	
4361.223589	-0.001003	
4361.227589	-0.004069	
4361.231590	-0.001050	
4361.233591	0.001586	
4361.235589	0.002011	
4361.237590	-0.001966	
4361.239590	-0.001837	
4361.243588	-0.001498	
4361.245590	-0.003529	
4361.247590	-0.000208	
4361.249590	-0.003307	
