crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.136951	3666	0.000000
281474976710655.000000	1.040235	3667	0.000000
281474976710655.000000	1.026777	3668	0.000000
281474976710655.000000	1.064776	3669	0.000000
281474976710655.000000	1.088837	3670	0.000000
281474976710655.000000	1.079907	3671	0.000000
281474976710655.000000	1.097577	3672	0.000000
281474976710655.000000	1.076766	3673	0.000000
281474976710655.000000	1.035584	3674	0.000000
281474976710655.000000	1.086342	3675	0.000000
281474976710655.000000	1.131992	3676	0.000000
281474976710655.000000	1.043856	3677	0.000000
281474976710655.000000	1.138743	3678	0.000000
281474976710655.000000	1.048840	3679	0.000000
281474976710655.000000	1.062379	3680	0.000000
281474976710655.000000	1.084229	3681	0.000000
281474976710655.000000	1.091920	3682	0.000000
281474976710655.000000	1.039743	3683	0.000000
281474976710655.000000	1.112112	3684	0.000000
281474976710655.000000	1.106463	3685	0.000000
281474976710655.000000	1.084526	3686	0.000000
281474976710655.000000	1.048579	3687	0.000000
281474976710655.000000	1.086304	3688	0.000000
281474976710655.000000	1.118048	3689	0.000000
281474976710655.000000	1.063522	3690	0.000000
281474976710655.000000	1.065699	3691	0.000000
281474976710655.000000	1.087568	3692	0.000000
281474976710655.000000	1.054568	3693	0.000000
281474976710655.000000	1.103969	3694	0.000000
281474976710655.000000	1.073413	3695	0.000000
281474976710655.000000	1.124860	3696	0.000000
281474976710655.000000	1.017318	3697	0.000000
281474976710655.000000	1.112912	3698	0.000000
281474976710655.000000	1.056562	3699	0.000000
281474976710655.000000	1.051556	3700	0.000000
281474976710655.000000	0.999504	3701	0.000000
281474976710655.000000	1.096890	3702	0.000000
281474976710655.000000	1.048034	3703	0.000000
281474976710655.000000	1.030567	3704	0.000000
281474976710655.000000	1.034547	3705	0.000000
281474976710655.000000	1.135090	3706	0.000000
281474976710655.000000	1.044906	3707	0.000000
281474976710655.000000	1.072793	3708	0.000000
281474976710655.000000	1.012427	3709	0.000000
281474976710655.000000	1.051740	3710	0.000000
281474976710655.000000	1.034426	3711	0.000000
281474976710655.000000	1.129457	3712	0.000000
281474976710655.000000	1.132679	3713	0.000000
281474976710655.000000	1.045345	3714	0.000000
281474976710655.000000	1.101763	3715	0.000000
281474976710655.000000	1.127901	3716	0.000000
281474976710655.000000	1.128283	3717	0.000000
281474976710655.000000	1.049983	3718	0.000000
281474976710655.000000	1.012842	3719	0.000000
