num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3667	5129.342398	18.088291	49.585722	3.893912	0.547408
3669	5131.421754	16.618630	52.445999	3.944406	0.277546
3671	5133.474516	16.781927	51.341460	3.935204	0.449361
3673	5135.547676	15.872116	53.133846	3.966946	0.338983
3675	5137.600375	16.125548	51.990805	3.955943	0.437308
3677	5139.658699	16.008679	51.756802	3.959386	0.409594
3679	5141.727154	15.283463	52.795257	3.982048	0.399161
3683	5145.839245	15.820989	51.829573	3.966090	0.363497
3685	5147.896040	16.142981	51.507194	3.962607	0.501983
3687	5149.966805	15.402024	53.230143	3.988883	0.366065
3689	5152.020021	15.757770	52.181313	3.975727	0.395369
3691	5154.092469	14.519851	54.133442	4.018712	0.420974
3693	5156.140265	15.701173	52.163432	3.983535	0.532385
3695	5158.195411	16.076810	51.696965	3.983347	0.524965
3697	5160.274942	14.346833	54.417701	4.032462	0.296464
3699	5162.320733	15.191567	53.003146	4.010540	0.432365
3701	5164.390334	14.688372	53.858071	4.031946	0.375334
3703	5166.435186	15.806083	52.111319	3.995400	0.453120
3705	5168.492285	16.206825	51.725814	3.997466	0.529350
3707	5170.548468	16.256416	51.301573	3.993861	0.477869
3709	5172.612513	15.928525	51.847232	4.006992	0.423246
3711	5174.672778	15.990459	52.244910	4.010165	0.458553
3713	5176.725547	16.514085	50.989924	3.995109	0.451731
3715	5178.794328	15.715361	52.176816	4.018573	0.383410
3717	5180.849957	15.767404	51.361884	4.016727	0.622575
3719	5182.913833	15.272813	51.985182	4.029180	0.506641
3721	5184.969898	15.571345	51.620232	4.024954	0.444204
3723	5187.025842	15.865560	51.390476	4.022297	0.506918
3725	5189.101563	14.478176	52.920307	4.059941	0.432271
3727	5191.155765	14.983213	52.316628	4.048899	0.362472
3729	5193.227759	13.466713	54.116027	4.084887	0.322641
3731	5195.282364	14.240074	53.293575	4.077820	0.347180
3733	5197.348514	13.289364	53.879420	4.093458	0.342601
3735	5199.402655	13.884158	53.335780	4.080959	0.361412
3737	5201.462484	13.534402	53.219894	4.089768	0.390897
3739	5203.528536	13.301970	54.124278	4.106739	0.380058
3741	5205.580587	13.603711	52.979901	4.097782	0.340270
3743	5207.645122	13.110268	53.636904	4.107658	0.338746
3745	5209.709896	12.866016	54.267449	4.124381	0.343785
3747	5211.768760	13.071215	54.326182	4.119660	0.326178
3749	5213.818399	13.231001	53.046048	4.111959	0.405063
3751	5215.866173	14.334905	51.460772	4.086424	0.461419
3753	5217.930299	13.792690	52.314397	4.103621	0.329454
3755	5219.991405	13.988306	52.461876	4.098773	0.346363
3757	5222.321678	9.288997	62.674191	4.368170	0.029323
3759	5224.107865	13.846152	52.267287	4.107299	0.385566
3761	5226.170967	13.554596	52.496957	4.118085	0.398541
3763	5228.230630	13.587659	52.685214	4.115544	0.471983
3765	5230.290220	13.680658	52.605484	4.118949	0.361357
3767	5232.354341	13.628631	52.741998	4.132255	0.392944
3769	5234.405482	13.919309	51.601976	4.115507	0.418733
3771	5236.460138	13.674680	51.500623	4.123111	0.456010
3773	5238.531930	12.719841	52.943495	4.150075	0.501760
3775	5240.591241	12.927173	52.595958	4.143012	0.408290
3777	5242.651634	12.794391	52.792207	4.151594	0.352674
3779	5244.717797	11.871563	53.618595	4.174727	0.273384
3781	5246.776483	12.007168	53.510720	4.172827	0.437431
3783	5248.838912	11.908700	53.724686	4.175868	0.341472
3785	5250.898629	11.726182	53.372755	4.179351	0.295321
3787	5252.962769	11.154249	54.368928	4.199115	0.276763
3789	5255.015864	11.601127	53.190791	4.187125	0.333289
3791	5257.079850	11.324202	53.882757	4.197207	0.316618
3793	5259.135374	11.389070	53.436046	4.197223	0.301956
3795	5261.201145	10.863406	54.565693	4.212778	0.288922
3797	5263.248177	11.758005	52.639472	4.186314	0.423284
3799	5265.326508	10.564640	55.091950	4.224726	0.346948
3801	5267.363256	11.661047	52.017158	4.187479	0.392631
3803	5269.443188	10.717463	54.554947	4.224769	0.312172
3805	5271.479914	11.587484	52.098937	4.194837	0.398937
3807	5273.540751	11.763586	51.836533	4.193297	0.455810
