time (s)	det(V)
5129.201590	-0.609636	
5129.203590	-0.588958	
5129.205589	-0.562939	
5129.207590	-0.541934	
5129.209590	-0.518851	
5129.211589	-0.496300	
5129.213589	-0.479286	
5129.215590	-0.462663	
5129.217590	-0.442535	
5129.219590	-0.430144	
5129.221590	-0.410802	
5129.225590	-0.395404	
5129.227590	-0.360375	
5129.229590	-0.346338	
5129.231589	-0.332736	
5129.233590	-0.316337	
5129.235590	-0.305416	
5129.237589	-0.291333	
5129.239590	-0.275624	
5129.241590	-0.266010	
5129.243590	-0.252665	
5129.245590	-0.239542	
5129.249590	-0.233419	
5129.251590	-0.209857	
5129.253588	-0.201791	
5129.255589	-0.187754	
5129.257590	-0.179866	
5129.261589	-0.169989	
5129.263589	-0.156900	
5129.265590	-0.152754	
5129.269590	-0.143767	
5129.271590	-0.125818	
5129.273590	-0.118330	
5129.275589	-0.113329	
5129.277590	-0.104445	
5129.279590	-0.099991	
5129.283590	-0.099959	
5129.287590	-0.091274	
5129.289592	-0.075400	
5129.291589	-0.074051	
5129.293590	-0.067553	
5129.295590	-0.064754	
5129.299589	-0.062996	
5129.301590	-0.059299	
5129.303590	-0.058077	
5129.307590	-0.049630	
5129.309592	-0.041282	
5129.311590	-0.038572	
5129.313591	-0.039525	
5129.315592	-0.039274	
5129.317589	-0.034560	
5129.321590	-0.036239	
5129.325590	-0.027243	
5129.327591	-0.020210	
5129.329590	-0.021506	
5129.331590	-0.023097	
5129.333590	-0.020714	
5129.337588	-0.021425	
5129.339590	-0.015765	
5129.341590	-0.014768	
5129.343589	-0.012142	
5129.345590	-0.010377	
5129.347590	-0.011517	
5129.349590	-0.011116	
5129.351590	-0.010314	
5129.353590	-0.011900	
5129.355591	-0.005967	
5129.357590	-0.006686	
5129.359589	-0.006411	
5129.363589	-0.005336	
5129.365590	-0.008151	
5129.367590	-0.005393	
5129.369589	-0.005478	
5129.371589	-0.001713	
5129.373589	0.001231	
5129.375590	-0.000633	
5129.377590	-0.000009	
5129.379590	-0.000397	
5129.381590	-0.003608	
5129.383589	-0.001207	
5129.387590	-0.004254	
5129.389590	0.001748	
5129.391590	0.002707	
5129.393590	0.006317	
5129.395590	0.003262	
5129.399589	0.001365	
5129.401590	-0.000790	
5129.403590	-0.000610	
5129.407590	0.001875	
5129.409589	0.005161	
5129.411590	0.007403	
5129.413589	0.004228	
5129.415590	0.002653	
5129.417590	0.003630	
5129.421589	-0.000110	
5129.425590	0.005065	
5129.427589	0.008768	
5129.429590	0.007292	
5129.431590	0.003674	
5129.433589	0.004524	
5129.437589	0.001901	
5129.439590	0.005138	
5129.441590	0.002698	
5129.443589	0.005932	
5129.445590	0.006460	
5129.447597	0.003368	
5129.449590	0.003897	
5129.451590	0.004123	
5129.453590	0.001884	
5129.455589	0.006533	
5129.457592	0.005144	
5129.459589	0.005513	
5129.463588	0.003767	
5129.465590	0.001791	
5129.467589	0.002900	
5129.469590	0.000808	
5129.471590	0.005121	
5129.473589	0.005757	
5129.477588	0.005612	
5129.479590	0.003399	
5129.481589	0.001173	
