crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.018630	3298	0.000000
281474976710655.000000	1.079012	3299	0.000000
281474976710655.000000	1.105234	3300	0.000000
281474976710655.000000	1.047663	3301	0.000000
281474976710655.000000	1.082820	3302	0.000000
281474976710655.000000	1.013115	3303	0.000000
281474976710655.000000	1.056139	3304	0.000000
281474976710655.000000	1.025698	3305	0.000000
281474976710655.000000	1.063338	3306	0.000000
281474976710655.000000	1.090111	3307	0.000000
281474976710655.000000	1.125768	3308	0.000000
281474976710655.000000	1.138476	3309	0.000000
281474976710655.000000	1.026952	3310	0.000000
281474976710655.000000	1.040704	3311	0.000000
281474976710655.000000	1.094160	3312	0.000000
281474976710655.000000	1.077887	3313	0.000000
281474976710655.000000	1.019795	3314	0.000000
281474976710655.000000	1.054351	3315	0.000000
281474976710655.000000	1.042800	3316	0.000000
281474976710655.000000	1.138892	3317	0.000000
281474976710655.000000	1.067345	3318	0.000000
281474976710655.000000	1.065454	3319	0.000000
281474976710655.000000	1.105885	3320	0.000000
281474976710655.000000	1.073970	3321	0.000000
281474976710655.000000	1.054890	3322	0.000000
281474976710655.000000	1.094802	3323	0.000000
281474976710655.000000	1.087611	3324	0.000000
281474976710655.000000	1.054014	3325	0.000000
281474976710655.000000	1.020521	3326	0.000000
281474976710655.000000	1.010643	3327	0.000000
281474976710655.000000	1.065058	3328	0.000000
281474976710655.000000	1.134196	3329	0.000000
281474976710655.000000	1.013310	3330	0.000000
281474976710655.000000	1.132062	3331	0.000000
281474976710655.000000	1.083025	3332	0.000000
281474976710655.000000	1.061470	3333	0.000000
281474976710655.000000	1.101748	3334	0.000000
281474976710655.000000	1.078157	3335	0.000000
281474976710655.000000	1.109443	3336	0.000000
281474976710655.000000	1.084224	3337	0.000000
281474976710655.000000	1.137959	3338	0.000000
281474976710655.000000	1.099336	3339	0.000000
281474976710655.000000	1.095004	3340	0.000000
281474976710655.000000	1.064561	3341	0.000000
281474976710655.000000	1.059565	3342	0.000000
281474976710655.000000	1.048857	3343	0.000000
281474976710655.000000	1.066236	3344	0.000000
281474976710655.000000	1.050922	3345	0.000000
281474976710655.000000	1.083894	3346	0.000000
281474976710655.000000	1.092352	3347	0.000000
281474976710655.000000	1.035162	3348	0.000000
281474976710655.000000	1.041764	3349	0.000000
281474976710655.000000	1.064408	3350	0.000000
281474976710655.000000	1.102897	3351	0.000000
281474976710655.000000	0.980833	3352	0.000000
281474976710655.000000	1.036374	3353	0.000000
281474976710655.000000	1.032272	3354	0.000000
281474976710655.000000	1.125687	3355	0.000000
281474976710655.000000	1.031508	3356	0.000000
281474976710655.000000	1.031533	3357	0.000000
281474976710655.000000	1.059907	3358	0.000000
281474976710655.000000	1.017519	3359	0.000000
281474976710655.000000	1.021988	3360	0.000000
281474976710655.000000	1.086554	3361	0.000000
281474976710655.000000	1.112775	3362	0.000000
281474976710655.000000	1.055925	3363	0.000000
281474976710655.000000	1.057523	3364	0.000000
281474976710655.000000	1.046198	3365	0.000000
281474976710655.000000	1.047013	3366	0.000000
281474976710655.000000	1.120101	3367	0.000000
281474976710655.000000	1.084459	3368	0.000000
281474976710655.000000	1.049006	3369	0.000000
281474976710655.000000	1.058274	3370	0.000000
281474976710655.000000	1.127191	3371	0.000000
281474976710655.000000	1.044978	3372	0.000000
281474976710655.000000	1.079310	3373	0.000000
281474976710655.000000	0.994572	3374	0.000000
281474976710655.000000	1.046683	3375	0.000000
281474976710655.000000	1.046351	3376	0.000000
281474976710655.000000	1.038234	3377	0.000000
281474976710655.000000	1.092535	3378	0.000000
281474976710655.000000	1.093510	3379	0.000000
281474976710655.000000	1.057260	3380	0.000000
281474976710655.000000	1.035082	3381	0.000000
281474976710655.000000	1.125685	3382	0.000000
281474976710655.000000	1.051449	3383	0.000000
281474976710655.000000	1.040539	3384	0.000000
281474976710655.000000	1.086540	3385	0.000000
281474976710655.000000	1.082809	3386	0.000000
281474976710655.000000	1.108303	3387	0.000000
281474976710655.000000	1.066823	3388	0.000000
281474976710655.000000	1.079747	3389	0.000000
281474976710655.000000	1.057616	3390	0.000000
281474976710655.000000	1.076810	3391	0.000000
281474976710655.000000	1.027017	3392	0.000000
281474976710655.000000	1.046283	3393	0.000000
281474976710655.000000	1.038825	3394	0.000000
281474976710655.000000	1.083604	3395	0.000000
281474976710655.000000	1.027584	3396	0.000000
281474976710655.000000	1.046753	3397	0.000000
281474976710655.000000	1.090781	3398	0.000000
