time (s)	det(V)
4743.933590	-0.771237	
4743.935589	-0.794164	
4743.937589	-0.814284	
4743.939590	-0.840358	
4743.943589	-0.862325	
4743.945590	-0.902638	
4743.949590	-0.917514	
4743.951589	-0.946130	
4743.953589	-0.957936	
4743.955589	-0.973993	
4743.957590	-0.989511	
4743.959590	-0.997338	
4743.961590	-1.010723	
4743.963590	-1.018745	
4743.965590	-1.023351	
4743.969590	-1.030434	
4743.971590	-1.037400	
4743.973594	-1.044050	
4743.975590	-1.044396	
4743.977590	-1.046409	
4743.979590	-1.047290	
4743.981589	-1.041051	
4743.983590	-1.038405	
4743.985590	-1.037412	
4743.987590	-1.031005	
4743.991589	-1.028465	
4743.993590	-1.012475	
4743.995589	-1.004212	
4743.997589	-0.989960	
4743.999590	-0.975918	
4744.001590	-0.965138	
4744.003590	-0.949025	
4744.005591	-0.937005	
4744.007590	-0.925798	
4744.011590	-0.908013	
4744.013589	-0.872508	
4744.015590	-0.849775	
4744.017590	-0.831670	
4744.019590	-0.809816	
4744.021590	-0.791576	
4744.023590	-0.773696	
4744.025588	-0.753327	
4744.027589	-0.734947	
4744.029590	-0.714087	
4744.033590	-0.689247	
4744.035590	-0.647274	
4744.037590	-0.623724	
4744.039590	-0.607057	
4744.041590	-0.589063	
4744.043590	-0.567677	
4744.047588	-0.549470	
4744.049589	-0.508216	
4744.051589	-0.491144	
4744.055590	-0.471620	
4744.057589	-0.441823	
4744.059590	-0.426917	
4744.061590	-0.415800	
4744.063590	-0.400133	
4744.067589	-0.381727	
4744.069590	-0.355522	
4744.073591	-0.342690	
4744.075590	-0.319342	
4744.077589	-0.307267	
4744.079590	-0.295833	
4744.081590	-0.281666	
4744.085590	-0.270288	
4744.087589	-0.249693	
4744.089589	-0.244599	
4744.093590	-0.236078	
4744.095590	-0.217801	
4744.097590	-0.205666	
4744.099590	-0.195917	
4744.101589	-0.189660	
4744.103592	-0.178803	
4744.107590	-0.171515	
4744.111590	-0.163631	
4744.113592	-0.149657	
4744.115590	-0.139521	
4744.117590	-0.135471	
4744.119590	-0.128340	
4744.123589	-0.122815	
4744.125589	-0.117133	
4744.127589	-0.112910	
4744.131590	-0.108769	
4744.133590	-0.093549	
4744.135589	-0.089279	
4744.137590	-0.083726	
4744.139589	-0.083443	
4744.141589	-0.080469	
