num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3299	4744.223371	12.451579	-56.173662	-1.954789	0.324977
3301	4746.278507	12.617888	-55.292641	-1.953431	0.359671
3303	4748.344135	12.464792	-56.406628	-1.962628	0.232063
3305	4750.399471	12.678572	-55.764039	-1.960920	0.322617
3307	4752.449004	13.190916	-54.687227	-1.945744	0.379285
3309	4754.518055	12.377548	-55.897977	-1.969883	0.406769
3311	4756.564474	13.529293	-53.858465	-1.938543	0.453658
3313	4758.641715	12.412135	-56.226213	-1.978605	0.315180
3315	4760.697809	12.242751	-55.664699	-1.981607	0.388117
3317	4762.746264	12.932927	-54.021754	-1.962885	0.361074
3319	4764.823119	11.863651	-55.978403	-1.995698	0.199737
3321	4766.883717	11.714429	-55.994937	-2.002684	0.375702
3323	4768.931304	12.178687	-54.737716	-1.985265	0.437668
3325	4770.995881	11.805516	-55.190179	-1.999356	0.336838
3327	4773.041088	12.519300	-53.629220	4.304831	0.351631
3329	4775.103896	12.287419	-54.324978	-1.990023	0.406305
3331	4777.158667	12.722977	-53.487798	-1.983123	0.389577
3333	4779.208180	13.232828	-52.112191	-1.962640	0.395950
3335	4781.275238	12.720375	-53.212503	-1.981372	0.386035
3337	4783.346140	11.893104	-54.537445	-2.011439	0.394629
3339	4785.387145	13.100596	-52.153393	-1.975209	0.405974
3341	4787.467868	11.752918	-54.503410	-2.018113	0.275410
3343	4789.520796	11.752428	-54.021945	-2.016814	0.262672
3345	4791.583608	11.520690	-54.398815	-2.022740	0.343441
3347	4793.654773	10.973396	-55.241921	-2.042772	0.289513
3349	4795.711412	10.723239	-54.842773	-2.047825	0.345474
3351	4797.772026	10.622349	-55.070108	-2.050229	0.299743
3353	4799.831086	10.759848	-55.308443	-2.051246	0.282829
3355	4801.905296	9.958132	-56.499776	-2.076947	0.321655
3357	4803.962657	9.888748	-56.597066	-2.078008	0.129256
3359	4806.008421	10.765101	-54.959429	-2.055841	0.451689
3361	4808.089442	9.828693	-56.878915	-2.090715	0.207337
3363	4810.134685	10.046717	-55.748384	-2.078652	0.306421
3365	4812.184235	10.453414	-54.454184	-2.066443	0.338429
3367	4814.249052	9.994049	-55.182612	-2.081204	0.321735
3369	4816.299886	10.404264	-54.318647	-2.070038	0.385646
3371	4818.364733	10.400907	-54.448099	-2.074928	0.296074
3373	4820.431152	9.716724	-55.630036	-2.095777	0.334811
3375	4822.499952	9.402368	-55.901891	-2.106630	0.262647
3377	4824.542882	9.790979	-54.328250	-2.092519	0.206992
3379	4826.597151	10.073646	-54.106953	-2.083459	0.305810
3381	4828.668054	9.455681	-55.021114	-2.107108	0.360099
3383	4830.718419	9.700781	-54.307053	-2.097209	0.372608
3385	4832.775804	9.731627	-54.009634	-2.096408	0.262184
3387	4834.842481	9.533210	-54.557315	-2.109740	0.267610
3389	4836.892751	9.580211	-53.609759	-2.102007	0.222266
3391	4838.955156	9.571540	-53.967655	-2.109378	0.373649
3393	4841.019559	9.233042	-54.302607	-2.117138	0.381718
3395	4843.077318	9.244180	-53.996855	-2.117146	0.289132
3397	4845.140404	8.953076	-54.327902	-2.126857	0.353874
3399	4847.207061	8.767771	-55.126022	-2.136496	0.285651
3401	4849.266685	8.452890	-54.953687	4.139768	0.293417
3403	4851.311343	8.874530	-53.658161	-2.125286	0.281816
3405	4853.403520	7.859107	-56.235841	-2.163708	0.228596
3407	4855.447866	8.144722	-55.156119	-2.152205	0.246656
3409	4857.510024	7.959932	-55.284090	-2.159143	0.183619
3411	4859.576707	7.700282	-56.147111	-2.168022	0.179254
3413	4861.634113	7.757872	-55.722734	-2.168020	0.332672
3415	4863.689138	7.854600	-55.030995	-2.164337	0.255251
3417	4865.767913	7.220844	-56.662883	4.093190	0.251801
3419	4867.798067	7.976636	-54.348071	4.121072	0.337598
3421	4869.859136	7.960144	-54.608847	4.119019	0.189173
3423	4871.921018	7.650884	-54.475124	4.109308	0.231376
3425	4874.005582	7.022710	-56.233484	-2.198145	0.125723
3427	4876.027598	7.828411	-53.968681	-2.165631	0.305535
3429	4878.091481	7.614059	-53.923499	-2.174141	0.232968
3431	4880.154375	7.417561	-54.319460	-2.178814	0.212233
3433	4882.204557	7.594054	-53.439929	-2.173613	0.265915
3435	4884.267964	7.296706	-53.898523	-2.181661	0.383394
3437	4886.322068	7.512423	-53.203132	-2.175034	0.204082
3439	4888.397325	6.915393	-54.625869	-2.194531	0.278259
3441	4890.441158	7.114632	-53.726942	-2.185094	0.322428
3443	4892.507152	7.065646	-53.717072	-2.191074	0.190687
3445	4894.585690	6.576792	-54.998997	-2.208050	0.134413
3447	4896.634325	6.654319	-54.187579	-2.203729	0.183138
3449	4898.696733	6.505158	-54.346899	-2.208783	0.257899
3451	4900.739768	6.731374	-53.405039	-2.200501	0.291957
3453	4902.813302	6.387579	-54.177664	-2.212020	0.307396
3455	4904.892144	6.032500	-55.076167	-2.226767	0.292524
3457	4906.946658	5.909414	-54.843101	-2.227558	0.197969
3459	4908.996182	6.130209	-54.051127	-2.220678	0.374298
3461	4911.066927	5.743789	-54.773780	-2.233693	0.121092
3463	4913.118868	5.805918	-54.364587	-2.229304	0.181526
3465	4915.173143	5.870326	-54.183619	-2.228257	0.247564
3467	4917.249705	5.624631	-54.576703	-2.239662	0.286679
3469	4919.288589	5.781830	-53.898172	-2.231846	0.143189
3471	4921.361882	5.631519	-54.267643	-2.237637	0.283678
3473	4923.409493	5.690061	-53.734544	-2.235874	0.246666
3475	4925.470902	5.526081	-53.905412	-2.239265	0.121052
3477	4927.539238	5.430751	-53.903815	4.037633	0.151385
3479	4929.588977	5.469062	-53.698416	4.040509	0.185015
3481	4931.646893	5.387963	-53.673499	-2.244390	0.265124
3483	4933.697530	5.459064	-52.971477	-2.240546	0.311493
3485	4935.759219	5.335744	-53.283165	-2.243132	0.101740
3487	4937.828001	5.148213	-53.424852	-2.249563	0.134828
3489	4939.865793	5.358820	-52.484283	-2.239623	0.281891
3491	4941.943753	5.037395	-53.529392	-2.254523	0.096419
3493	4943.994860	5.129410	-52.791799	-2.249057	0.220140
3495	4946.045788	5.155465	-52.732868	-2.248488	0.219496
3497	4948.115332	5.024572	-52.850886	-2.252972	0.187221
3499	4950.181017	4.794899	-53.090558	-2.259082	0.182968
3501	4952.231859	4.845753	-52.773090	-2.258978	0.212878
3503	4954.302927	4.486704	-53.271974	-2.269111	0.198363
3505	4956.355764	4.638059	-52.666939	-2.262619	0.246811
3507	4958.413251	4.663074	-52.460578	-2.262543	0.250114
3509	4960.475591	4.412604	-52.849999	-2.270065	0.316090
3511	4962.540800	4.241950	-52.891180	-2.273479	0.158476
3513	4964.594733	4.234207	-52.660405	-2.272747	0.323052
3515	4966.665413	4.087786	-52.815313	-2.277820	0.216775
3517	4968.721160	4.056987	-52.679808	-2.278297	0.124901
3519	4970.771321	4.110000	-52.347727	-2.275955	0.180730
3521	4972.835432	3.970078	-52.695061	-2.280613	0.328814
3523	4974.893338	3.983146	-52.409536	-2.279971	0.193262
3525	4976.945872	3.972067	-52.136759	-2.279944	0.259834
3527	4979.020139	3.769075	-52.464297	-2.286864	0.233372
3529	4981.074990	3.740262	-52.475636	-2.286797	0.128023
3531	4983.140363	3.631046	-52.355226	-2.291305	0.266663
3533	4985.191545	3.625984	-52.359854	-2.288824	0.222713
3535	4987.250243	3.564573	-52.114478	-2.289477	0.259768
3537	4989.311016	3.459342	-52.123635	-2.291570	0.102073
3539	4991.361965	3.446426	-51.946143	-2.290707	0.217525
3541	4993.414065	3.477759	-51.597253	-2.287115	0.180959
3543	4995.496529	3.208763	-52.201184	-2.297993	0.219849
3545	4997.517606	3.527932	-50.787082	-2.284348	0.242502
3547	4999.595978	3.272664	-51.692118	-2.293870	0.235581
3549	5001.653910	3.225896	-51.464318	-2.295561	0.188782
3551	5003.702223	3.350746	-50.972149	-2.290682	0.193093
3553	5005.773205	3.108433	-51.313856	-2.298517	0.145002
3555	5007.851360	2.884163	-51.266327	-2.305210	0.141545
3557	5009.911667	2.800219	-51.434441	-2.306692	0.283223
3559	5011.969458	2.711047	-51.541680	-2.309082	0.137758
3561	5014.020731	2.742239	-51.428268	-2.306218	0.185776
3563	5016.085618	2.617664	-51.343034	-2.310084	0.244838
3565	5018.133697	2.681436	-50.919668	-2.306181	0.295659
3567	5020.197537	2.563491	-51.019438	-2.308524	0.326831
3569	5022.244987	2.592873	-50.669985	-2.307482	0.277837
3571	5024.307763	2.548504	-50.568919	-2.307709	0.231159
3573	5026.362105	2.529337	-50.574915	-2.309952	0.200696
3575	5028.435669	2.443905	-50.764393	-2.311883	0.322107
3577	5030.495689	2.347105	-50.860754	-2.315721	0.195845
3579	5032.572666	2.201558	-50.901576	-2.321186	0.203791
3583	5036.659458	2.318107	-49.914880	-2.310857	0.184786
3585	5038.740707	2.061440	-50.642561	-2.322270	0.133595
