crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.106154	2551	0.000000
281474976710655.000000	1.072632	2552	0.000000
281474976710655.000000	1.052104	2553	0.000000
281474976710655.000000	1.050226	2554	0.000000
281474976710655.000000	1.072256	2555	0.000000
281474976710655.000000	1.052850	2556	0.000000
281474976710655.000000	1.090437	2557	0.000000
281474976710655.000000	1.139140	2558	0.000000
281474976710655.000000	1.152278	2559	0.000000
281474976710655.000000	1.044728	2560	0.000000
281474976710655.000000	1.086114	2561	0.000000
281474976710655.000000	1.095037	2562	0.000000
281474976710655.000000	1.026930	2563	0.000000
281474976710655.000000	1.051569	2564	0.000000
281474976710655.000000	1.077927	2565	0.000000
281474976710655.000000	1.097794	2566	0.000000
281474976710655.000000	1.141605	2567	0.000000
281474976710655.000000	1.068548	2568	0.000000
281474976710655.000000	1.050776	2569	0.000000
281474976710655.000000	1.096560	2570	0.000000
281474976710655.000000	1.092754	2571	0.000000
281474976710655.000000	1.049415	2572	0.000000
281474976710655.000000	1.087798	2573	0.000000
281474976710655.000000	0.988393	2574	0.000000
281474976710655.000000	1.111125	2575	0.000000
281474976710655.000000	1.081775	2576	0.000000
281474976710655.000000	1.010540	2577	0.000000
281474976710655.000000	1.027530	2578	0.000000
281474976710655.000000	1.075542	2579	0.000000
281474976710655.000000	1.096768	2580	0.000000
281474976710655.000000	1.076886	2581	0.000000
281474976710655.000000	1.035902	2582	0.000000
281474976710655.000000	1.057529	2583	0.000000
281474976710655.000000	1.093330	2584	0.000000
281474976710655.000000	1.089959	2585	0.000000
281474976710655.000000	1.045897	2586	0.000000
281474976710655.000000	1.109556	2587	0.000000
281474976710655.000000	1.022321	2588	0.000000
281474976710655.000000	1.115346	2589	0.000000
281474976710655.000000	1.045857	2590	0.000000
281474976710655.000000	1.113426	2591	0.000000
281474976710655.000000	1.062973	2592	0.000000
281474976710655.000000	1.103285	2593	0.000000
281474976710655.000000	1.033252	2594	0.000000
281474976710655.000000	1.039484	2595	0.000000
281474976710655.000000	1.041926	2596	0.000000
281474976710655.000000	1.037518	2597	0.000000
281474976710655.000000	1.054969	2598	0.000000
281474976710655.000000	1.128378	2599	0.000000
281474976710655.000000	1.053393	2600	0.000000
281474976710655.000000	1.066004	2601	0.000000
281474976710655.000000	1.036136	2602	0.000000
281474976710655.000000	1.053004	2603	0.000000
281474976710655.000000	1.058183	2604	0.000000
281474976710655.000000	1.040612	2605	0.000000
281474976710655.000000	1.035253	2606	0.000000
281474976710655.000000	1.139834	2607	0.000000
281474976710655.000000	1.070027	2608	0.000000
281474976710655.000000	1.053583	2609	0.000000
281474976710655.000000	1.023526	2610	0.000000
281474976710655.000000	1.049567	2611	0.000000
281474976710655.000000	1.110008	2612	0.000000
281474976710655.000000	1.043505	2613	0.000000
281474976710655.000000	1.020718	2614	0.000000
281474976710655.000000	1.063923	2615	0.000000
281474976710655.000000	1.067336	2616	0.000000
281474976710655.000000	1.115484	2617	0.000000
281474976710655.000000	1.072330	2618	0.000000
281474976710655.000000	1.048418	2619	0.000000
281474976710655.000000	1.056244	2620	0.000000
281474976710655.000000	1.078958	2621	0.000000
281474976710655.000000	1.051062	2622	0.000000
281474976710655.000000	1.044747	2623	0.000000
281474976710655.000000	1.054544	2624	0.000000
281474976710655.000000	1.067227	2625	0.000000
281474976710655.000000	1.076327	2626	0.000000
281474976710655.000000	1.028157	2627	0.000000
281474976710655.000000	1.088248	2628	0.000000
281474976710655.000000	1.108450	2629	0.000000
281474976710655.000000	1.083118	2630	0.000000
281474976710655.000000	1.066318	2631	0.000000
281474976710655.000000	1.085404	2632	0.000000
281474976710655.000000	1.065297	2633	0.000000
281474976710655.000000	1.073309	2634	0.000000
281474976710655.000000	1.098408	2635	0.000000
281474976710655.000000	1.081684	2636	0.000000
281474976710655.000000	1.068717	2637	0.000000
281474976710655.000000	1.089954	2638	0.000000
281474976710655.000000	1.170322	2639	0.000000
281474976710655.000000	1.047022	2640	0.000000
281474976710655.000000	1.057359	2641	0.000000
281474976710655.000000	0.999660	2642	0.000000
281474976710655.000000	1.093196	2643	0.000000
281474976710655.000000	1.054834	2644	0.000000
281474976710655.000000	1.168620	2645	0.000000
281474976710655.000000	1.012639	2646	0.000000
281474976710655.000000	1.083884	2647	0.000000
281474976710655.000000	1.001871	2648	0.000000
281474976710655.000000	1.041563	2649	0.000000
281474976710655.000000	1.051383	2650	0.000000
281474976710655.000000	1.100520	2651	0.000000
281474976710655.000000	1.059278	2652	0.000000
281474976710655.000000	1.098455	2653	0.000000
281474976710655.000000	1.123082	2654	0.000000
281474976710655.000000	1.113159	2655	0.000000
281474976710655.000000	1.077203	2656	0.000000
281474976710655.000000	1.067053	2657	0.000000
281474976710655.000000	1.044624	2658	0.000000
281474976710655.000000	1.064089	2659	0.000000
281474976710655.000000	1.039521	2660	0.000000
281474976710655.000000	0.981200	2661	0.000000
281474976710655.000000	1.023141	2662	0.000000
281474976710655.000000	1.137148	2663	0.000000
281474976710655.000000	1.041580	2664	0.000000
281474976710655.000000	1.084382	2665	0.000000
281474976710655.000000	1.077078	2666	0.000000
281474976710655.000000	1.081320	2667	0.000000
281474976710655.000000	1.130929	2668	0.000000
281474976710655.000000	1.035867	2669	0.000000
281474976710655.000000	1.077050	2670	0.000000
281474976710655.000000	1.025114	2671	0.000000
281474976710655.000000	1.029047	2672	0.000000
281474976710655.000000	1.085575	2673	0.000000
281474976710655.000000	1.047904	2674	0.000000
281474976710655.000000	1.032183	2675	0.000000
281474976710655.000000	1.019634	2676	0.000000
281474976710655.000000	1.019503	2677	0.000000
281474976710655.000000	1.074188	2678	0.000000
281474976710655.000000	1.017490	2679	0.000000
281474976710655.000000	1.165646	2680	0.000000
281474976710655.000000	1.020505	2681	0.000000
281474976710655.000000	1.101052	2682	0.000000
281474976710655.000000	1.134595	2683	0.000000
281474976710655.000000	1.061052	2684	0.000000
281474976710655.000000	0.993147	2685	0.000000
281474976710655.000000	1.045908	2686	0.000000
281474976710655.000000	1.021601	2687	0.000000
281474976710655.000000	1.068570	2688	0.000000
281474976710655.000000	1.077022	2689	0.000000
281474976710655.000000	1.030248	2690	0.000000
281474976710655.000000	1.074239	2691	0.000000
281474976710655.000000	1.084056	2692	0.000000
281474976710655.000000	1.078566	2693	0.000000
281474976710655.000000	1.065120	2694	0.000000
281474976710655.000000	1.054003	2695	0.000000
281474976710655.000000	1.106296	2696	0.000000
281474976710655.000000	1.102232	2697	0.000000
281474976710655.000000	1.040796	2698	0.000000
281474976710655.000000	1.072173	2699	0.000000
281474976710655.000000	1.087052	2700	0.000000
281474976710655.000000	1.095567	2701	0.000000
281474976710655.000000	1.026679	2702	0.000000
281474976710655.000000	1.074042	2703	0.000000
281474976710655.000000	1.039480	2704	0.000000
281474976710655.000000	1.018979	2705	0.000000
281474976710655.000000	1.086124	2706	0.000000
281474976710655.000000	1.081091	2707	0.000000
281474976710655.000000	1.064397	2708	0.000000
281474976710655.000000	1.033327	2709	0.000000
281474976710655.000000	1.044061	2710	0.000000
281474976710655.000000	1.016476	2711	0.000000
281474976710655.000000	1.035373	2712	0.000000
281474976710655.000000	1.039919	2713	0.000000
281474976710655.000000	1.001824	2714	0.000000
281474976710655.000000	1.082862	2715	0.000000
281474976710655.000000	1.038855	2716	0.000000
281474976710655.000000	1.082531	2717	0.000000
281474976710655.000000	1.073990	2718	0.000000
281474976710655.000000	1.055102	2719	0.000000
281474976710655.000000	1.033115	2720	0.000000
281474976710655.000000	1.057698	2721	0.000000
281474976710655.000000	1.094554	2722	0.000000
281474976710655.000000	1.070848	2723	0.000000
281474976710655.000000	1.088778	2724	0.000000
281474976710655.000000	0.980209	2725	0.000000
281474976710655.000000	1.045620	2726	0.000000
281474976710655.000000	1.052422	2727	0.000000
281474976710655.000000	1.128160	2728	0.000000
281474976710655.000000	1.090665	2729	0.000000
281474976710655.000000	1.061517	2730	0.000000
281474976710655.000000	1.046153	2731	0.000000
281474976710655.000000	1.038769	2732	0.000000
281474976710655.000000	1.034856	2733	0.000000
281474976710655.000000	1.032252	2734	0.000000
281474976710655.000000	1.026690	2735	0.000000
281474976710655.000000	1.066813	2736	0.000000
281474976710655.000000	1.061536	2737	0.000000
281474976710655.000000	1.062988	2738	0.000000
281474976710655.000000	1.064661	2739	0.000000
281474976710655.000000	1.015085	2740	0.000000
281474976710655.000000	1.047950	2741	0.000000
281474976710655.000000	1.069858	2742	0.000000
281474976710655.000000	1.066647	2743	0.000000
281474976710655.000000	1.028980	2744	0.000000
281474976710655.000000	1.053272	2745	0.000000
281474976710655.000000	1.030021	2746	0.000000
281474976710655.000000	1.078162	2747	0.000000
281474976710655.000000	1.055044	2748	0.000000
281474976710655.000000	1.050557	2749	0.000000
281474976710655.000000	1.082087	2750	0.000000
281474976710655.000000	1.088086	2751	0.000000
281474976710655.000000	0.995788	2752	0.000000
281474976710655.000000	1.103383	2753	0.000000
281474976710655.000000	1.069948	2754	0.000000
281474976710655.000000	1.049256	2755	0.000000
281474976710655.000000	1.034205	2756	0.000000
281474976710655.000000	1.040514	2757	0.000000
281474976710655.000000	1.102754	2758	0.000000
281474976710655.000000	1.028969	2759	0.000000
281474976710655.000000	1.039951	2760	0.000000
281474976710655.000000	1.062291	2761	0.000000
281474976710655.000000	1.050719	2762	0.000000
281474976710655.000000	1.053798	2763	0.000000
281474976710655.000000	1.047500	2764	0.000000
281474976710655.000000	1.110114	2765	0.000000
281474976710655.000000	1.029130	2766	0.000000
281474976710655.000000	1.063576	2767	0.000000
281474976710655.000000	1.078996	2768	0.000000
281474976710655.000000	1.053993	2769	0.000000
281474976710655.000000	1.040677	2770	0.000000
281474976710655.000000	0.999417	2771	0.000000
281474976710655.000000	1.051370	2772	0.000000
281474976710655.000000	1.061876	2773	0.000000
281474976710655.000000	1.042653	2774	0.000000
281474976710655.000000	1.032318	2775	0.000000
281474976710655.000000	1.109557	2776	0.000000
281474976710655.000000	1.058452	2777	0.000000
281474976710655.000000	1.072520	2778	0.000000
281474976710655.000000	1.081935	2779	0.000000
281474976710655.000000	1.070537	2780	0.000000
281474976710655.000000	1.006185	2781	0.000000
281474976710655.000000	1.054968	2782	0.000000
281474976710655.000000	1.123692	2783	0.000000
281474976710655.000000	1.021486	2784	0.000000
281474976710655.000000	1.050208	2785	0.000000
281474976710655.000000	0.977488	2786	0.000000
281474976710655.000000	1.084656	2787	0.000000
281474976710655.000000	1.122564	2788	0.000000
281474976710655.000000	1.026561	2789	0.000000
281474976710655.000000	1.072021	2790	0.000000
281474976710655.000000	1.071278	2791	0.000000
281474976710655.000000	1.020906	2792	0.000000
