time (s)	det(V)
3967.247590	0.004812	
3967.249590	0.010382	
3967.251589	0.008121	
3967.253591	0.008815	
3967.255590	0.008530	
3967.259589	0.008801	
3967.261590	0.012975	
3967.263590	0.012654	
3967.265591	0.016002	
3967.267592	0.013683	
3967.269590	0.014498	
3967.271590	0.017005	
3967.273590	0.015422	
3967.275590	0.020071	
3967.277591	0.023926	
3967.279589	0.022009	
3967.281590	0.025040	
3967.285589	0.024107	
3967.287590	0.026081	
3967.289589	0.026735	
3967.291590	0.030246	
3967.293590	0.034741	
3967.295589	0.036043	
3967.299589	0.040129	
3967.301589	0.038501	
3967.303590	0.041045	
3967.307590	0.042891	
3967.309590	0.052418	
3967.311590	0.056406	
3967.313590	0.059060	
3967.315590	0.063989	
3967.319589	0.063262	
3967.321590	0.068325	
3967.325590	0.070113	
3967.327589	0.085628	
3967.329589	0.088660	
3967.331590	0.096660	
3967.333590	0.097406	
3967.337588	0.101142	
3967.339589	0.107272	
3967.341590	0.116376	
3967.345590	0.124521	
3967.347589	0.140156	
3967.349590	0.147272	
3967.351590	0.149969	
3967.353589	0.157608	
3967.355589	0.164863	
3967.359591	0.171142	
3967.363590	0.191909	
3967.365591	0.213198	
3967.367589	0.218528	
3967.369590	0.227903	
3967.371590	0.238831	
3967.375589	0.247867	
3967.377590	0.273773	
3967.379590	0.284069	
3967.381590	0.299611	
3967.383590	0.310674	
3967.385590	0.322829	
3967.387589	0.337280	
3967.389590	0.348335	
3967.391589	0.365576	
3967.393590	0.382689	
3967.395590	0.393501	
3967.397590	0.408920	
3967.401589	0.423540	
3967.403591	0.454066	
3967.405590	0.472803	
3967.407590	0.490630	
3967.409589	0.512328	
3967.411590	0.531754	
3967.415588	0.551551	
3967.417590	0.585909	
3967.419590	0.606120	
3967.423590	0.626876	
3967.425588	0.672536	
3967.427590	0.696191	
3967.429589	0.716309	
3967.431590	0.741716	
3967.433590	0.759331	
3967.437591	0.778510	
3967.441590	0.818814	
3967.443589	0.869068	
3967.445592	0.888253	
3967.447590	0.910612	
3967.449590	0.929534	
3967.453589	0.945753	
3967.455590	0.979038	
3967.457590	0.994955	
3967.459590	1.013720	
3967.461590	1.030282	
3967.463590	1.044376	
3967.465589	1.058533	
3967.467590	1.064717	
3967.469592	1.073183	
3967.471590	1.081978	
3967.473590	1.084838	
3967.475590	1.093238	
3967.479590	1.098797	
3967.481591	1.103377	
3967.483590	1.099719	
3967.485590	1.094542	
3967.487589	1.091522	
3967.489590	1.082264	
3967.493589	1.077421	
3967.495590	1.058197	
3967.497589	1.047661	
3967.501590	1.035067	
3967.503590	1.003070	
3967.505589	0.985626	
3967.507589	0.966238	
3967.509590	0.951762	
3967.511590	0.932110	
3967.515590	0.909493	
3967.519590	0.862561	
3967.521590	0.814945	
3967.523590	0.788508	
3967.525590	0.766461	
3967.527589	0.742838	
3967.531589	0.715481	
3967.533590	0.659203	
3967.535590	0.628779	
3967.537590	0.603938	
3967.539590	0.573913	
3967.541590	0.547876	
3967.543589	0.522565	
3967.545590	0.493101	
3967.547590	0.465718	
3967.549590	0.436567	
3967.551591	0.403344	
3967.553589	0.377390	
3967.557590	0.347309	
3967.559590	0.291014	
3967.561591	0.262897	
3967.563590	0.231190	
3967.565590	0.202665	
3967.567590	0.168188	
3967.571589	0.135920	
3967.573589	0.068619	
3967.575588	0.042264	
3967.579590	0.013111	
3967.581590	-0.048106	
3967.583589	-0.082606	
3967.585590	-0.117262	
3967.587590	-0.146814	
3967.589590	-0.182717	
3967.593589	-0.213519	
3967.597590	-0.271462	
3967.599591	-0.334071	
3967.601590	-0.367016	
3967.603590	-0.398169	
3967.605591	-0.427938	
3967.609591	-0.456356	
3967.611590	-0.510083	
3967.613590	-0.543499	
3967.615590	-0.571124	
3967.617590	-0.601141	
3967.619590	-0.629450	
3967.621590	-0.657202	
3967.623590	-0.687615	
3967.625590	-0.710421	
3967.627589	-0.734866	
3967.629589	-0.764535	
3967.631588	-0.785628	
3967.635588	-0.842425	
3967.637590	-0.862582	
3967.639590	-0.885868	
3967.641590	-0.905722	
3967.643590	-0.923959	
3967.645590	-0.945063	
3967.647590	-0.960230	
3967.649590	-0.981565	
3967.653589	-1.001148	
3967.655591	-1.031263	
3967.657590	-1.043307	
3967.659589	-1.051186	
3967.661589	-1.060581	
3967.663590	-1.070005	
3967.665590	-1.076680	
3967.667590	-1.086414	
3967.669589	-1.094032	
3967.673590	-1.096858	
3967.675591	-1.098809	
3967.677590	-1.094721	
3967.679590	-1.092759	
3967.681589	-1.086190	
3967.683590	-1.084171	
3967.685589	-1.080133	
3967.687590	-1.070862	
3967.691589	-1.066175	
3967.695590	-1.038102	
3967.697591	-1.009817	
3967.699590	-0.993354	
3967.701590	-0.980865	
3967.703590	-0.964040	
3967.707589	-0.945658	
3967.709590	-0.906170	
3967.711590	-0.885108	
3967.715590	-0.865629	
3967.717590	-0.821649	
3967.719589	-0.801633	
3967.721590	-0.777670	
3967.723590	-0.757865	
3967.727588	-0.731337	
3967.731589	-0.687636	
3967.733590	-0.643138	
3967.735590	-0.623276	
3967.737592	-0.599656	
3967.739590	-0.581059	
3967.741589	-0.558845	
3967.745589	-0.534973	
3967.747590	-0.497018	
3967.749589	-0.477548	
3967.753589	-0.462439	
3967.755590	-0.427949	
3967.757589	-0.415424	
3967.759590	-0.396382	
3967.761589	-0.379957	
3967.763590	-0.364485	
3967.767590	-0.349925	
3967.771590	-0.327629	
3967.773590	-0.299802	
3967.775589	-0.284145	
3967.777590	-0.270172	
3967.779588	-0.260331	
3967.783589	-0.247613	
3967.785589	-0.234239	
3967.787590	-0.223136	
3967.791590	-0.215624	
3967.793590	-0.191558	
3967.795590	-0.184436	
3967.797590	-0.174881	
3967.799589	-0.167511	
3967.801590	-0.162965	
3967.805589	-0.157365	
3967.809590	-0.145638	
3967.811589	-0.127771	
3967.813591	-0.121706	
3967.815589	-0.113623	
3967.817590	-0.112692	
3967.821589	-0.109453	
3967.823589	-0.101381	
3967.825590	-0.094200	
3967.827590	-0.087790	
3967.829592	-0.084045	
3967.831590	-0.076959	
3967.833589	-0.074546	
3967.835590	-0.073738	
3967.837590	-0.069118	
3967.839590	-0.067704	
3967.841590	-0.064663	
3967.843590	-0.059122	
3967.847590	-0.057902	
3967.849590	-0.049578	
3967.851590	-0.048449	
3967.853589	-0.046492	
3967.855589	-0.044036	
3967.857590	-0.043531	
3967.861589	-0.037436	
3967.863591	-0.034570	
3967.865590	-0.031757	
3967.869590	-0.032832	
3967.871591	-0.027881	
3967.873590	-0.029380	
3967.875589	-0.024444	
3967.877590	-0.020629	
3967.881590	-0.021437	
3967.883589	-0.020136	
3967.887590	-0.022653	
3967.889589	-0.018752	
3967.891590	-0.016721	
3967.893589	-0.012732	
3967.895590	-0.012408	
3967.899588	-0.010299	
3967.901589	-0.012810	
3967.903589	-0.014340	
3967.907590	-0.012637	
3967.909592	-0.009090	
3967.911589	-0.005316	
3967.913589	-0.006066	
3967.915589	-0.004028	
3967.917589	-0.006446	
3967.921590	-0.008383	
3967.925590	-0.010175	
3967.927590	-0.002186	
3967.929590	-0.002927	
3967.931590	0.000560	
3967.933590	-0.001808	
3967.937588	-0.004129	
3967.939590	-0.006974	
3967.941590	-0.005290	
3967.945590	-0.000961	
3967.947590	0.001760	
3967.949590	0.002628	
3967.951590	-0.000951	
3967.953589	-0.000958	
3967.955590	-0.001050	
3967.959589	-0.003209	
3967.963590	0.000588	
3967.965588	0.003590	
3967.967590	0.000123	
3967.969590	-0.000137	
3967.971590	0.000649	
3967.975589	-0.001489	
