num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2551	3965.830754	14.611271	52.613870	1.915294	0.574273
2553	3967.903308	13.484243	53.926603	1.951727	0.420206
2555	3969.973786	12.139078	55.379323	1.986574	0.345699
2557	3972.020137	13.283892	53.884479	1.954970	0.499131
2559	3974.080960	12.481324	53.793560	1.971022	0.395790
2561	3976.131910	12.375153	52.745955	1.965839	0.450551
2563	3978.187548	12.645022	52.399742	1.959623	0.495945
2565	3980.250986	12.042818	53.103889	1.977167	0.465893
2567	3982.295595	12.666946	51.267885	1.960307	0.444881
2569	3984.358564	12.674525	52.000399	1.962493	0.437673
2571	3986.410582	12.768817	51.337563	1.954598	0.427756
2573	3988.472643	12.187269	51.469470	1.974917	0.443156
2575	3990.524760	12.731760	50.755492	1.959070	0.435417
2577	3992.602452	10.861281	53.434113	2.011012	0.377034
2579	3994.661636	10.900543	53.438166	2.012057	0.270911
2581	3996.716159	10.580379	53.055606	2.008785	0.327856
2583	3998.773904	10.515563	52.887579	2.010636	0.484798
2585	4000.834092	10.284109	53.347471	2.015140	0.382908
2587	4002.897052	9.606223	53.942138	2.032221	0.308218
2589	4004.956973	9.939014	54.580544	2.029728	0.389557
2591	4007.012457	9.683034	54.067709	2.031891	0.297123
2593	4009.053644	11.004333	52.085984	1.999686	0.538691
2595	4011.118807	10.149469	52.987184	2.023491	0.385804
2597	4013.167075	10.713308	51.820510	2.010581	0.422220
2599	4015.228063	10.392717	52.369929	2.014935	0.523984
2601	4017.282980	10.984024	51.301692	2.006453	0.398074
2603	4019.338263	10.389079	51.110594	2.015393	0.544841
2605	4021.411468	9.748270	53.229419	2.037167	0.469044
2607	4023.476125	8.849280	53.615698	2.052130	0.449768
2609	4025.541146	8.337879	54.350250	2.071316	0.407126
2611	4027.588690	8.995801	53.180446	2.052012	0.432719
2613	4029.651885	8.385858	53.926122	2.065558	0.306451
2615	4031.717165	7.831303	54.293687	2.080646	0.308631
2617	4033.757461	8.612557	52.140624	2.053410	0.405161
2619	4035.818660	8.096251	52.579277	2.068505	0.332716
2621	4037.871536	7.992632	52.009383	2.067554	0.402056
2623	4039.926037	8.718337	51.358831	2.054245	0.489844
2625	4041.987088	8.021301	51.820486	2.069404	0.337033
2627	4044.039679	8.268586	51.271621	2.061100	0.375950
2629	4046.100768	7.908235	51.465839	2.073354	0.518111
2631	4048.169561	7.418089	52.754183	2.086556	0.352680
2633	4050.219164	7.378328	52.125895	2.083597	0.428503
2635	4052.290008	7.079755	52.976014	2.092960	0.299574
2637	4054.342992	7.044932	52.627960	2.091446	0.291043
2639	4056.422339	5.723796	55.183452	2.123973	0.253083
2641	4058.461120	6.452542	52.714674	2.099205	0.355526
2643	4060.540737	5.509082	55.475104	2.126239	0.241266
2645	4062.592968	5.622277	55.006626	2.124533	0.204309
2647	4064.646998	5.694849	54.147641	2.121066	0.244809
2649	4066.707612	5.646951	54.744894	2.121815	0.332832
2651	4068.747136	6.153912	52.654530	2.108275	0.324388
2653	4070.801322	6.230620	52.168186	2.105471	0.399997
2655	4072.862642	6.075841	52.637799	2.111230	0.299284
2657	4074.914777	6.276814	51.986270	2.107400	0.337682
2659	4076.981491	5.668740	53.082193	2.118677	0.272176
2661	4079.047891	5.379823	53.603737	2.127268	0.264186
2663	4081.113537	4.982922	54.349027	2.139127	0.259817
2665	4083.167898	5.155588	53.944483	2.133967	0.265353
2667	4085.216590	5.264462	52.927066	2.129145	0.360376
2669	4087.279666	4.980749	53.255198	2.138155	0.337158
2671	4089.336325	4.899571	53.246617	2.136162	0.350503
2673	4091.403357	4.398263	54.479822	2.150519	0.315244
2675	4093.447621	4.824925	52.230789	2.136586	0.316159
2677	4095.510016	4.358946	53.290697	2.148620	0.333337
2679	4097.552332	4.761007	51.309965	2.137320	0.475900
2681	4099.611430	4.979632	51.162794	2.134008	0.354864
2683	4101.667971	4.603925	51.255306	2.139006	0.461647
2685	4103.740002	4.133351	52.683655	2.152181	0.368380
2687	4105.795703	4.104508	52.122840	2.151072	0.283625
2689	4107.846073	4.198956	51.402464	2.149091	0.368939
2691	4109.923446	3.539294	53.736820	2.162392	0.264831
2693	4111.979743	3.391193	53.419669	2.163657	0.302649
2695	4114.040934	3.179115	53.701799	2.167170	0.170537
2697	4116.096495	3.178868	53.657809	2.165633	0.320211
2699	4118.156186	3.109195	53.849835	2.168559	0.277919
2701	4120.210912	3.219940	53.352570	2.165055	0.251839
2703	4122.278009	2.844453	54.502558	2.176434	0.261910
2705	4124.321795	3.093130	52.671231	2.167251	0.245708
2707	4126.374635	3.130743	52.484221	2.167080	0.335182
2709	4128.438557	2.982518	53.001821	2.171190	0.252651
2711	4130.486485	2.966499	51.999694	2.169905	0.333992
2713	4132.558655	2.789265	53.127510	-4.107977	0.334382
2715	4134.622085	2.490895	53.810987	2.182731	0.333726
2717	4136.672140	2.647146	53.037360	2.177258	0.331057
2719	4138.732756	2.524959	53.196842	2.181067	0.182825
2721	4140.787254	2.598184	52.577273	2.177209	0.404617
2723	4142.847837	2.457727	52.889085	2.181957	0.272418
2725	4144.911919	2.235027	53.858275	2.185715	0.233024
2727	4146.977630	1.951070	54.324514	2.190885	0.191466
2729	4149.013742	2.119918	52.222692	2.186032	0.296436
2731	4151.067267	2.166960	51.483894	2.184628	0.432698
2733	4153.136546	1.924638	52.871462	2.189335	0.362263
2735	4155.191487	1.762092	52.847092	2.194211	0.222792
2737	4157.240850	1.916436	51.465822	2.187665	0.298897
2739	4159.317759	1.554394	53.272781	2.194781	0.313352
2741	4161.371697	1.436506	53.061631	2.196094	0.325914
2743	4163.436513	1.350032	53.641482	2.195819	0.277915
2745	4165.500644	1.184174	54.010178	2.201455	0.281394
2747	4167.548603	1.105066	53.373769	2.199750	0.300341
2749	4169.606809	1.065188	53.214026	2.200610	0.212257
2751	4171.654962	1.126035	52.284774	2.198052	0.303319
2753	4173.724273	0.963362	53.157838	2.201018	0.206023
2755	4175.786243	0.795102	53.651996	2.206092	0.224394
2757	4177.862644	0.699966	54.904300	2.207958	0.235333
2759	4179.906887	0.859871	53.503307	2.204267	0.226819
2761	4181.953402	0.732282	52.962248	2.206522	0.147848
2763	4184.013705	0.646495	53.244422	2.207499	0.304530
2765	4186.065885	0.659199	52.716422	2.208166	0.250439
2767	4188.137645	0.609205	53.500699	2.208044	0.257629
2769	4190.187851	0.648587	53.212793	2.208260	0.298701
2771	4192.248814	0.535556	53.251823	2.209923	0.255324
2773	4194.315506	0.494293	53.760675	2.210014	0.207558
2775	4196.371934	0.437875	53.673523	2.210905	0.242820
2777	4198.406077	0.377081	51.774651	2.210374	0.396720
2779	4200.483635	0.214762	53.729996	2.213751	0.150704
2781	4202.527805	0.040035	52.477798	2.212876	0.395036
2783	4204.596263	0.018449	53.339621	2.214985	0.243303
2785	4206.647902	0.000000	52.565705	2.214328	0.246915
2787	4208.705600	0.080795	-52.454603	-0.928087	0.277530
2789	4210.760285	0.178153	-52.283298	-0.925310	0.332332
2791	4212.810622	0.227540	-51.528200	-0.924709	0.291326
2793	4214.878536	0.259900	-52.327014	-0.925220	0.342245
2795	4216.936982	0.333175	-52.377058	-0.923202	0.348928
2797	4218.996351	0.485370	-52.504343	-0.922196	0.259162
2799	4221.062044	0.539627	-52.964733	-0.923099	0.210796
2801	4223.122164	0.599276	-52.978764	-0.923651	0.339167
2803	4225.189987	0.660033	-53.648144	-0.923936	0.238066
2805	4227.251050	0.701050	-53.829314	-0.923505	0.292499
2807	4229.287614	0.796175	-52.736961	-0.919101	0.339457
2809	4231.374632	0.718227	-54.019361	-0.925829	0.155835
2811	4233.403854	0.831995	-52.566863	-0.919023	0.385523
2813	4235.463242	0.825730	-52.383000	-0.920701	0.290909
2815	4237.522959	0.783976	-52.563750	-0.919604	0.194808
2817	4239.573817	0.929644	-51.992011	-0.918916	0.250512
2819	4241.666830	0.935617	-54.023902	-0.923146	0.178146
2821	4243.712985	0.920919	-53.504933	-0.921309	0.304080
2823	4245.753495	0.952799	-52.232030	-0.919625	0.230152
2825	4247.825034	0.971508	-53.062562	-0.920099	0.234206
2827	4249.885497	0.976297	-52.975590	-0.922695	0.176387
2829	4251.940844	1.096203	-53.190376	-0.919892	0.254316
2831	4254.001041	1.174892	-53.110386	-0.920222	0.230132
2833	4256.051593	1.281574	-52.556190	-0.919064	0.187828
2835	4258.108488	1.336701	-52.888681	-0.917508	0.250751
2837	4260.161852	1.400385	-52.231474	-0.917161	0.334533
2839	4262.217334	1.464859	-51.913283	-0.917703	0.184709
2841	4264.276378	1.546930	-52.512653	-0.915037	0.289985
