time (s)	det(V)
3587.133590	0.763905	
3587.135590	0.789969	
3587.139590	0.813785	
3587.141591	0.865676	
3587.143590	0.887822	
3587.145589	0.912722	
3587.147589	0.935152	
3587.149590	0.959304	
3587.153588	0.984285	
3587.157590	1.026812	
3587.159590	1.065157	
3587.161589	1.082583	
3587.163590	1.099851	
3587.165590	1.113720	
3587.169588	1.131634	
3587.171590	1.153160	
3587.173589	1.163931	
3587.175590	1.166483	
3587.177593	1.170410	
3587.179590	1.175793	
3587.181590	1.173816	
3587.183589	1.175552	
3587.185590	1.175506	
3587.187589	1.168669	
3587.189589	1.162467	
3587.191589	1.150856	
3587.193589	1.135825	
3587.197590	1.124162	
3587.199589	1.093650	
3587.201589	1.079785	
3587.203590	1.059931	
3587.205591	1.040246	
3587.209589	1.018416	
3587.211590	0.964881	
3587.213590	0.941186	
3587.217590	0.912762	
3587.219590	0.864837	
3587.221590	0.836492	
3587.223590	0.809252	
3587.225590	0.776370	
3587.227590	0.745355	
3587.231589	0.715215	
3587.235590	0.654171	
3587.237590	0.596762	
3587.239590	0.568824	
3587.241590	0.535959	
3587.243593	0.501251	
3587.247589	0.471547	
3587.249589	0.409173	
3587.251590	0.384301	
3587.253590	0.355122	
3587.255590	0.326129	
3587.257590	0.295714	
3587.259590	0.262682	
3587.261590	0.230850	
3587.263590	0.200835	
3587.265590	0.167318	
3587.267590	0.139282	
3587.269589	0.109177	
3587.271590	0.077092	
3587.275590	0.048152	
3587.277589	-0.021419	
3587.279589	-0.050737	
3587.281590	-0.085632	
3587.283590	-0.115738	
3587.287589	-0.145843	
3587.289590	-0.211936	
3587.291590	-0.247904	
3587.295590	-0.283941	
3587.297590	-0.350612	
3587.299590	-0.384187	
3587.301590	-0.414278	
3587.303590	-0.443106	
3587.305589	-0.475445	
3587.309590	-0.509467	
3587.313589	-0.580917	
3587.315591	-0.646979	
3587.317590	-0.674507	
3587.319589	-0.705174	
3587.321589	-0.737054	
3587.325589	-0.765830	
3587.327590	-0.831369	
3587.329589	-0.857901	
3587.333590	-0.888715	
3587.335591	-0.932698	
3587.337590	-0.958305	
3587.339590	-0.978564	
3587.341589	-1.002159	
3587.345589	-1.024970	
3587.349588	-1.064161	
3587.351590	-1.090655	
3587.353590	-1.102748	
3587.355590	-1.113756	
3587.357589	-1.123011	
3587.359589	-1.135043	
3587.361589	-1.142049	
3587.363590	-1.147502	
3587.365590	-1.155849	
3587.367592	-1.154089	
3587.371589	-1.152778	
3587.373590	-1.147842	
3587.375590	-1.147002	
3587.377592	-1.142537	
3587.379590	-1.135379	
3587.381590	-1.130646	
3587.383590	-1.118374	
3587.385590	-1.106475	
3587.387589	-1.097773	
3587.391590	-1.083479	
3587.393589	-1.059738	
3587.395590	-1.041410	
3587.397590	-1.026749	
3587.399589	-1.009046	
3587.401590	-0.987470	
3587.403594	-0.969160	
3587.405590	-0.948554	
3587.409589	-0.930110	
3587.413590	-0.891358	
3587.415589	-0.847618	
3587.417591	-0.820300	
3587.419589	-0.797667	
3587.421590	-0.775600	
3587.425589	-0.749623	
3587.427589	-0.711986	
3587.429590	-0.686846	
3587.433590	-0.667106	
3587.435590	-0.614753	
3587.437590	-0.593957	
3587.439591	-0.569296	
3587.441591	-0.549559	
3587.443589	-0.530512	
3587.447589	-0.509093	
3587.451590	-0.470381	
3587.453590	-0.430642	
3587.455589	-0.413897	
3587.457589	-0.395267	
3587.459590	-0.381005	
3587.463588	-0.364489	
3587.465590	-0.335067	
3587.467589	-0.315559	
3587.469589	-0.300069	
3587.471591	-0.285844	
3587.473590	-0.268032	
3587.475589	-0.259461	
3587.477590	-0.247934	
3587.479589	-0.234002	
3587.481590	-0.225399	
3587.483591	-0.212966	
3587.485590	-0.201224	
3587.489589	-0.192963	
3587.491590	-0.172571	
3587.493590	-0.165741	
3587.495589	-0.155341	
3587.497589	-0.149445	
3587.499589	-0.141407	
3587.503589	-0.129608	
3587.505589	-0.119687	
3587.507589	-0.112021	
3587.511590	-0.109597	
3587.513590	-0.096224	
3587.515590	-0.093416	
3587.517590	-0.085951	
3587.519591	-0.079752	
3587.523588	-0.076656	
3587.525590	-0.072551	
3587.529590	-0.069719	
3587.531590	-0.062084	
3587.533590	-0.056895	
3587.535590	-0.051893	
3587.537590	-0.050145	
3587.541589	-0.044362	
3587.543589	-0.046748	
3587.545591	-0.043462	
3587.547589	-0.043094	
3587.549591	-0.039376	
3587.551590	-0.032538	
3587.553590	-0.032763	
3587.555590	-0.029382	
3587.557589	-0.026702	
3587.559590	-0.028090	
3587.561589	-0.028262	
3587.563591	-0.026251	
3587.567589	-0.027758	
3587.569590	-0.020200	
3587.571589	-0.017620	
3587.573589	-0.013564	
3587.575591	-0.016552	
3587.577590	-0.016204	
3587.579589	-0.013377	
3587.581589	-0.016020	
3587.583589	-0.012732	
3587.585590	-0.010738	
3587.587588	-0.011214	
3587.591590	-0.007310	
3587.593590	-0.008942	
3587.595589	-0.006169	
3587.597589	-0.007273	
3587.599589	-0.006270	
3587.603588	-0.001168	
3587.605590	-0.002302	
3587.607590	-0.001950	
3587.611590	-0.004272	
3587.613590	-0.001666	
3587.615590	-0.002264	
3587.617589	0.001674	
3587.619589	0.002963	
3587.623589	0.002965	
3587.625590	-0.000254	
3587.629590	-0.000983	
3587.631589	-0.000308	
3587.633590	0.003700	
3587.635588	0.005737	
3587.637590	0.003322	
3587.641589	0.007690	
3587.643590	0.000660	
3587.645590	0.002198	
3587.649590	0.000698	
3587.651589	0.006935	
3587.653590	0.005463	
3587.655590	0.006445	
3587.657590	0.006948	
3587.659590	0.004173	
3587.663590	0.002380	
3587.667590	0.000384	
3587.669589	0.007294	
3587.671590	0.006308	
3587.673589	0.008285	
3587.675590	0.004402	
3587.679589	0.003693	
3587.681590	-0.000252	
3587.683589	0.002483	
3587.685590	0.004386	
3587.687590	0.004207	
3587.689590	0.008014	
3587.691588	0.005344	
3587.693589	0.003184	
3587.695590	0.003600	
3587.697589	0.001836	
3587.699591	0.001151	
3587.701591	0.004443	
3587.705590	0.002251	
3587.707590	0.004399	
3587.709590	0.002134	
3587.711590	0.002944	
3587.713589	0.002715	
3587.715589	0.000923	
3587.719588	0.003803	
3587.721590	0.002057	
3587.723589	0.004636	
3587.727590	0.000292	
3587.729589	0.002466	
3587.731590	0.000818	
3587.733590	0.002965	
3587.735589	0.004278	
3587.739589	0.003016	
3587.741590	0.001504	
3587.745590	-0.001211	
3587.747590	-0.000026	
3587.749589	0.001279	
3587.751589	0.004265	
3587.753590	0.002784	
3587.757588	0.003938	
3587.759590	-0.000972	
3587.761590	-0.000734	
3587.765590	-0.001248	
3587.767589	0.002635	
3587.769590	0.004139	
3587.771590	0.003335	
