time (s)	det(V)
4331.383589	0.032296	
4331.385590	0.032207	
4331.387590	0.034939	
4331.391589	0.040831	
4331.393590	0.043744	
4331.395590	0.046810	
4331.399590	0.045942	
4331.401590	0.053760	
4331.403590	0.053712	
4331.405589	0.061225	
4331.407589	0.064784	
4331.411589	0.068369	
4331.413590	0.071794	
4331.417590	0.073659	
4331.419590	0.081467	
4331.421590	0.090054	
4331.423590	0.096297	
4331.425589	0.098904	
4331.429589	0.106943	
4331.431589	0.110260	
4331.433589	0.116461	
4331.437590	0.121048	
4331.439590	0.138080	
4331.441589	0.143933	
4331.443590	0.151137	
4331.445590	0.158934	
4331.449589	0.163404	
4331.451590	0.175875	
4331.455590	0.181891	
4331.457590	0.206249	
4331.459590	0.215055	
4331.461590	0.226985	
4331.463590	0.233360	
4331.467589	0.241606	
4331.469591	0.259933	
4331.471589	0.274633	
4331.475593	0.289976	
4331.477590	0.318183	
4331.479590	0.329294	
4331.481590	0.340077	
4331.483590	0.355995	
4331.485590	0.367847	
4331.489590	0.381266	
4331.493590	0.411687	
4331.495589	0.446168	
4331.497590	0.459437	
4331.499592	0.476476	
4331.501590	0.494362	
4331.505589	0.510599	
4331.507590	0.551071	
4331.509589	0.569915	
4331.511590	0.591153	
4331.513590	0.606541	
4331.515590	0.625558	
4331.517589	0.646578	
4331.519590	0.662446	
4331.521589	0.685358	
4331.525589	0.706978	
4331.529589	0.744924	
4331.531590	0.775540	
4331.533590	0.794934	
4331.535591	0.810070	
4331.537590	0.827298	
4331.539590	0.845711	
4331.541589	0.859892	
4331.543590	0.874491	
4331.545589	0.886267	
4331.547590	0.895611	
4331.549589	0.905656	
4331.553590	0.915139	
4331.555590	0.935292	
4331.557589	0.941913	
4331.559590	0.946723	
4331.561590	0.952426	
4331.565588	0.950338	
4331.567590	0.947603	
4331.569589	0.942315	
4331.571590	0.942452	
4331.573590	0.941251	
4331.575589	0.934102	
4331.577590	0.930616	
4331.579590	0.918705	
4331.581590	0.906321	
4331.583590	0.896674	
4331.585590	0.880697	
4331.587591	0.867623	
4331.591590	0.856615	
4331.593590	0.826401	
4331.595589	0.810613	
4331.597590	0.788662	
4331.599589	0.770234	
4331.601588	0.750405	
4331.605588	0.727621	
4331.607591	0.686836	
4331.609590	0.664829	
4331.613590	0.643439	
4331.615590	0.591761	
4331.617590	0.567553	
4331.619590	0.538917	
4331.621590	0.516041	
4331.623590	0.491662	
4331.627590	0.461986	
4331.631590	0.409182	
4331.633590	0.356777	
4331.635589	0.325648	
4331.637589	0.296637	
4331.639590	0.270341	
4331.643588	0.238932	
4331.645590	0.179318	
4331.647590	0.144209	
4331.649589	0.114799	
4331.651590	0.082919	
4331.653590	0.050984	
4331.655589	0.024162	
4331.657589	-0.007252	
4331.659589	-0.041780	
4331.661589	-0.069101	
4331.663590	-0.106944	
4331.665589	-0.141895	
4331.669590	-0.173304	
4331.671590	-0.235268	
4331.673592	-0.263583	
4331.675590	-0.297201	
4331.677589	-0.323886	
4331.679589	-0.357838	
4331.683588	-0.391547	
4331.685589	-0.447950	
4331.687590	-0.473856	
4331.691590	-0.497766	
4331.693589	-0.550069	
4331.695590	-0.575146	
4331.697590	-0.603396	
4331.699590	-0.627888	
4331.703589	-0.651353	
4331.705590	-0.694547	
4331.709590	-0.714402	
4331.711590	-0.749301	
4331.713590	-0.771916	
4331.715590	-0.790529	
4331.717590	-0.805047	
4331.721589	-0.823253	
4331.723589	-0.847736	
4331.725589	-0.860904	
4331.729590	-0.869521	
4331.731589	-0.893686	
4331.733590	-0.899143	
4331.735591	-0.908885	
4331.737589	-0.914531	
4331.741589	-0.915506	
4331.745588	-0.923909	
4331.747590	-0.928272	
4331.749589	-0.927195	
4331.751589	-0.925606	
4331.753590	-0.925419	
4331.755589	-0.917645	
4331.757590	-0.911359	
4331.759590	-0.908745	
4331.761590	-0.900556	
4331.765590	-0.897346	
4331.767589	-0.879986	
4331.769590	-0.870885	
4331.771590	-0.855489	
4331.773591	-0.841460	
4331.775590	-0.830162	
4331.777590	-0.813505	
4331.779589	-0.800835	
4331.781590	-0.791121	
4331.783590	-0.773239	
4331.787590	-0.759634	
4331.789590	-0.719587	
4331.791590	-0.702473	
4331.793589	-0.681472	
4331.795589	-0.662695	
4331.797590	-0.647900	
4331.799590	-0.629368	
4331.801590	-0.610651	
4331.803590	-0.594268	
4331.805590	-0.572053	
4331.807591	-0.551781	
4331.811590	-0.533309	
4331.813590	-0.495666	
4331.815590	-0.479179	
4331.817590	-0.460164	
4331.819589	-0.444257	
4331.823588	-0.427199	
4331.825589	-0.397995	
