crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.033261	1737	0.000000
281474976710655.000000	1.074993	1738	0.000000
281474976710655.000000	1.071263	1739	0.000000
281474976710655.000000	1.071111	1740	0.000000
281474976710655.000000	1.149003	1741	0.000000
281474976710655.000000	1.082844	1742	0.000000
281474976710655.000000	1.120698	1743	0.000000
281474976710655.000000	1.055688	1744	0.000000
281474976710655.000000	1.095018	1745	0.000000
281474976710655.000000	1.120494	1746	0.000000
281474976710655.000000	1.012593	1747	0.000000
281474976710655.000000	1.042641	1748	0.000000
281474976710655.000000	1.106922	1749	0.000000
281474976710655.000000	1.104382	1750	0.000000
281474976710655.000000	1.106520	1751	0.000000
281474976710655.000000	1.062014	1752	0.000000
281474976710655.000000	1.059400	1753	0.000000
281474976710655.000000	1.192702	1754	0.000000
281474976710655.000000	1.088965	1755	0.000000
281474976710655.000000	1.100567	1756	0.000000
281474976710655.000000	1.063326	1757	0.000000
281474976710655.000000	1.170950	1758	0.000000
281474976710655.000000	1.092282	1759	0.000000
281474976710655.000000	1.074551	1760	0.000000
281474976710655.000000	1.073504	1761	0.000000
281474976710655.000000	1.116700	1762	0.000000
281474976710655.000000	1.109867	1763	0.000000
281474976710655.000000	1.110493	1764	0.000000
281474976710655.000000	1.018853	1765	0.000000
281474976710655.000000	1.075328	1766	0.000000
281474976710655.000000	1.095766	1767	0.000000
281474976710655.000000	1.102702	1768	0.000000
281474976710655.000000	1.066858	1769	0.000000
281474976710655.000000	1.108057	1770	0.000000
281474976710655.000000	1.017341	1771	0.000000
281474976710655.000000	1.090268	1772	0.000000
281474976710655.000000	1.074092	1773	0.000000
281474976710655.000000	1.137826	1774	0.000000
281474976710655.000000	1.094023	1775	0.000000
281474976710655.000000	1.089149	1776	0.000000
281474976710655.000000	1.067392	1777	0.000000
281474976710655.000000	1.059087	1778	0.000000
281474976710655.000000	1.094824	1779	0.000000
281474976710655.000000	1.083278	1780	0.000000
281474976710655.000000	1.076838	1781	0.000000
281474976710655.000000	1.040513	1782	0.000000
281474976710655.000000	1.077153	1783	0.000000
281474976710655.000000	1.068337	1784	0.000000
281474976710655.000000	1.089302	1785	0.000000
281474976710655.000000	1.067220	1786	0.000000
281474976710655.000000	1.121195	1787	0.000000
281474976710655.000000	1.133834	1788	0.000000
281474976710655.000000	1.136074	1789	0.000000
281474976710655.000000	1.152627	1790	0.000000
281474976710655.000000	1.185267	1791	0.000000
281474976710655.000000	1.059244	1792	0.000000
281474976710655.000000	1.189929	1793	0.000000
281474976710655.000000	1.083188	1794	0.000000
281474976710655.000000	1.024561	1795	0.000000
281474976710655.000000	1.110355	1796	0.000000
281474976710655.000000	1.067978	1797	0.000000
281474976710655.000000	1.068377	1798	0.000000
281474976710655.000000	1.069263	1799	0.000000
281474976710655.000000	1.005868	1800	0.000000
281474976710655.000000	1.140752	1801	0.000000
281474976710655.000000	1.046513	1802	0.000000
281474976710655.000000	1.109619	1803	0.000000
281474976710655.000000	1.069422	1804	0.000000
281474976710655.000000	1.037313	1805	0.000000
281474976710655.000000	1.120591	1806	0.000000
281474976710655.000000	1.040056	1807	0.000000
281474976710655.000000	1.050663	1808	0.000000
281474976710655.000000	1.014879	1809	0.000000
281474976710655.000000	1.089212	1810	0.000000
281474976710655.000000	1.102010	1811	0.000000
281474976710655.000000	1.093807	1812	0.000000
281474976710655.000000	1.031848	1813	0.000000
281474976710655.000000	1.088267	1814	0.000000
281474976710655.000000	1.056277	1815	0.000000
281474976710655.000000	1.091516	1816	0.000000
281474976710655.000000	1.011801	1817	0.000000
281474976710655.000000	1.077988	1818	0.000000
281474976710655.000000	1.117348	1819	0.000000
281474976710655.000000	1.074825	1820	0.000000
281474976710655.000000	1.088911	1821	0.000000
281474976710655.000000	1.099300	1822	0.000000
281474976710655.000000	1.032532	1823	0.000000
281474976710655.000000	1.091218	1824	0.000000
281474976710655.000000	1.043170	1825	0.000000
281474976710655.000000	1.058666	1826	0.000000
281474976710655.000000	1.066254	1827	0.000000
281474976710655.000000	1.054327	1828	0.000000
281474976710655.000000	1.128254	1829	0.000000
281474976710655.000000	1.115235	1830	0.000000
281474976710655.000000	1.071864	1831	0.000000
281474976710655.000000	1.102332	1832	0.000000
281474976710655.000000	1.110373	1833	0.000000
281474976710655.000000	1.083324	1834	0.000000
281474976710655.000000	1.074885	1835	0.000000
281474976710655.000000	1.033106	1836	0.000000
281474976710655.000000	1.076087	1837	0.000000
281474976710655.000000	1.028950	1838	0.000000
281474976710655.000000	1.072904	1839	0.000000
281474976710655.000000	1.056680	1840	0.000000
281474976710655.000000	1.064507	1841	0.000000
281474976710655.000000	1.039966	1842	0.000000
281474976710655.000000	1.045423	1843	0.000000
281474976710655.000000	1.043322	1844	0.000000
281474976710655.000000	1.077618	1845	0.000000
281474976710655.000000	1.071097	1846	0.000000
281474976710655.000000	1.053297	1847	0.000000
281474976710655.000000	1.042857	1848	0.000000
281474976710655.000000	1.096079	1849	0.000000
281474976710655.000000	1.015325	1850	0.000000
281474976710655.000000	1.050184	1851	0.000000
281474976710655.000000	1.026491	1852	0.000000
281474976710655.000000	1.050118	1853	0.000000
281474976710655.000000	1.132538	1854	0.000000
281474976710655.000000	1.102076	1855	0.000000
281474976710655.000000	1.075804	1856	0.000000
281474976710655.000000	1.105097	1857	0.000000
281474976710655.000000	1.096000	1858	0.000000
281474976710655.000000	1.093016	1859	0.000000
281474976710655.000000	1.071115	1860	0.000000
281474976710655.000000	1.103230	1861	0.000000
281474976710655.000000	1.074142	1862	0.000000
281474976710655.000000	1.141801	1863	0.000000
281474976710655.000000	1.048936	1864	0.000000
281474976710655.000000	1.081422	1865	0.000000
281474976710655.000000	1.073445	1866	0.000000
281474976710655.000000	1.072789	1867	0.000000
281474976710655.000000	1.099209	1868	0.000000
281474976710655.000000	1.070599	1869	0.000000
281474976710655.000000	1.107031	1870	0.000000
281474976710655.000000	1.081670	1871	0.000000
281474976710655.000000	1.045074	1872	0.000000
281474976710655.000000	1.064650	1873	0.000000
281474976710655.000000	1.037926	1874	0.000000
281474976710655.000000	1.083153	1875	0.000000
281474976710655.000000	1.082067	1876	0.000000
281474976710655.000000	1.058699	1877	0.000000
