num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1737	3123.289939	13.417751	-52.891529	3.289152	0.457436
1739	3125.343877	13.795462	-51.613530	3.299571	0.601265
1741	3127.406105	13.516820	-53.003307	3.285350	0.469608
1743	3129.470420	12.435530	-54.253209	3.260360	0.423321
1745	3131.532366	12.206110	-54.699471	3.253147	0.519824
1747	3133.587919	12.244118	-53.991787	3.256818	0.404963
1749	3135.628631	13.638888	-51.737590	3.292400	0.639234
1751	3137.690204	13.036236	-51.978195	3.283590	0.529029
1753	3139.743637	13.129141	-51.082917	3.291220	0.535088
1755	3141.794228	13.411844	-50.262313	3.301868	0.644821
1757	3143.867041	11.896412	-52.546572	3.264983	0.470671
1759	3145.917641	11.982722	-50.719766	3.277083	0.596661
1761	3147.972057	12.350138	-50.579399	3.282472	0.496495
1763	3150.022766	13.357737	-48.957472	3.309051	0.616734
1765	3152.088111	12.000096	-50.075314	3.276139	0.538903
1767	3154.143363	12.517660	-50.292649	3.279448	0.611241
1769	3156.205696	11.722814	-50.208136	3.264986	0.525380
1771	3158.257337	12.292727	-49.332820	3.280926	0.618507
1773	3160.327397	11.242448	-51.728542	3.247133	0.483040
1775	3162.372201	12.342770	-49.352337	3.276835	0.642573
1777	3164.432714	12.160835	-49.924501	3.268219	0.603687
1779	3166.511026	10.161692	-52.940091	3.215579	0.477539
1781	3168.559552	11.270990	-52.147081	3.234419	0.600646
1783	3170.621274	10.409955	-52.326727	3.216502	0.466000
1785	3172.687541	9.665566	-52.895069	3.196593	0.395992
1787	3174.753516	8.940531	-54.484850	3.178125	0.292139
1789	3176.807269	9.111509	-53.433930	3.182822	0.448122
1791	3178.876983	8.331752	-55.294074	3.163433	0.438703
1793	3180.929207	8.728565	-54.417642	3.168730	0.480045
1795	3182.996629	8.039316	-55.693418	3.153182	0.308484
1797	3185.039017	8.908173	-53.451476	3.172909	0.447283
1799	3187.088746	9.338562	-51.777155	3.183920	0.555652
1801	3189.150234	9.007650	-53.134728	3.174624	0.430989
1803	3191.212635	8.603493	-53.957530	3.166143	0.386508
1805	3193.253216	9.840891	-51.084902	3.198848	0.598754
1807	3195.327719	8.128812	-53.402695	3.162869	0.391430
1809	3197.375725	8.441281	-52.377273	3.174620	0.546597
1811	3199.432347	8.157732	-51.518867	3.174284	0.428502
1813	3201.477883	8.789528	-49.692847	3.192691	0.595732
1815	3203.551205	7.790041	-52.239438	3.163889	0.454768
1817	3205.599705	8.092969	-50.589505	3.175268	0.576615
1819	3207.667215	7.560110	-52.203832	3.158301	0.500967
1821	3209.713645	8.172065	-50.203309	3.173644	0.569565
1823	3211.776296	7.576909	-50.687008	3.161060	0.483772
1825	3213.828973	8.108225	-50.504093	3.169775	0.586678
1827	3215.885364	8.044149	-49.635946	3.171179	0.601834
1829	3217.943963	8.203032	-50.554442	3.168197	0.590349
1831	3220.009785	7.516575	-50.933689	3.151732	0.446272
1833	3222.076507	7.019334	-52.399733	3.135601	0.456658
1835	3224.147178	6.330845	-54.091293	3.117445	0.385354
1837	3226.201792	6.122522	-53.763530	3.114387	0.370852
1839	3228.253238	6.303382	-52.520103	3.117374	0.453686
1841	3230.318069	5.817946	-53.708759	3.106577	0.392064
1843	3232.384759	5.479594	-54.727420	3.096505	0.318791
1845	3234.437752	5.538450	-54.092870	3.097943	0.447029
1847	3236.487243	5.810036	-52.874076	3.104500	0.447056
1849	3238.559309	5.137950	-54.536538	3.088873	0.392676
1851	3240.614014	5.171736	-54.084790	3.089353	0.382465
1853	3242.682752	4.875143	-55.562773	3.080595	0.220881
1855	3244.722185	5.298733	-53.203098	3.092556	0.506308
1857	3246.775606	5.395784	-52.565021	3.096419	0.558009
1859	3248.836854	5.069289	-52.903070	3.090427	0.452172
1861	3250.882051	5.551943	-51.351167	3.104600	0.488150
1863	3252.941221	5.069154	-51.544962	3.097218	0.578626
1865	3255.010827	4.338756	-52.717016	3.082524	0.381694
1867	3257.050452	5.189648	-50.642966	3.102685	0.440249
1869	3259.111783	4.901570	-51.019445	3.095655	0.470977
1871	3261.181498	4.303470	-52.525201	3.081308	0.318139
1873	3263.229841	4.648244	-51.210516	3.088148	0.427011
1875	3265.282372	4.640953	-50.156077	3.090638	0.483599
1877	3267.336253	4.876811	-50.204435	3.093102	0.586935
1879	3269.412085	4.177428	-52.087127	3.076173	0.348135
1881	3271.459356	4.563953	-50.748933	3.084920	0.515856
1883	3273.519294	4.393896	-51.199185	3.079403	0.484870
1885	3275.582536	4.077659	-51.714694	3.070929	0.396340
1887	3277.647818	3.697861	-52.674321	3.062137	0.389004
1889	3279.703929	3.716643	-52.483357	3.060546	0.427430
1891	3281.769025	3.207764	-53.270357	3.050490	0.401086
1893	3283.832715	3.064294	-53.735487	3.045645	0.311756
1895	3285.888744	2.966005	-53.721536	3.044820	0.391581
1897	3287.942616	3.086019	-53.495696	3.045144	0.482245
1899	3290.006019	2.885057	-54.016865	3.040924	0.317922
1901	3292.063338	2.810445	-53.738927	3.039144	0.462423
1903	3294.119895	2.763330	-53.847211	3.039663	0.368947
1905	3296.185165	2.562860	-54.644698	3.035545	0.258673
1907	3298.242855	2.439339	-54.532110	3.033552	0.358313
1909	3300.291083	2.509497	-53.231737	3.035694	0.335695
1911	3302.348894	2.336477	-53.028556	3.034496	0.387034
1913	3304.388021	2.747673	-51.481210	3.043352	0.501622
1915	3306.457601	2.245446	-52.164734	3.035150	0.367238
1917	3308.504513	2.472906	-50.777377	3.039979	0.480331
1919	3310.571693	2.092966	-51.843245	3.033185	0.402325
1921	3312.637013	1.914021	-52.970785	3.029415	0.285196
1923	3314.684302	1.955161	-51.460615	3.030315	0.455607
1925	3316.739959	2.131137	-51.123596	3.031941	0.407714
1927	3318.796142	1.940943	-50.689620	3.029206	0.434463
1929	3320.857530	2.130249	-51.487161	3.030660	0.376477
1931	3322.911200	1.979826	-50.625128	3.028867	0.445896
1933	3324.985156	1.644815	-52.696379	3.021561	0.390261
1935	3327.039314	1.687394	-52.416692	3.020839	0.361268
1937	3329.093272	1.561907	-51.816752	3.017943	0.335725
1939	3331.158571	1.228502	-52.664017	3.012682	0.314981
1941	3333.227930	1.096494	-53.904122	3.007602	0.257627
1943	3335.281639	1.010426	-53.607907	3.007810	0.377504
1945	3337.350728	0.887390	-54.990397	3.005279	0.323792
1947	3339.414734	0.711093	-55.115089	3.001189	0.294958
1949	3341.470812	0.713158	-55.042648	3.000946	0.275353
1951	3343.525112	0.739217	-54.744369	3.000977	0.232321
1953	3345.580931	0.665309	-54.301599	2.999472	0.330022
1955	3347.643818	0.666085	-55.106686	3.000533	0.197287
1957	3349.691584	0.672129	-53.920108	2.999824	0.269595
1959	3351.743703	0.538750	-53.137140	2.997322	0.286991
1961	3353.791727	0.465245	-51.947190	2.996124	0.366614
1963	3355.858140	0.275023	-53.208617	2.996967	0.317519
1965	3357.908162	0.157443	-51.803034	2.993398	0.348882
1967	3359.969587	0.077540	-52.384283	2.994260	0.369831
1969	3362.030774	0.000000	53.269949	6.135666	0.319049
1971	3364.081605	0.162136	51.420647	6.131614	0.355659
1973	3366.141245	0.057744	52.352033	6.132894	0.284873
1975	3368.191408	0.023352	51.187740	6.132384	0.446706
1977	3370.254716	0.080958	51.564220	6.130937	0.373037
1979	3372.320672	0.164410	52.433048	6.131265	0.297766
1981	3374.360574	0.093519	50.622229	6.129495	0.404318
1983	3376.425835	0.232007	51.373404	6.127780	0.328060
1985	3378.483689	0.293790	51.963272	6.128090	0.438901
1987	3380.558976	0.449773	53.019538	6.124632	0.259883
1989	3382.609431	0.473210	52.530458	6.123450	0.354015
1991	3384.661945	0.655140	51.723423	6.119476	0.394748
1993	3386.739591	0.661147	53.533606	6.122222	0.338940
1995	3388.795197	0.718307	53.704280	6.120705	0.233293
1997	3390.849283	0.823482	53.354748	6.117671	0.350989
1999	3392.927757	0.750516	55.716694	6.124606	0.154453
2001	3394.964653	1.027435	52.459974	6.113831	0.290821
2003	3397.040252	0.770806	55.420492	6.123377	0.335101
2005	3399.094043	0.923469	54.296918	6.118045	0.311471
2007	3401.146961	1.006474	53.788373	6.115855	0.228490
2009	3403.206826	0.980098	54.199285	6.118595	0.347707
2011	3405.250173	1.158495	52.873528	6.112225	0.318437
2013	3407.304852	1.283206	52.435860	6.111265	0.363161
2015	3409.353368	1.467342	51.509007	6.107296	0.319821
2017	3411.419154	1.409860	52.203279	6.110055	0.250356
2019	3413.468907	1.610482	51.426623	6.107519	0.272017
2021	3415.535006	1.582467	52.367390	6.109254	0.323754
2023	3417.592930	1.603692	52.034890	6.108947	0.384780
2025	3419.643085	1.714138	50.948013	6.104245	0.394124
2027	3421.693892	1.780143	50.093723	6.101594	0.440795
2029	3423.761197	1.722372	51.805962	6.105887	0.399752
2031	3425.835928	1.609457	53.207918	6.111204	0.262589
