crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.136637	5141	0.000000
281474976710655.000000	1.061708	5142	0.000000
281474976710655.000000	1.064828	5143	0.000000
281474976710655.000000	1.134632	5144	0.000000
281474976710655.000000	1.076484	5145	0.000000
281474976710655.000000	1.108983	5146	0.000000
281474976710655.000000	1.048117	5147	0.000000
281474976710655.000000	1.120406	5148	0.000000
281474976710655.000000	1.031989	5149	0.000000
281474976710655.000000	1.160110	5150	0.000000
281474976710655.000000	1.140246	5151	0.000000
281474976710655.000000	1.081637	5152	0.000000
281474976710655.000000	1.096808	5153	0.000000
281474976710655.000000	1.058818	5154	0.000000
281474976710655.000000	1.115357	5155	0.000000
281474976710655.000000	1.117535	5156	0.000000
281474976710655.000000	1.063351	5157	0.000000
281474976710655.000000	1.049513	5158	0.000000
281474976710655.000000	1.134281	5159	0.000000
281474976710655.000000	1.088532	5160	0.000000
281474976710655.000000	1.062505	5161	0.000000
281474976710655.000000	1.124028	5162	0.000000
281474976710655.000000	1.116348	5163	0.000000
281474976710655.000000	1.052947	5164	0.000000
281474976710655.000000	1.179500	5165	0.000000
281474976710655.000000	1.120781	5166	0.000000
281474976710655.000000	1.155932	5167	0.000000
281474976710655.000000	1.089621	5168	0.000000
281474976710655.000000	1.129140	5169	0.000000
281474976710655.000000	1.036954	5170	0.000000
281474976710655.000000	1.052616	5171	0.000000
281474976710655.000000	1.055086	5172	0.000000
281474976710655.000000	1.043455	5173	0.000000
281474976710655.000000	1.090127	5174	0.000000
281474976710655.000000	1.107262	5175	0.000000
281474976710655.000000	1.143020	5176	0.000000
281474976710655.000000	1.083422	5177	0.000000
281474976710655.000000	1.030344	5178	0.000000
281474976710655.000000	1.108859	5179	0.000000
281474976710655.000000	1.066378	5180	0.000000
281474976710655.000000	1.073302	5181	0.000000
281474976710655.000000	1.115123	5182	0.000000
281474976710655.000000	1.132757	5183	0.000000
281474976710655.000000	1.031384	5184	0.000000
281474976710655.000000	1.118601	5185	0.000000
281474976710655.000000	1.085174	5186	0.000000
281474976710655.000000	1.088779	5187	0.000000
281474976710655.000000	0.996054	5188	0.000000
281474976710655.000000	1.053232	5189	0.000000
281474976710655.000000	1.145196	5190	0.000000
281474976710655.000000	1.099530	5191	0.000000
281474976710655.000000	1.089420	5192	0.000000
281474976710655.000000	1.101955	5193	0.000000
281474976710655.000000	1.052502	5194	0.000000
281474976710655.000000	1.062400	5195	0.000000
281474976710655.000000	1.114457	5196	0.000000
281474976710655.000000	1.089824	5197	0.000000
281474976710655.000000	1.031346	5198	0.000000
281474976710655.000000	1.049359	5199	0.000000
281474976710655.000000	1.110264	5200	0.000000
281474976710655.000000	1.039251	5201	0.000000
281474976710655.000000	1.114244	5202	0.000000
281474976710655.000000	1.137673	5203	0.000000
281474976710655.000000	1.072085	5204	0.000000
281474976710655.000000	1.054768	5205	0.000000
281474976710655.000000	1.138849	5206	0.000000
281474976710655.000000	1.116814	5207	0.000000
281474976710655.000000	1.138704	5208	0.000000
281474976710655.000000	1.068373	5209	0.000000
281474976710655.000000	1.093278	5210	0.000000
281474976710655.000000	1.090653	5211	0.000000
281474976710655.000000	1.157055	5212	0.000000
281474976710655.000000	1.104473	5213	0.000000
281474976710655.000000	1.048741	5214	0.000000
281474976710655.000000	1.093639	5215	0.000000
281474976710655.000000	1.114441	5216	0.000000
281474976710655.000000	1.092642	5217	0.000000
281474976710655.000000	1.131087	5218	0.000000
281474976710655.000000	1.064430	5219	0.000000
281474976710655.000000	1.080833	5220	0.000000
281474976710655.000000	1.120349	5221	0.000000
281474976710655.000000	1.072471	5222	0.000000
281474976710655.000000	1.093509	5223	0.000000
281474976710655.000000	1.113033	5224	0.000000
281474976710655.000000	1.092378	5225	0.000000
281474976710655.000000	1.129639	5226	0.000000
281474976710655.000000	1.060825	5227	0.000000
281474976710655.000000	1.047848	5228	0.000000
281474976710655.000000	1.081228	5229	0.000000
281474976710655.000000	1.102207	5230	0.000000
281474976710655.000000	1.080491	5231	0.000000
281474976710655.000000	1.108239	5232	0.000000
281474976710655.000000	1.054295	5233	0.000000
281474976710655.000000	1.088926	5234	0.000000
281474976710655.000000	1.053127	5235	0.000000
281474976710655.000000	1.045651	5236	0.000000
281474976710655.000000	1.077455	5237	0.000000
281474976710655.000000	1.109580	5238	0.000000
281474976710655.000000	1.107117	5239	0.000000
281474976710655.000000	1.109259	5240	0.000000
281474976710655.000000	1.094666	5241	0.000000
281474976710655.000000	1.100225	5242	0.000000
281474976710655.000000	1.055396	5243	0.000000
281474976710655.000000	1.119044	5244	0.000000
281474976710655.000000	1.030680	5245	0.000000
281474976710655.000000	1.135020	5246	0.000000
281474976710655.000000	1.066666	5247	0.000000
281474976710655.000000	1.059954	5248	0.000000
