time (s)	magNum	magX	magY	magZ
1333.773440	0.000000	-263.452148	-510.938477	280.804687	1.000000	16.539062	-184.972656	-5.584961	2.000000	257.150391	248.043945	1451.620117	3.000000	-167.384766	-100.364258	-10.489258
1333.795527	0.000000	-311.596680	-548.047852	365.277344	1.000000	20.152344	-209.093750	3.008789	2.000000	256.564453	401.071289	1355.916992	3.000000	-184.083984	-98.899414	-5.704102
1333.817480	0.000000	-366.772461	-576.954102	468.988281	1.000000	25.816406	-237.707031	15.020508	2.000000	250.607422	525.387695	1218.709961	3.000000	-202.736328	-96.360352	-0.137695
1333.839481	0.000000	-426.635742	-590.918945	594.085937	1.000000	33.335937	-271.105469	31.524414	2.000000	238.986328	611.422852	1052.694336	3.000000	-221.486328	-90.989258	6.405273
1333.861474	0.000000	-488.940430	-580.176758	736.859375	1.000000	43.003906	-308.996094	54.083008	2.000000	222.580078	655.954102	877.010742	3.000000	-241.212891	-83.079102	13.534180
1333.883523	0.000000	-547.631836	-535.645508	891.449219	1.000000	56.675781	-352.355469	84.356445	2.000000	203.048828	662.399414	704.940430	3.000000	-260.646484	-72.336914	21.639648
1333.905470	0.000000	-595.483398	-450.098633	1044.085937	1.000000	74.937500	-399.914062	124.493164	2.000000	181.759766	638.668945	550.350586	3.000000	-279.005859	-57.688477	29.940430
1333.925095	0.000000	-622.534180	-336.231445	1165.570312	1.000000	96.324219	-444.738281	170.489258	2.000000	162.716797	600.290039	429.256836	3.000000	-293.947266	-41.575195	36.971680
1333.943544	0.000000	-629.956055	-202.344727	1252.777344	1.000000	121.910156	-487.316406	223.809570	2.000000	145.626953	554.879883	333.260742	3.000000	-305.470703	-24.290039	43.124023
1333.965522	0.000000	-612.866211	-20.118164	1309.417969	1.000000	160.386719	-535.167969	301.641602	2.000000	126.583984	496.383789	240.194336	3.000000	-316.212891	-1.536133	50.252930
1333.985036	0.000000	-573.999023	144.823242	1309.027344	1.000000	203.355469	-570.421875	383.770508	2.000000	111.544922	444.040039	175.350586	3.000000	-321.486328	20.241211	55.916992
1334.003416	0.000000	-521.752930	288.670898	1266.058594	1.000000	250.816406	-593.566406	470.196289	2.000000	98.849609	397.165039	127.499023	3.000000	-322.951172	41.432617	58.846680
1334.022953	0.000000	-454.565430	417.284180	1181.683594	1.000000	308.531250	-601.476562	569.512695	2.000000	87.228516	351.461914	87.557617	3.000000	-320.802734	63.893555	61.385742
1334.043543	0.000000	-378.198242	518.260742	1063.226562	1.000000	375.523437	-586.437500	676.348633	2.000000	76.779297	307.809570	55.526367	3.000000	-314.552734	86.452148	61.581055
1334.063015	0.000000	-306.713867	579.198242	937.835937	1.000000	441.539062	-547.570312	773.125977	2.000000	67.892578	271.676758	33.163086	3.000000	-304.884766	106.081055	60.995117
1334.081416	0.000000	-244.311523	608.983398	816.253906	1.000000	502.574219	-488.195312	852.911133	2.000000	60.470703	241.208008	17.147461	3.000000	-293.263672	122.389648	59.432617
1334.100930	0.000000	-185.815430	614.745117	693.207031	1.000000	561.753906	-404.210937	917.364258	2.000000	54.220703	213.571289	4.061523	3.000000	-277.931641	137.233398	56.502930
1334.121505	0.000000	-133.862305	601.170898	575.824219	1.000000	612.632812	-298.937500	957.891602	2.000000	48.361328	188.375977	-5.704102	3.000000	-261.525391	149.928711	52.206055
1334.141060	0.000000	-94.799805	576.756836	478.656250	1.000000	647.496094	-191.808594	967.852539	2.000000	43.576172	168.258789	-12.540039	3.000000	-245.314453	159.303711	47.909180
1334.159425	0.000000	-65.600586	547.166992	400.433594	1.000000	666.734375	-92.199219	952.618164	2.000000	39.376953	151.754883	-17.422852	3.000000	-229.591797	165.651367	42.928711
1334.178939	0.000000	-65.600586	547.166992	400.433594	1.000000	674.449219	5.945312	915.704102	2.000000	36.349609	136.422852	-20.743164	3.000000	-213.087891	170.729492	38.338867
1334.198766	0.000000	-20.874023	476.268555	272.015625	1.000000	669.371094	92.371094	861.016602	2.000000	33.224609	123.532227	-23.086914	3.000000	-197.169922	173.463867	33.456055
1334.217469	0.000000	-6.420898	443.358398	226.507812	1.000000	655.503906	159.460937	799.004883	2.000000	31.076172	112.790039	-24.747070	3.000000	-182.521484	174.831055	29.354492
1334.236983	0.000000	4.711914	411.327148	187.640625	1.000000	633.824219	213.562500	730.645508	2.000000	28.927734	103.122070	-25.625977	3.000000	-169.435547	175.026367	25.155273
1334.255356	0.000000	12.133789	384.471680	157.757812	1.000000	609.605469	251.453125	666.290039	2.000000	27.462891	95.504883	-26.602539	3.000000	-157.326172	174.538086	21.346680
1334.274916	0.000000	19.458008	358.104492	131.683594	1.000000	581.285156	279.578125	601.153320	2.000000	25.607422	88.375977	-27.090820	3.000000	-146.486328	173.561523	18.514648
1334.295512	0.000000	24.829102	334.569336	110.199219	1.000000	552.183594	297.839844	537.188477	2.000000	24.337891	82.418945	-27.383789	3.000000	-136.427734	172.584961	15.389648
1334.315050	0.000000	29.223633	314.745117	94.281250	1.000000	525.328125	307.019531	483.086914	2.000000	22.873047	77.438477	-27.383789	3.000000	-128.224609	171.217773	12.948242
1334.333428	0.000000	32.348633	298.729492	81.683594	1.000000	502.183594	310.242187	438.262695	2.000000	22.677734	73.239258	-27.286133	3.000000	-120.802734	169.948242	11.581055
1334.352974	0.000000	35.375977	283.788086	70.941406	1.000000	479.917969	309.851562	396.954102	2.000000	21.310547	69.625977	-26.895508	3.000000	-114.162109	168.874023	9.432617
