time (s)	det(V)
1333.803484	-1.682672	
1333.805485	-1.682810	
1333.807485	-1.682946	
1333.809489	-1.682988	
1333.811485	-1.683160	
1333.813485	-1.683283	
1333.815484	-1.683344	
1333.819486	-1.683527	
1333.821484	-1.683704	
1333.823485	-1.683754	
1333.825485	-1.683858	
1333.827485	-1.683875	
1333.829485	-1.683922	
1333.831485	-1.683986	
1333.833485	-1.684020	
1333.835484	-1.684034	
1333.837486	-1.684087	
1333.841485	-1.684086	
1333.843485	-1.683981	
1333.845485	-1.683959	
1333.847485	-1.683969	
1333.849485	-1.684024	
1333.851484	-1.684002	
1333.853485	-1.684013	
1333.855484	-1.684038	
1333.857485	-1.684014	
1333.859485	-1.684013	
1333.863485	-1.683996	
1333.865484	-1.683959	
1333.867484	-1.683997	
1333.869485	-1.684011	
1333.871485	-1.683961	
1333.873484	-1.683958	
1333.875485	-1.684001	
1333.877486	-1.683986	
1333.879485	-1.683959	
1333.883486	-1.684008	
1333.885485	-1.683942	
1333.887485	-1.683972	
1333.889485	-1.684009	
1333.891484	-1.683978	
1333.893485	-1.683995	
1333.895485	-1.683987	
1333.897485	-1.684005	
1333.899484	-1.684040	
1333.901485	-1.684029	
1333.903486	-1.684026	
1333.907487	-1.684013	
1333.909485	-1.683978	
1333.911485	-1.684030	
1333.913487	-1.684030	
1333.915485	-1.683975	
1333.919484	-1.683984	
1333.921485	-1.684009	
1333.923485	-1.683952	
1333.927485	-1.683931	
1333.929484	-1.683706	
1333.931485	-1.683671	
1333.933485	-1.683519	
1333.935484	-1.683325	
1333.939484	-1.683205	
1333.943485	-1.682885	
1333.945485	-1.682591	
1333.947485	-1.682450	
1333.949484	-1.630380	
1333.951485	-1.510214	
1333.953485	-1.370366	
1333.955484	-1.257675	
1333.957485	-1.148258	
1333.959486	-1.018775	
1333.961485	-0.901992	
1333.965485	-0.761033	
1333.967486	-0.502036	
1333.969484	-0.360574	
1333.971485	-0.233521	
1333.973485	-0.116373	
1333.975485	0.021577	
1333.979484	0.143858	
1333.981484	0.405059	
1333.983485	0.528451	
1333.987485	0.660890	
1333.989485	0.919321	
1333.991485	1.047443	
1333.993485	1.170004	
1333.995485	1.283321	
1333.999484	1.427203	
1334.001485	1.577550	
1334.005485	1.577975	
1334.007486	1.578076	
1334.009484	1.578060	
1334.011485	1.578011	
1334.013485	1.578037	
1334.017484	1.577989	
1334.019485	1.578052	
1334.021485	1.577995	
1334.023485	1.578035	
1334.025487	1.577967	
1334.027485	1.578082	
1334.029485	1.578035	
1334.031485	1.578100	
1334.033485	1.578061	
1334.035485	1.578068	
1334.037485	1.578031	
1334.039485	1.578049	
1334.043484	1.578021	
1334.045485	1.578099	
1334.047485	1.578026	
1334.049485	1.578036	
1334.051485	1.578016	
1334.053484	1.578093	
1334.057484	1.578054	
1334.059485	1.578041	
1334.061485	1.578010	
1334.065486	1.577969	
1334.067485	1.578027	
1334.069485	1.578102	
1334.071485	1.578052	
1334.073485	1.578055	
1334.075485	1.578067	
1334.079485	1.578095	
1334.083485	1.578059	
1334.085485	1.578091	
1334.087485	1.578041	
1334.089484	1.578037	
1334.091485	1.578072	
1334.095484	1.578041	
1334.097485	1.578037	
1334.099485	1.578025	
1334.101485	1.578025	
1334.103485	1.578007	
1334.105485	1.578075	
1334.107485	1.578112	
1334.109484	1.578086	
1334.111484	1.578053	
1334.113485	1.578091	
1334.115485	1.578065	
1334.117485	1.578001	
1334.121485	1.578052	
1334.123486	1.578082	
1334.125484	1.578022	
1334.127484	1.578017	
1334.129485	1.578036	
1334.131485	1.578010	
1334.135484	1.578021	
1334.137484	1.578025	
1334.139485	1.578056	
1334.143485	1.578029	
1334.145485	1.578091	
1334.147485	1.577995	
1334.149485	1.578061	
1334.151484	1.578008	
1334.155485	1.577978	
1334.157484	1.576684	
1334.161485	1.558167	
1334.163485	1.436457	
1334.165484	1.385048	
1334.167484	1.319191	
1334.169485	1.274810	
1334.173485	1.220199	
1334.175485	1.110926	
1334.177484	1.055749	
1334.179484	1.007274	
1334.181488	0.982364	
1334.183485	0.933444	
1334.185485	0.895273	
1334.187485	0.863360	
1334.189484	0.810097	
1334.193484	0.774229	
1334.195485	0.692356	
1334.197484	0.672245	
1334.199484	0.643501	
1334.201485	0.612957	
1334.203484	0.597021	
1334.205484	0.557533	
1334.207484	0.526029	
1334.209485	0.508688	
1334.213484	0.470874	
1334.215485	0.436256	
1334.219485	0.407801	
1334.221485	0.383089	
1334.223485	0.355699	
1334.225485	0.343998	
1334.227485	0.322922	
1334.231484	0.305663	
1334.233485	0.274844	
1334.235486	0.263165	
1334.239485	0.256895	
1334.241486	0.225023	
1334.243485	0.214065	
1334.245486	0.193753	
1334.247484	0.197262	
1334.249485	0.189253	
1334.253485	0.166649	
1334.257485	0.147088	
1334.259486	0.140815	
1334.261484	0.117556	
1334.263485	0.118067	
1334.265485	0.123542	
1334.269484	0.110121	
1334.271485	0.093057	
1334.273484	0.077858	
1334.275485	0.076651	
1334.277486	0.070909	
1334.279485	0.066443	
1334.281485	0.074888	
1334.283485	0.065765	
1334.285485	0.064799	
1334.287485	0.064240	
1334.289485	0.039575	
1334.291485	0.038541	
1334.295485	0.035166	
1334.297485	0.040133	
1334.299486	0.040934	
1334.301485	0.035131	
1334.303485	0.040823	
1334.305485	0.024417	
1334.309484	0.023793	
1334.311484	0.001451	
1334.313485	0.007181	
1334.317485	0.016112	
1334.319485	0.024728	
1334.321484	0.015646	
1334.323484	0.003376	
1334.325485	0.008084	
1334.329484	-0.000009	
1334.331485	0.000155	
1334.335485	-0.001390	
1334.337485	0.010556	
1334.339485	-0.004774	
1334.341485	-0.001643	
1334.343485	-0.002932	
1334.347484	-0.012081	
1334.349485	-0.004695	
1334.351485	-0.011240	
1334.355485	0.000266	
1334.357485	-0.008539	
1334.359485	-0.002531	
1334.361485	-0.019401	
1334.363485	-0.008073	
1334.365485	-0.000745	
1334.369485	-0.017081	
1334.373485	-0.010334	
1334.375486	-0.006839	
1334.377485	-0.013789	
1334.379485	-0.014437	
1334.381485	-0.002660	
1334.385485	-0.007830	
1334.387485	-0.008690	
1334.389485	-0.021921	
1334.393485	-0.020121	
1334.395485	-0.018391	
1334.397485	-0.005012	
1334.399485	-0.002402	
1334.401486	-0.008081	
1334.403485	0.001152	
1334.407485	-0.019982	
1334.411486	-0.014265	
1334.413485	-0.010056	
1334.415485	-0.001033	
1334.417486	-0.008474	
1334.419485	0.002023	
1334.423484	0.000157	
1334.425486	-0.013548	
1334.427484	-0.019686	
1334.431485	-0.021418	
1334.433485	-0.004150	
1334.435485	-0.001634	
1334.437485	0.002442	
1334.439485	-0.009126	
1334.441485	-0.007330	
1334.445486	-0.015761	
1334.449485	-0.008162	
1334.451485	-0.001116	
1334.453484	0.007543	
1334.455484	-0.005385	
1334.457485	-0.006197	
1334.461484	0.000884	
1334.463485	-0.010656	
1334.465486	-0.000667	
1334.467487	-0.008149	
1334.469485	0.009569	
1334.471485	0.006549	
1334.473485	-0.004703	
1334.475485	0.002001	
1334.477485	-0.003797	
1334.479485	-0.004136	
1334.481485	-0.000793	
1334.483485	-0.003427	
1334.487485	-0.001003	
1334.489485	-0.001814	
1334.491488	0.000600	
1334.493486	0.003582	
1334.495485	-0.005331	
1334.497485	0.008083	
1334.501484	0.012096	
1334.503486	0.008336	
1334.505484	-0.000899	
1334.509486	-0.006036	
1334.511485	-0.004857	
1334.513486	0.007243	
1334.515484	0.015181	
1334.517484	0.008431	
1334.521485	0.019057	
1334.523485	-0.005046	
1334.527486	0.003637	
1334.529485	0.003838	
1334.531485	0.016760	
1334.533485	0.011896	
1334.535485	0.014575	
1334.539484	0.021677	
1334.541485	0.002064	
1334.543485	0.001286	
1334.547485	-0.004117	
1334.549485	0.018144	
1334.551485	0.014836	
1334.553485	0.021546	
1334.555485	0.015408	
1334.557485	0.004082	
1334.561486	0.009863	
1334.565485	0.005933	
1334.567485	0.014947	
1334.569485	0.025371	
1334.571485	0.020163	
1334.573485	0.010230	
1334.577484	0.016495	
1334.579485	0.002192	
1334.581484	0.012386	
1334.583484	0.010140	
1334.585486	0.017142	
1334.587487	0.024196	
1334.589485	0.011777	
1334.591485	0.010508	
1334.593485	0.010780	
1334.595487	0.004537	
1334.597485	0.010318	
1334.599485	0.012566	
1334.603485	0.007713	
1334.605486	0.009202	
1334.607485	0.008285	
1334.609485	0.014212	
1334.611486	-0.000622	
1334.613485	0.009678	
1334.617484	0.019654	
1334.619487	0.011929	
1334.621485	0.007773	
1334.625485	-0.005937	
1334.627485	0.000324	
1334.629485	0.000329	
1334.631485	0.010985	
1334.633485	0.006209	
1334.637484	0.007009	
1334.639485	-0.011601	
1334.643485	-0.008081	
1334.645484	-0.013063	
1334.647484	0.001130	
1334.649486	-0.000963	
1334.651485	-0.008149	
1334.655484	-0.000449	
1334.657485	-0.028348	
1334.659485	-0.023537	
1334.663485	-0.037266	
1334.665487	-0.016389	
1334.667485	-0.027861	
1334.669485	-0.020044	
1334.671485	-0.026666	
1334.673485	-0.044741	
1334.677484	-0.046741	
1334.681485	-0.061318	
1334.683485	-0.056121	
1334.685487	-0.056302	
1334.687485	-0.057856	
1334.689485	-0.075595	
1334.693484	-0.078183	
1334.695485	-0.103963	
1334.697484	-0.096463	
1334.699486	-0.099963	
1334.701485	-0.103611	
1334.703487	-0.103800	
1334.705486	-0.120092	
1334.707485	-0.133715	
1334.709485	-0.133367	
1334.711485	-0.156558	
1334.713486	-0.162887	
1334.715485	-0.163393	
1334.719485	-0.181447	
1334.721485	-0.191663	
1334.723484	-0.212523	
1334.725485	-0.214679	
1334.727485	-0.235527	
1334.729485	-0.248256	
1334.733486	-0.247215	
1334.735484	-0.285602	
1334.737484	-0.295070	
1334.741485	-0.324704	
1334.743486	-0.346587	
1334.745485	-0.376589	
1334.747485	-0.384876	
1334.749484	-0.400656	
1334.751485	-0.423130	
1334.755485	-0.443163	
1334.759485	-0.503859	
1334.761485	-0.550514	
1334.763485	-0.569279	
1334.765484	-0.589070	
1334.767484	-0.626495	
1334.771484	-0.645009	
1334.773486	-0.736338	
1334.775485	-0.764125	
1334.777484	-0.812167	
1334.779486	-0.839014	
1334.781485	-0.866735	
1334.783485	-0.915842	
1334.785485	-0.954065	
1334.787486	-0.991997	
1334.789484	-1.053928	
1334.791485	-1.107051	
1334.795485	-1.154794	
1334.797485	-1.253377	
1334.799485	-1.297708	
1334.801485	-1.356058	
1334.803484	-1.408707	
1334.805488	-1.484400	
1334.807484	-1.551639	
1334.809485	-1.616017	
1334.813484	-1.680095	
1334.817485	-1.682542	
1334.819485	-1.682712	
1334.821484	-1.682767	
1334.823485	-1.682931	
1334.825485	-1.683044	
1334.829484	-1.683137	
1334.831485	-1.683368	
1334.833485	-1.683489	
1334.837485	-1.683596	
1334.839485	-1.683689	
1334.841484	-1.683788	
1334.843485	-1.683872	
1334.845487	-1.683985	
1334.849484	-1.683956	
1334.853485	-1.683993	
1334.855485	-1.683979	
1334.857485	-1.684046	
1334.859485	-1.684008	
1334.861486	-1.683980	
1334.863485	-1.684063	
1334.865485	-1.684016	
1334.867485	-1.684017	
1334.869485	-1.684021	
1334.871485	-1.684066	
1334.875485	-1.684042	
1334.877485	-1.684004	
1334.879485	-1.684033	
1334.881485	-1.684003	
1334.883485	-1.684039	
1334.885485	-1.684048	
1334.889484	-1.684010	
1334.891485	-1.684059	
1334.893485	-1.684079	
1334.897485	-1.684107	
1334.899485	-1.683984	
1334.901485	-1.684031	
1334.903496	-1.683976	
1334.905485	-1.684008	
1334.909484	-1.684004	
1334.913484	-1.684013	
1334.915485	-1.683996	
1334.917485	-1.684016	
1334.919484	-1.684021	
1334.921486	-1.683996	
1334.923484	-1.684027	
1334.925485	-1.683956	
1334.927484	-1.684018	
1334.929485	-1.684021	
1334.931484	-1.684022	
1334.935484	-1.684021	
1334.937485	-1.684003	
1334.939485	-1.683966	
1334.941485	-1.683983	
1334.943484	-1.683915	
1334.945485	-1.683903	
1334.947485	-1.683772	
1334.949485	-1.683698	
1334.951485	-1.683567	
1334.953486	-1.683464	
1334.955484	-1.683285	
1334.959485	-1.682914	
1334.961485	-1.682811	
1334.963485	-1.682595	
1334.965485	-1.682411	
1334.967485	-1.658656	
1334.969485	-1.522218	
1334.971486	-1.410928	
1334.973485	-1.299982	
1334.975485	-1.170605	
1334.979484	-1.052121	
1334.981485	-0.777047	
1334.983485	-0.648996	
1334.985485	-0.513762	
1334.987485	-0.384720	
1334.989485	-0.271339	
1334.991485	-0.137267	
1334.993485	-0.007120	
1334.995486	0.109911	
1334.997485	0.255090	
1334.999485	0.387401	
1335.003486	0.510172	
1335.005486	0.768791	
1335.007484	0.888262	
1335.009485	1.025377	
1335.011485	1.141679	
1335.015484	1.271502	
1335.017487	1.523725	
1335.019485	1.577455	
1335.023485	1.577973	
1335.025487	1.578068	
1335.027485	1.577999	
1335.029486	1.578050	
1335.031485	1.578115	
1335.033485	1.578079	
1335.035486	1.578078	
1335.039485	1.578010	
1335.041485	1.578016	
1335.043486	1.577961	
1335.045485	1.578020	
1335.047485	1.578039	
1335.049485	1.578066	
1335.051485	1.578067	
1335.053485	1.578002	
1335.055485	1.578020	
1335.057485	1.577991	
1335.061485	1.578023	
1335.063485	1.578086	
1335.065485	1.578064	
1335.067485	1.578041	
1335.069485	1.578061	
1335.071485	1.578037	
1335.075484	1.578007	
1335.077484	1.578045	
1335.079485	1.578007	
1335.083486	1.578010	
1335.085484	1.578093	
1335.087485	1.578005	
1335.089485	1.578050	
1335.091485	1.578063	
1335.093485	1.578041	
1335.097485	1.578081	
1335.101485	1.577943	
1335.103486	1.578064	
1335.105485	1.578022	
1335.107485	1.578082	
1335.109485	1.578078	
1335.113484	1.578048	
1335.115485	1.578012	
1335.117485	1.578011	
1335.119485	1.578002	
1335.121487	1.577971	
1335.123485	1.578037	
1335.125485	1.578042	
1335.127485	1.578025	
1335.129485	1.577975	
1335.133484	1.577978	
1335.135485	1.578036	
1335.137484	1.577981	
1335.139485	1.578016	
1335.141485	1.577994	
1335.143486	1.578079	
1335.145485	1.578015	
1335.147485	1.578037	
