num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1195	1329.854134	62.984399	-11.603794	1.380835	63.848753
1199	1333.973806	62.798906	-11.554210	1.376711	62.677956
1201	1336.033447	62.737332	-11.466208	1.375908	62.599551
1203	1338.092720	62.669421	-11.430783	1.374447	62.563819
1205	1340.151392	62.536253	-11.379058	1.372012	63.787010
1209	1344.268771	62.407074	-11.312329	1.368005	60.777888
1211	1346.326968	62.326311	-11.231337	1.365290	61.957284
1213	1348.385526	62.241946	-11.201257	1.363298	62.342625
1215	1350.444148	62.155235	-11.139686	1.361064	61.358231
1219	1354.563262	61.889843	-11.044046	1.358053	60.923309
1221	1356.622344	61.789037	-10.987745	1.355773	61.790812
1223	1358.682228	61.810548	-10.945092	1.354065	61.391884
1225	1360.741439	61.745989	-10.894053	1.353175	61.337768
1229	1364.859975	61.593596	-10.833368	1.349706	60.199243
1231	1366.919298	61.487917	-10.758215	1.347874	59.691015
1233	1368.978209	61.426064	-10.712554	1.346873	60.466625
1235	1371.037066	61.190765	-10.674146	1.344405	60.133303
1239	1375.155524	61.097025	-10.614795	1.341203	58.981095
1241	1377.215369	61.038739	-10.532972	1.339536	61.773063
1243	1379.274688	60.923462	-10.498934	1.337528	60.397545
1245	1381.334854	60.863872	-10.469077	1.336102	58.742588
1249	1385.454465	60.803039	-10.400523	1.332651	59.360855
1251	1387.514766	60.683465	-10.356391	1.330751	58.164945
1253	1389.574227	60.595728	-10.283517	1.329446	58.868792
1255	1391.633831	60.413517	-10.257416	1.327381	58.971929
1257	1393.693025	60.401080	-10.175506	1.325916	57.844882
1261	1397.811294	60.267921	-10.154172	1.323279	57.550945
1263	1399.870125	60.236306	-10.082261	1.321681	58.069912
1265	1401.929359	60.051559	-10.051437	1.319917	57.883998
1267	1403.988583	60.049085	-9.985228	1.318643	57.291753
1271	1408.106932	59.754270	-9.933702	1.314973	58.336057
1273	1410.166461	59.809875	-9.885371	1.314212	57.412035
1275	1412.226215	59.733240	-9.845708	1.312984	57.998901
1277	1414.285200	59.643535	-9.806713	1.311216	56.559077
1281	1418.403896	59.478255	-9.755402	1.307871	55.933014
1283	1420.462360	59.336126	-9.677726	1.305801	56.027925
1285	1422.521211	59.353574	-9.633768	1.303611	57.436325
1287	1424.579767	59.243674	-9.603689	1.302143	56.812689
1291	1428.696633	59.095899	-9.526414	1.297503	56.121981
1293	1430.755504	58.958023	-9.468597	1.296939	56.688142
1295	1432.814141	59.022994	-9.428948	1.295264	54.171718
1297	1434.873372	58.874961	-9.395980	1.294338	55.077819
1301	1438.991712	58.701187	-9.334464	1.291352	55.205721
1303	1441.051264	58.672633	-9.284439	1.290141	54.752334
1305	1443.110301	58.487643	-9.220815	1.288101	55.149565
1307	1445.169601	58.564717	-9.197770	1.287209	53.823861
1311	1449.287887	58.450256	-9.119105	1.283930	55.462261
1313	1451.346863	58.293489	-9.087984	1.283419	54.068379
1315	1453.406547	58.269564	-9.054359	1.281391	56.296028
1317	1455.465560	58.117416	-9.022455	1.280400	54.264051
1321	1459.584800	58.010280	-8.943091	1.276294	53.493299
1323	1461.644645	58.055015	-8.904142	1.275889	53.887983
1325	1463.704762	57.822409	-8.886159	1.273386	52.237815
1327	1465.763792	57.761709	-8.843548	1.271931	52.780506
1329	1467.824003	57.710505	-8.787360	1.271049	52.456369
1331	1469.883590	57.633857	-8.749798	1.269985	53.748572
1333	1471.943076	57.509148	-8.721963	1.267809	53.713509
1335	1474.002460	57.542094	-8.678608	1.267210	51.911323
1339	1478.120934	57.338262	-8.610897	1.264522	53.334841
1341	1480.179911	57.342081	-8.592946	1.263139	52.881415
1343	1482.238924	57.312501	-8.559640	1.261755	52.861882
1345	1484.298383	57.154039	-8.529180	1.260218	53.804636
1349	1488.416320	57.060322	-8.477160	1.257924	52.053104
1351	1490.475965	56.958069	-8.421408	1.256603	51.383939
1353	1492.535062	56.898012	-8.396212	1.255366	52.211424
1355	1494.594763	56.765222	-8.352642	1.253702	52.077909
1359	1498.713132	56.781679	-8.319576	1.251385	51.333120
1361	1500.771263	56.661709	-8.279169	1.250026	51.560104
1363	1502.830662	56.584982	-8.241416	1.248701	51.837215
1365	1504.888938	56.590821	-8.200675	1.246422	51.755111
1367	1506.948133	56.426214	-8.177243	1.245193	52.100643
1371	1511.065278	56.404921	-8.116783	1.241929	49.880473
1373	1513.123412	56.246288	-8.089694	1.240719	50.808489
1375	1515.182595	56.177177	-8.049061	1.239028	50.735323
1377	1517.240933	56.076225	-8.011633	1.238156	49.950875
1379	1519.300411	55.971426	-7.982891	1.237063	50.263381
1383	1523.418021	55.782507	-7.913537	1.234390	48.825857
1385	1525.477499	55.817381	-7.875682	1.233735	48.842416
1387	1527.536436	55.753793	-7.830375	1.231964	48.662305
1389	1529.595628	55.671670	-7.798729	1.230905	50.580673
1393	1533.714160	55.473101	-7.758042	1.228378	49.594896
1395	1535.772949	55.451825	-7.731453	1.227427	48.982562
1397	1537.832482	55.440230	-7.694611	1.225892	48.979882
1399	1539.891896	55.332676	-7.664990	1.224669	49.374814
1403	1544.011130	55.240148	-7.618814	1.221849	49.781334
1405	1546.070559	55.122113	-7.613045	1.219575	48.622430
1407	1548.130429	55.118369	-7.527821	1.219939	49.002060
1409	1550.189604	54.984951	-7.508383	1.218622	48.290425
1411	1552.249591	54.944675	-7.476073	1.216561	48.715572
1415	1556.368706	54.902920	-7.436395	1.215313	48.091811
1417	1558.427957	54.681945	-7.384069	1.213753	48.637305
1419	1560.486774	54.685768	-7.348535	1.212471	48.203488
1421	1562.546649	54.539378	-7.323260	1.211400	48.551989
1425	1566.663947	54.523496	-7.277421	1.208952	47.918923
1427	1568.723867	54.474392	-7.247190	1.208720	48.410758
1429	1570.782466	54.318858	-7.218177	1.207523	49.299315
1431	1572.842164	54.343908	-7.179309	1.206948	47.878614
1435	1576.960098	54.160447	-7.148034	1.204191	46.463365
1437	1579.019219	54.161950	-7.094622	1.203203	48.035557
1439	1581.079030	54.083725	-7.055983	1.202542	46.496707
1441	1583.137516	54.005416	-7.015936	1.200943	45.536143
1445	1587.254950	53.885078	-6.972683	1.198689	47.589907
1447	1589.314265	53.859512	-6.941852	1.197592	46.773048
1449	1591.372815	53.738374	-6.916345	1.196357	45.852380
1451	1593.432017	53.685924	-6.884656	1.195016	47.070142
1455	1597.549060	53.632191	-6.855457	1.192730	46.772986
1457	1599.607048	53.543258	-6.811552	1.191648	46.480398
1459	1601.667139	53.437235	-6.799555	1.190359	45.149038
1461	1603.724642	53.552610	-6.768545	1.189747	46.462307
1465	1607.842271	53.220481	-6.729227	1.186139	43.074462
1467	1609.901779	53.168900	-6.686086	1.186348	46.225952
1469	1611.960200	53.104928	-6.665380	1.184648	46.893997
1471	1614.018626	52.967746	-6.630750	1.183149	45.132090
1475	1618.137534	52.935882	-6.585573	1.182363	45.535531
1477	1620.196130	52.747409	-6.558558	1.180846	44.847393
1479	1622.255945	52.813588	-6.528065	1.179958	44.289297
1481	1624.314255	52.741731	-6.498067	1.179246	44.662662
