time (s)	det(V)
6976.297589	0.016832	
6976.299590	0.019631	
6976.301589	0.024690	
6976.305590	0.023112	
6976.307590	0.023933	
6976.309589	0.025365	
6976.311590	0.021652	
6976.313590	0.029925	
6976.317588	0.031520	
6976.321589	0.030100	
6976.323590	0.032207	
6976.325590	0.029115	
6976.327589	0.030211	
6976.329590	0.036420	
6976.331589	0.034678	
6976.335589	0.036304	
6976.337589	0.039880	
6976.339590	0.034236	
6976.343590	0.036568	
6976.345591	0.042911	
6976.347590	0.047376	
6976.349590	0.046075	
6976.351590	0.053870	
6976.353590	0.051867	
6976.357590	0.042078	
6976.361589	0.044496	
6976.363590	0.050191	
6976.365589	0.051808	
6976.367589	0.054461	
6976.369590	0.057913	
6976.373588	0.049949	
6976.375590	0.055576	
6976.377590	0.059051	
6976.379590	0.059392	
6976.381591	0.062881	
6976.383596	0.066358	
6976.385589	0.068779	
6976.387589	0.067459	
6976.389590	0.072282	
6976.391590	0.069128	
6976.393590	0.068006	
6976.395590	0.067007	
6976.399589	0.075098	
6976.401590	0.074530	
6976.403590	0.084466	
6976.405590	0.076220	
6976.407589	0.080592	
6976.409590	0.081353	
6976.413589	0.086169	
6976.415589	0.088549	
6976.417590	0.091658	
6976.421590	0.094082	
6976.423590	0.095492	
6976.425590	0.089468	
6976.427590	0.098413	
6976.429590	0.108902	
6976.433589	0.104315	
6976.435590	0.111145	
6976.439590	0.107005	
6976.441588	0.107103	
6976.443590	0.111578	
6976.445590	0.113754	
6976.447590	0.120800	
6976.451589	0.121477	
6976.453591	0.117593	
6976.455589	0.121762	
6976.459590	0.126158	
6976.461590	0.128186	
6976.463589	0.130270	
6976.465590	0.132499	
6976.467590	0.134849	
6976.469590	0.144033	
6976.473589	0.139851	
6976.477590	0.140088	
6976.479590	0.148923	
6976.481590	0.154438	
6976.483589	0.149741	
6976.485590	0.152803	
6976.489589	0.155048	
6976.491589	0.151580	
6976.493589	0.150861	
6976.497590	0.158719	
6976.499589	0.162839	
6976.501590	0.167665	
6976.503589	0.163085	
6976.505590	0.160580	
6976.507590	0.169137	
6976.511589	0.161002	
6976.515590	0.170158	
6976.517590	0.179381	
6976.519589	0.170729	
6976.521589	0.171015	
6976.523590	0.174008	
6976.527589	0.177632	
6976.529590	0.166446	
6976.531590	0.177583	
