num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
5001	5804.227724	110.144761	6.570302	2.667767	47.983228
5003	5806.287894	110.378247	6.324152	2.664560	47.202719
5005	5808.348014	110.486899	6.018593	2.667319	48.700910
5007	5810.408424	109.822781	6.881681	2.666216	47.382107
5009	5812.469077	109.879270	6.461296	2.664643	48.499714
5011	5814.529781	109.721029	6.577482	2.666709	47.181722
5013	5816.590334	109.642030	6.487023	2.666173	47.205177
5015	5818.651360	109.142248	7.115571	2.667698	47.643213
5017	5820.712284	109.371680	6.701928	2.665228	47.269720
5019	5822.773000	108.826274	7.090019	2.668689	46.080162
5021	5824.833939	108.976313	6.676477	2.668448	47.410456
5023	5826.894807	108.785494	6.841256	2.669466	46.126755
5025	5828.955368	108.306926	7.269789	2.669645	46.389908
5027	5831.015950	108.378561	7.157707	2.668927	46.207761
5029	5833.076269	108.233975	6.929785	2.671627	45.538285
5031	5835.136963	108.084890	7.175698	2.671797	45.702972
5033	5837.197595	108.213926	6.754703	2.671466	45.083364
5035	5839.258028	107.625333	7.302208	2.673200	45.366991
5037	5841.318506	107.567115	7.337516	2.672517	45.744072
5039	5843.379145	107.399984	7.663866	2.672374	44.143550
5041	5845.440032	107.517382	7.158880	2.674149	44.717840
5043	5847.501217	107.169821	7.654756	2.671423	45.433703
5045	5849.562232	116.393783	3.651023	2.666785	44.716004
5047	5851.623710	106.682762	7.758144	2.674773	43.922622
5049	5853.684635	106.590746	7.997004	2.675092	44.671958
5051	5855.745625	107.030332	7.466994	2.676663	43.931922
5053	5857.806448	106.488497	8.229723	2.675580	43.552184
5055	5859.866987	106.393290	8.077913	2.675577	44.658587
5057	5861.927459	106.275940	7.764141	2.679596	45.078881
5059	5863.988068	105.950990	8.182815	2.679478	43.999390
5061	5866.048622	106.305592	7.563854	2.681065	43.621505
5063	5868.109332	105.635890	8.132940	2.681085	44.788592
5065	5870.169774	105.520416	8.421419	2.680282	43.765132
5067	5872.230582	105.227479	8.457958	2.680725	44.388556
5069	5874.291187	105.398300	8.071212	2.681488	43.533201
5071	5876.351786	105.637002	7.712933	2.683020	43.233663
5073	5878.412204	104.950143	8.533429	2.681190	44.901451
5075	5880.472256	104.733700	8.446779	2.685807	43.012371
5077	5882.532494	104.578513	8.697260	2.683131	42.805091
5079	5884.592719	104.823099	8.143849	2.687267	42.970226
5081	5886.652616	104.307406	8.695640	2.683879	42.511177
5083	5888.713154	104.296072	8.490465	2.684720	41.974751
5085	5890.773439	104.162319	-0.305031	2.671640	42.119400
5087	5892.833999	103.925776	8.541197	2.686944	42.141558
5089	5894.894515	104.018001	8.386483	2.689012	42.092331
5091	5896.955142	103.506170	8.696873	2.690343	41.625463
5093	5899.015937	103.354582	9.065014	2.689481	42.719775
5095	5901.076505	103.361498	8.904530	2.690382	41.813438
5097	5903.137209	103.106707	8.914160	2.692791	41.112544
5099	5905.197591	103.310812	8.676281	2.691501	41.656788
5101	5907.258090	102.827307	9.266027	2.692924	40.914819
5103	5909.318690	102.543345	9.397569	2.693521	41.455551
5105	5911.379204	102.623803	9.259480	2.692172	41.793357
5107	5913.439612	102.505919	8.868495	2.697495	40.091217
5109	5915.500167	102.237535	9.242440	2.696861	41.456980
5111	5917.560776	102.098474	9.260133	2.696270	41.267229
5113	5919.621633	101.810255	9.520724	2.699569	40.093235
5115	5921.682349	101.663289	9.423044	2.699822	39.623183
5117	5923.743420	101.733292	9.307396	2.702145	40.239220
5119	5925.804409	101.368935	9.797025	2.701522	40.388095
5121	5927.865116	101.303388	9.563096	2.703980	39.945771
5123	5929.926085	101.177220	9.940996	2.702480	39.668826
5125	5931.986646	101.346701	9.577187	2.704276	39.938463
5127	5934.047212	101.092898	9.604509	2.708261	38.691769
5129	5936.107760	100.916781	9.899741	2.703722	39.285356
5131	5938.168330	100.525932	10.062980	2.707369	38.569999
5133	5940.228822	100.493235	10.066790	2.708251	39.488987
5135	5942.289102	100.342863	10.165167	2.708255	39.397297
5137	5944.349687	100.468924	0.942229	2.694529	39.233560
5139	5946.410218	99.958645	10.189626	2.712780	38.523219
5141	5948.470633	100.037922	10.124257	2.710930	39.537518
5143	5950.531060	99.620308	10.505282	2.713086	37.923298
5145	5952.591034	99.855882	9.956134	2.714639	38.826174
5147	5954.651310	100.054821	9.522775	2.717254	38.431204
5149	5956.711486	99.425681	10.118849	2.718994	37.762709
5151	5958.771379	99.310822	10.406452	2.717264	38.149207
5153	5960.831508	99.084661	10.453779	2.717253	38.177257
5155	5962.891597	99.281300	9.905135	2.721926	39.069708
5157	5964.951770	98.869303	10.248639	2.719447	38.187013
5159	5967.011843	98.478987	10.580970	2.721197	37.338208
5161	5969.072229	98.473382	10.318942	2.722677	37.421766
5163	5971.132808	98.429916	10.285928	2.725692	38.088482
5165	5973.193030	98.782236	9.910172	2.725890	37.034620
5167	5975.253468	98.104176	10.804511	2.725287	37.294234
5169	5977.313705	98.026744	10.482664	2.727909	36.325389
5171	5979.374538	97.882117	10.722185	2.726433	36.824764
5173	5981.434892	97.869413	10.524646	2.728042	37.812188
5175	5983.495132	97.784820	10.510410	2.730428	36.051647
5177	5985.555717	97.304969	10.984924	2.728300	37.571596
5179	5987.616049	97.259860	10.821729	2.731069	36.605652
5181	5989.676525	96.956226	11.174597	2.732296	37.226673
5183	5991.737048	97.405014	10.345089	2.735317	35.603954
5185	5993.797892	97.210321	10.440010	2.735993	36.617001
5187	5995.858528	96.577019	11.354088	2.735462	36.352580
5189	5997.919110	96.369090	11.348033	2.736847	35.527174
5191	5999.980081	96.544411	11.046548	2.740186	36.713912
5193	6002.040704	96.845911	10.631875	2.740465	36.887324
5195	6004.101611	96.451515	11.094244	2.741534	34.912007
5197	6006.161825	96.133736	11.274158	2.743947	35.835662
5199	6008.222433	96.014532	11.433221	2.745123	35.427064
5201	6010.282871	95.791952	11.370704	2.748270	35.156695
5203	6012.343277	96.045051	11.224255	2.749667	35.109027
5205	6014.403515	95.949249	11.020389	2.750958	35.555331
5207	6016.463979	95.072318	11.869703	2.750738	34.904209
5209	6018.524401	95.167275	11.785723	2.749630	36.190718
5211	6020.584494	95.454317	11.187781	2.752599	34.997780
5213	6022.644987	95.288192	11.334936	2.753787	34.755030
5215	6024.705165	95.040626	11.647456	2.755016	33.803895
5217	6026.765173	94.652668	12.166374	2.755897	35.470224
5219	6028.825345	94.479527	11.761658	2.758520	33.802976
5221	6030.885202	94.755464	11.255567	2.759285	34.188416
5223	6032.945349	94.560458	11.560620	2.759693	35.101394
5225	6035.005069	94.075182	11.708602	2.762435	34.477020
5227	6037.065135	94.010123	11.789788	2.762081	33.838449
5229	6039.124931	93.999057	11.480926	2.766054	34.104764
5231	6041.185613	94.265144	11.151668	2.766911	34.811674
5233	6043.245502	94.463381	10.962739	2.767486	34.101809
5235	6045.305958	93.603316	11.922268	2.765824	33.748324
5237	6047.366354	93.168939	12.061608	2.769535	33.420253
5239	6049.426463	93.415098	11.661028	2.769358	34.194773
5241	6051.486648	93.501665	11.445156	2.774912	33.921318
5243	6053.547156	93.740414	11.125450	2.774433	32.811591
5245	6055.607493	92.644132	12.484437	2.774859	33.535357
5247	6057.667633	92.608745	11.913050	2.776566	32.407937
5249	6059.728172	92.660192	11.824694	2.776799	33.057021
5251	6061.788538	93.108187	11.312574	2.779150	33.530310
5253	6063.848944	92.195603	12.431992	2.780416	32.132028
5255	6065.909784	92.062258	12.424558	2.781690	33.038749
5257	6067.969986	92.012434	12.368895	2.782885	32.326355
