crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.085580	1059	0.000000
281474976710655.000000	1.146553	1060	0.000000
281474976710655.000000	1.038378	1061	0.000000
281474976710655.000000	1.121150	1062	0.000000
281474976710655.000000	1.174923	1063	0.000000
281474976710655.000000	1.128965	1064	0.000000
281474976710655.000000	1.089877	1065	0.000000
281474976710655.000000	1.101154	1066	0.000000
281474976710655.000000	1.120322	1067	0.000000
281474976710655.000000	1.178838	1068	0.000000
281474976710655.000000	1.073999	1069	0.000000
281474976710655.000000	1.066469	1070	0.000000
281474976710655.000000	1.101536	1071	0.000000
281474976710655.000000	1.075228	1072	0.000000
281474976710655.000000	1.103935	1073	0.000000
281474976710655.000000	1.162725	1074	0.000000
281474976710655.000000	1.075097	1075	0.000000
281474976710655.000000	1.144988	1076	0.000000
281474976710655.000000	1.083069	1077	0.000000
281474976710655.000000	1.101952	1078	0.000000
281474976710655.000000	1.072363	1079	0.000000
281474976710655.000000	1.139830	1080	0.000000
281474976710655.000000	1.107843	1081	0.000000
281474976710655.000000	1.103341	1082	0.000000
281474976710655.000000	1.165951	1083	0.000000
281474976710655.000000	1.134250	1084	0.000000
281474976710655.000000	1.126702	1085	0.000000
281474976710655.000000	1.080060	1086	0.000000
281474976710655.000000	1.192370	1087	0.000000
281474976710655.000000	1.172198	1088	0.000000
281474976710655.000000	1.077861	1089	0.000000
281474976710655.000000	1.100111	1090	0.000000
281474976710655.000000	1.058215	1091	0.000000
281474976710655.000000	1.124452	1092	0.000000
281474976710655.000000	1.120854	1093	0.000000
281474976710655.000000	1.069012	1094	0.000000
281474976710655.000000	1.113264	1095	0.000000
281474976710655.000000	1.112869	1096	0.000000
281474976710655.000000	1.151831	1097	0.000000
281474976710655.000000	1.054402	1098	0.000000
281474976710655.000000	1.016886	1099	0.000000
281474976710655.000000	1.130238	1100	0.000000
281474976710655.000000	1.098367	1101	0.000000
281474976710655.000000	1.097354	1102	0.000000
281474976710655.000000	1.094291	1103	0.000000
281474976710655.000000	1.085140	1104	0.000000
281474976710655.000000	1.072894	1105	0.000000
281474976710655.000000	1.084970	1106	0.000000
281474976710655.000000	1.163821	1107	0.000000
281474976710655.000000	1.053687	1108	0.000000
281474976710655.000000	1.061051	1109	0.000000
281474976710655.000000	1.088084	1110	0.000000
281474976710655.000000	1.084132	1111	0.000000
281474976710655.000000	1.105387	1112	0.000000
281474976710655.000000	1.088576	1113	0.000000
281474976710655.000000	1.101019	1114	0.000000
281474976710655.000000	1.124854	1115	0.000000
281474976710655.000000	1.099796	1116	0.000000
281474976710655.000000	1.140107	1117	0.000000
281474976710655.000000	1.146298	1118	0.000000
281474976710655.000000	1.139433	1119	0.000000
281474976710655.000000	1.062539	1120	0.000000
281474976710655.000000	1.142801	1121	0.000000
281474976710655.000000	1.155758	1122	0.000000
281474976710655.000000	1.120887	1123	0.000000
281474976710655.000000	1.058884	1124	0.000000
281474976710655.000000	1.173872	1125	0.000000
281474976710655.000000	1.179500	1126	0.000000
281474976710655.000000	1.051477	1127	0.000000
281474976710655.000000	1.059080	1128	0.000000
281474976710655.000000	1.157200	1129	0.000000
281474976710655.000000	1.041284	1130	0.000000
281474976710655.000000	1.082579	1131	0.000000
281474976710655.000000	1.179417	1132	0.000000
281474976710655.000000	1.192658	1133	0.000000
281474976710655.000000	1.061432	1134	0.000000
281474976710655.000000	1.106220	1135	0.000000
281474976710655.000000	1.108893	1136	0.000000
281474976710655.000000	1.144910	1137	0.000000
281474976710655.000000	1.159471	1138	0.000000
281474976710655.000000	1.094132	1139	0.000000
281474976710655.000000	1.108525	1140	0.000000
281474976710655.000000	1.030372	1141	0.000000
281474976710655.000000	1.100289	1142	0.000000
281474976710655.000000	1.025558	1143	0.000000
281474976710655.000000	1.091461	1144	0.000000
281474976710655.000000	1.123403	1145	0.000000
281474976710655.000000	1.120705	1146	0.000000
281474976710655.000000	1.078442	1147	0.000000
281474976710655.000000	1.156919	1148	0.000000
281474976710655.000000	1.073643	1149	0.000000
281474976710655.000000	1.041785	1150	0.000000
281474976710655.000000	1.066230	1151	0.000000
281474976710655.000000	1.066680	1152	0.000000
281474976710655.000000	1.083766	1153	0.000000
281474976710655.000000	1.142209	1154	0.000000
281474976710655.000000	1.112866	1155	0.000000
281474976710655.000000	1.079482	1156	0.000000
281474976710655.000000	1.083073	1157	0.000000
281474976710655.000000	1.121331	1158	0.000000
281474976710655.000000	1.120493	1159	0.000000
281474976710655.000000	1.186077	1160	0.000000
281474976710655.000000	1.053538	1161	0.000000
281474976710655.000000	1.051172	1162	0.000000
281474976710655.000000	1.041586	1163	0.000000
281474976710655.000000	1.097259	1164	0.000000
281474976710655.000000	1.069064	1165	0.000000
281474976710655.000000	1.088229	1166	0.000000
281474976710655.000000	1.159840	1167	0.000000
281474976710655.000000	1.109753	1168	0.000000
281474976710655.000000	1.014008	1169	0.000000
281474976710655.000000	1.151267	1170	0.000000
281474976710655.000000	1.074144	1171	0.000000
281474976710655.000000	1.124596	1172	0.000000
281474976710655.000000	1.042812	1173	0.000000
281474976710655.000000	1.067529	1174	0.000000
281474976710655.000000	1.099834	1175	0.000000
281474976710655.000000	1.171995	1176	0.000000
281474976710655.000000	1.139665	1177	0.000000
281474976710655.000000	1.129205	1178	0.000000
281474976710655.000000	1.066054	1179	0.000000
281474976710655.000000	1.175453	1180	0.000000
281474976710655.000000	1.118512	1181	0.000000
281474976710655.000000	1.035366	1182	0.000000
281474976710655.000000	1.117541	1183	0.000000
281474976710655.000000	1.041975	1184	0.000000
281474976710655.000000	1.038655	1185	0.000000
281474976710655.000000	1.102893	1186	0.000000
281474976710655.000000	1.083610	1187	0.000000
281474976710655.000000	1.082038	1188	0.000000
281474976710655.000000	1.061824	1189	0.000000
281474976710655.000000	1.157964	1190	0.000000
281474976710655.000000	1.039974	1191	0.000000
281474976710655.000000	1.148559	1192	0.000000
281474976710655.000000	1.136800	1193	0.000000
281474976710655.000000	1.064086	1194	0.000000
281474976710655.000000	1.093654	1195	0.000000
281474976710655.000000	1.112062	1196	0.000000
281474976710655.000000	1.005506	1197	0.000000
281474976710655.000000	1.077010	1198	0.000000
281474976710655.000000	1.094483	1199	0.000000
281474976710655.000000	1.030546	1200	0.000000
281474976710655.000000	1.042307	1201	0.000000
281474976710655.000000	1.130108	1202	0.000000
281474976710655.000000	1.102976	1203	0.000000
281474976710655.000000	1.137036	1204	0.000000
281474976710655.000000	1.112149	1205	0.000000
281474976710655.000000	1.070470	1206	0.000000
281474976710655.000000	1.073733	1207	0.000000
281474976710655.000000	1.032706	1208	0.000000
281474976710655.000000	1.123874	1209	0.000000
281474976710655.000000	1.102394	1210	0.000000
281474976710655.000000	1.134493	1211	0.000000
281474976710655.000000	1.051453	1212	0.000000
281474976710655.000000	1.051904	1213	0.000000
281474976710655.000000	1.015904	1214	0.000000
281474976710655.000000	1.151450	1215	0.000000
281474976710655.000000	0.997459	1216	0.000000
281474976710655.000000	1.108879	1217	0.000000
281474976710655.000000	1.055657	1218	0.000000
281474976710655.000000	1.014062	1219	0.000000
281474976710655.000000	1.099582	1220	0.000000
281474976710655.000000	1.114155	1221	0.000000
281474976710655.000000	1.103649	1222	0.000000
281474976710655.000000	1.101576	1223	0.000000
281474976710655.000000	1.077534	1224	0.000000
281474976710655.000000	1.080023	1225	0.000000
281474976710655.000000	1.034185	1226	0.000000
281474976710655.000000	1.148693	1227	0.000000
281474976710655.000000	1.058288	1228	0.000000
281474976710655.000000	1.054066	1229	0.000000
281474976710655.000000	1.079021	1230	0.000000
281474976710655.000000	1.114892	1231	0.000000
281474976710655.000000	1.129504	1232	0.000000
281474976710655.000000	1.119961	1233	0.000000
281474976710655.000000	1.028881	1234	0.000000
281474976710655.000000	1.095637	1235	0.000000
281474976710655.000000	1.039235	1236	0.000000
281474976710655.000000	1.128687	1237	0.000000
281474976710655.000000	1.075299	1238	0.000000
281474976710655.000000	1.060594	1239	0.000000
281474976710655.000000	1.022061	1240	0.000000
281474976710655.000000	1.089480	1241	0.000000
