time (s)	det(V)
2134.331573	0.015481	
2134.335571	0.013570	
2134.337570	0.013311	
2134.341572	0.011863	
2134.343572	0.022619	
2134.345578	0.023102	
2134.347572	0.027293	
2134.349572	0.028679	
2134.353571	0.028437	
2134.355572	0.030853	
2134.357572	0.032258	
2134.361572	0.039084	
2134.363573	0.047432	
2134.365573	0.052586	
2134.367572	0.050844	
2134.369572	0.054442	
2134.371572	0.059361	
2134.375571	0.059144	
2134.379572	0.071782	
2134.381571	0.085622	
2134.383572	0.087354	
2134.385571	0.090235	
2134.387573	0.097412	
2134.391571	0.099816	
2134.393571	0.116355	
2134.395572	0.121816	
2134.397571	0.130785	
2134.399572	0.138652	
2134.401571	0.143995	
2134.403572	0.153882	
2134.405572	0.161402	
2134.407572	0.169593	
2134.411571	0.183659	
2134.413571	0.202374	
2134.415571	0.216031	
2134.417571	0.223173	
2134.419572	0.237423	
2134.421571	0.252049	
2134.423574	0.263597	
2134.425571	0.282531	
2134.427572	0.300942	
2134.431571	0.315718	
2134.433571	0.349372	
2134.437572	0.365932	
2134.439572	0.404202	
2134.441571	0.426124	
2134.443572	0.452026	
2134.445572	0.474819	
2134.449571	0.502780	
2134.451571	0.549487	
2134.453571	0.579111	
2134.457572	0.606108	
2134.459572	0.670645	
2134.461572	0.703067	
2134.463571	0.735061	
2134.465572	0.769595	
2134.467573	0.799050	
2134.471572	0.830701	
2134.475572	0.897134	
2134.477572	0.973608	
2134.479572	1.006612	
2134.481573	1.043529	
2134.483577	1.073191	
2134.487571	1.103074	
2134.489571	1.162244	
2134.491570	1.193329	
2134.493572	1.221788	
2134.495572	1.242563	
2134.497571	1.270090	
2134.499572	1.292324	
2134.501573	1.308408	
2134.503571	1.327379	
2134.507571	1.342180	
2134.511570	1.366378	
2134.513572	1.379794	
2134.515572	1.385640	
2134.517571	1.382257	
2134.519572	1.378248	
2134.521572	1.373870	
2134.525570	1.363252	
2134.527571	1.345886	
2134.529572	1.328187	
2134.533572	1.314334	
2134.535571	1.268451	
2134.537572	1.246388	
2134.539572	1.221370	
2134.541572	1.201130	
2134.545571	1.174207	
2134.547573	1.111211	
2134.551572	1.076705	
2134.553572	1.005653	
2134.555572	0.966852	
2134.557572	0.929763	
2134.559571	0.895322	
2134.563571	0.856686	
2134.565572	0.777786	
2134.567571	0.732924	
2134.569572	0.690030	
2134.571572	0.651433	
2134.573573	0.609525	
2134.575572	0.572950	
2134.577572	0.531816	
2134.579571	0.488156	
2134.581572	0.450158	
2134.583571	0.403479	
2134.585572	0.360919	
2134.589572	0.321842	
2134.591572	0.233683	
2134.593572	0.195585	
2134.595571	0.152312	
2134.597570	0.111035	
2134.599571	0.064677	
2134.603570	0.017380	
2134.605572	-0.073895	
2134.607572	-0.118700	
2134.611572	-0.157945	
2134.613572	-0.243486	
2134.615572	-0.285159	
2134.617571	-0.333970	
2134.619572	-0.379466	
2134.623571	-0.420181	
2134.625572	-0.503187	
2134.629572	-0.546174	
2134.631573	-0.628504	
2134.633571	-0.675596	
2134.635572	-0.721767	
2134.637571	-0.762315	
2134.641571	-0.806821	
2134.643571	-0.886328	
2134.645570	-0.926962	
2134.649572	-0.964923	
2134.651571	-1.044918	
2134.653572	-1.079488	
2134.655572	-1.117719	
2134.657572	-1.151961	
2134.661572	-1.179459	
2134.665571	-1.239746	
2134.667572	-1.287867	
2134.669571	-1.310202	
2134.671571	-1.329547	
2134.673572	-1.350305	
2134.675572	-1.362431	
2134.677572	-1.373737	
2134.679572	-1.386599	
2134.681572	-1.393528	
2134.685572	-1.403622	
2134.687572	-1.407373	
2134.689572	-1.407172	
2134.691572	-1.397704	
2134.693571	-1.386843	
2134.695571	-1.377584	
2134.697573	-1.361493	
2134.699572	-1.347266	
2134.701571	-1.336002	
2134.705572	-1.315457	
2134.707572	-1.272727	
2134.709572	-1.245797	
2134.711571	-1.219888	
2134.713571	-1.191296	
2134.715572	-1.160563	
2134.717571	-1.133321	
2134.719571	-1.103429	
2134.723570	-1.073202	
2134.727572	-1.006006	
2134.729572	-0.937871	
2134.731571	-0.901586	
2134.733571	-0.872900	
2134.735571	-0.842207	
2134.739571	-0.807864	
2134.741574	-0.746189	
2134.743572	-0.711365	
2134.747572	-0.681690	
