num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1059	2132.804149	16.521227	-47.418643	-2.820663	1.000981
1061	2134.862067	16.825076	-47.495632	-2.815667	0.780995
1063	2136.936271	13.884323	-50.679579	-2.885228	0.553179
1065	2138.986548	14.627906	-48.884994	-2.866425	0.751150
1067	2141.040075	14.926855	-48.541079	-2.865083	0.914808
1069	2143.107849	13.406211	-49.736010	-2.894922	0.549102
1071	2145.159274	15.048753	-48.867251	-2.865499	0.790156
1073	2147.221711	13.477178	-49.129582	-2.892188	0.676640
1075	2149.277012	13.127484	-49.072997	-2.900026	0.816852
1077	2151.340823	12.213907	-49.587845	-2.910716	0.583243
1079	2153.402107	11.924920	-49.966569	-2.919903	0.423547
1081	2155.450170	14.184257	-47.877346	-2.878434	0.722998
1083	2157.527476	11.267932	-51.667660	-2.952330	0.497212
1085	2159.581367	11.540370	-50.592242	-2.950122	0.484457
1087	2161.638143	11.606284	-50.828618	-2.946102	0.629903
1089	2163.685238	11.731584	-48.804401	-2.933986	0.646430
1091	2165.732441	12.691969	-46.992853	-2.897146	0.895946
1093	2167.806734	10.607334	-49.195551	-2.946466	0.717714
1095	2169.863005	10.743855	-48.962359	-2.952847	0.571440
1097	2171.918535	10.989092	-48.353714	-2.947607	0.715179
1099	2173.992928	9.743948	-51.289435	3.295536	0.474190
1101	2176.045431	9.606766	-50.123115	3.297636	0.548702
1103	2178.102253	9.651855	-50.247774	3.298031	0.665225
1105	2180.163728	9.091769	-51.070227	3.286128	0.478209
1107	2182.228459	8.389671	-51.793476	3.270872	0.436104
1109	2184.289220	7.864477	-52.288371	3.260630	0.549506
1111	2186.335809	8.424552	-50.620151	3.273226	0.641836
1113	2188.398328	7.580727	-50.971683	3.258280	0.522225
1115	2190.451503	8.284512	-50.069347	3.272077	0.614849
1117	2192.509357	8.430764	-49.841546	3.273817	0.619477
1119	2194.562674	8.445173	-49.034217	3.275937	0.502611
1121	2196.624376	8.312990	-50.693852	3.269453	0.657438
1123	2198.665497	9.785545	-46.461531	3.309685	0.771417
1125	2200.735586	8.334457	-49.338703	3.275269	0.586240
1127	2202.798001	6.898892	-50.006049	3.243580	0.570191
1129	2204.864440	6.327780	-51.615379	3.227185	0.460755
1131	2206.924297	5.834297	-51.495566	3.220250	0.665396
1133	2208.980095	5.961439	-51.294519	3.220979	0.556947
1135	2211.042070	5.774735	-51.504266	3.215952	0.475285
1137	2213.097194	6.009807	-51.632631	3.219719	0.394937
1139	2215.134665	7.078750	-47.625958	3.247635	0.816715
1141	2217.202396	6.340534	-49.450244	3.231366	0.615712
1143	2219.252491	6.507762	-48.167982	3.238005	0.823002
1145	2221.313478	6.071353	-48.589754	3.228383	0.585858
1147	2223.374980	5.586258	-48.759581	3.218156	0.665795
1149	2225.429064	5.489189	-48.337194	3.216789	0.630781
1151	2227.486085	5.494912	-48.353838	3.216093	0.785502
1153	2229.548054	4.930236	-48.738999	3.204739	0.606832
1155	2231.612740	4.608123	-49.706915	3.193147	0.512017
1157	2233.669453	4.857036	-49.963727	3.193306	0.647078
1159	2235.736727	3.864232	-50.873411	3.175536	0.560455
1161	2237.797209	3.875598	-51.695411	3.173467	0.411686
1163	2239.860261	3.617417	-52.549198	3.166795	0.492923
1165	2241.914513	3.477860	-52.001878	3.164663	0.436220
1167	2243.965345	3.665553	-51.069976	3.169557	0.514418
1169	2246.017065	3.265233	-50.104327	3.168276	0.504265
1171	2248.067904	2.808496	-48.561771	3.165752	0.642675
1173	2250.121556	2.898634	-47.512125	3.168253	0.746188
1175	2252.195466	2.625694	-50.595954	3.157763	0.564672
1177	2254.249884	2.475419	-49.307121	3.153261	0.597145
1179	2256.316558	2.205790	-50.854782	3.143207	0.514724
1181	2258.380872	1.904127	-52.066220	3.139749	0.448610
1183	2260.434120	2.097153	-51.114426	3.141201	0.499261
1185	2262.485756	1.585127	-50.028033	3.133499	0.571920
1187	2264.545415	1.890662	-50.509206	3.136676	0.702280
1189	2266.608142	1.487057	-50.954712	3.131436	0.572346
1191	2268.653482	1.772995	-49.125410	3.137281	0.636082
1193	2270.710342	1.866462	-48.950209	3.139129	0.801116
1195	2272.766991	1.728759	-48.580562	3.136201	0.591010
1197	2274.829498	1.359897	-49.596759	3.129549	0.520191
1199	2276.884168	1.149798	-49.453166	3.125667	0.620215
1201	2278.951939	0.356553	-50.720597	3.108997	0.604246
1203	2281.016509	0.000000	-52.397198	3.102555	0.448096
1205	2283.077298	0.000000	-52.612788	3.103196	0.434529
1207	2285.132193	0.305205	51.364953	6.236871	0.480074
1209	2287.194223	0.124305	52.434289	6.241284	0.422743
1211	2289.250926	0.474768	51.352897	6.232834	0.611810
1213	2291.304355	0.236756	51.498590	6.238272	0.649145
1215	2293.373835	0.533051	53.324594	6.233439	0.314257
1217	2295.412396	0.754568	49.525149	6.227950	0.601670
1219	2297.478418	0.685876	51.059353	6.230102	0.513174
1221	2299.552192	0.799182	53.373467	6.228519	0.413073
1223	2301.592624	0.952885	50.931120	6.222373	0.548514
1225	2303.659694	1.013281	51.878507	6.220912	0.462090
1227	2305.727793	0.998251	53.992808	6.223173	0.413217
1229	2307.769730	0.988524	51.723132	6.223372	0.537911
1231	2309.849098	1.160143	54.669996	6.221934	0.318028
1233	2311.897226	1.388606	53.491005	6.216264	0.505051
1235	2313.951333	1.607829	53.084033	6.214210	0.321596
1237	2316.002992	2.169210	52.262045	6.207503	0.361609
1239	2318.061781	2.270167	52.120064	6.209427	0.548733
1241	2320.107530	2.847436	50.135985	6.197540	0.647653
1243	2322.175181	2.475639	51.025849	6.203443	0.524840
1245	2324.244299	2.059669	52.831402	6.211949	0.455959
1247	2326.299839	2.293322	52.481444	6.203380	0.364480
1249	2328.348294	2.461349	51.090972	6.200397	0.501179
1251	2330.426580	2.378860	53.689994	6.203289	0.345241
1253	2332.465576	2.955080	50.910769	6.190796	0.427797
1255	2334.519447	2.729556	50.514107	6.195268	0.505003
1257	2336.579511	2.783111	50.773386	6.195416	0.532547
1259	2338.628984	3.264092	49.659250	6.185466	0.602646
1261	2340.690182	3.193182	50.270997	6.188014	0.622923
1263	2342.750702	3.297084	50.541775	6.185272	0.528256
1265	2344.823895	2.936829	53.321220	6.196164	0.411988
1267	2346.875480	3.460447	52.287747	6.183231	0.461954
1269	2348.943217	3.278849	53.710174	6.188901	0.322477
1271	2350.999767	3.678209	53.011350	6.179385	0.440742
1273	2353.059258	3.735632	53.222104	6.179638	0.349779
1275	2355.114101	3.971233	52.792180	6.175461	0.375484
1277	2357.181775	3.449663	54.216440	6.186504	0.406676
1279	2359.226517	4.193451	52.221962	6.170150	0.430000
1281	2361.298971	3.516878	54.261020	6.185748	0.459657
1283	2363.347355	4.020068	52.909037	6.173900	0.488805
1285	2365.396199	4.280014	51.722055	6.169068	0.543252
1287	2367.460760	4.149358	52.587737	6.172385	0.439832
1289	2369.525314	4.033701	53.888299	6.175107	0.338122
1291	2371.576455	4.424910	52.396595	6.165571	0.398043
1293	2373.636872	4.458542	53.133912	6.169648	0.341185
1295	2375.697815	4.298176	53.682305	6.172399	0.478205
1297	2377.755951	4.744004	53.330050	6.166639	0.303147
1299	2379.802103	5.291208	51.941662	6.157728	0.424415
1301	2381.853218	5.573608	50.917550	6.154277	0.441062
1303	2383.906612	6.002360	50.067305	6.144783	0.566245
1305	2385.973138	5.492948	51.584853	6.156964	0.479171
1307	2388.029945	5.736750	50.854483	6.150664	0.640199
1309	2390.085607	5.568802	50.892069	6.151582	0.487079
1311	2392.166879	4.933613	53.584100	6.169132	0.235393
1313	2394.205693	5.697058	51.022977	6.149750	0.515281
1315	2396.267652	5.656207	51.463119	6.152463	0.414252
1317	2398.327575	5.441977	52.401672	6.159557	0.503414
1319	2400.378977	5.682013	50.918787	6.150786	0.485377
1321	2402.434047	6.037685	50.957586	6.148437	0.493776
1323	2404.507812	5.386973	52.925218	6.161492	0.410547
1325	2406.566111	5.566811	52.865088	6.158291	0.289269
1327	2408.617394	6.203267	52.168592	6.145434	0.412152
1329	2410.672054	6.100651	52.226569	6.147114	0.541752
1331	2412.737468	6.143837	52.847491	6.148119	0.386156
1333	2414.804568	6.101119	53.598546	6.152093	0.378383
1335	2416.867365	5.649972	54.521140	6.164094	0.332156
1337	2418.931187	5.663215	55.099631	6.164503	0.226719
1339	2420.972167	6.440561	52.689827	6.146499	0.486823
1341	2423.032759	6.042384	53.330545	-6.414179	0.364007
1343	2425.110428	5.610967	55.445991	-6.397068	0.372104
1345	2427.150101	6.177122	53.244959	-6.414572	0.379477
1347	2429.203600	6.177344	52.971033	-6.414505	0.460272
